N	3gram	Bakhtin_Pr	Problema
1	тем не менее	2	56
2	о том что	2	39
3	в том что	6	37
4	и т д	4	33
5	в настоящее время	3	30
6	в данном случае	2	28
7	по крайней мере	2	26
8	во всяком случае	4	25
9	с точки зрения	21	25
10	с другой стороны	6	25
11	в конце концов	7	23
12	сама по себе	5	21
13	сам по себе	2	21
14	на то что	2	19
15	в этом смысле	12	19
16	как раз и	5	18
17	в то же	13	17
18	до сих пор	9	14
19	на самом деле	4	13
20	сами по себе	4	13
21	можно было бы	3	13
22	не может быть	8	12
23	в то время	2	12
24	можно сказать что	2	12
25	и в этом	5	12
26	то время как	2	12
27	бы то ни	3	11
28	более или менее	4	10
29	не только не	2	10
30	только то что	2	10
31	не только в	2	10
32	может быть и	2	9
33	это вовсе не	2	8
34	хотя и не	3	7
35	к тому же	2	7
36	так и в	2	6
37	само по себе	4	6
38	то ни было	2	6
39	и в других	2	6
40	в самом деле	6	6
41	в этом отношении	3	6
42	а вовсе не	2	5
43	хотя бы и	3	5
44	же как и	2	5
45	том что он	5	5
46	в зависимости от	5	5
47	этой точки зрения	2	4
48	том или другом	2	4
49	все же не	3	4
50	именно потому что	2	4
51	но все же	3	4
52	в этих случаях	2	4
53	подобно тому как	3	4
54	как мы уже	2	4
55	но в то	7	3
56	но это не	2	3
57	и в то	2	3
58	потому что она	3	3
59	как и в	3	3
60	это не значит	3	3
61	что может быть	3	3
62	как нам кажется	3	3
63	как мы сказали	3	3
64	как мы увидим	3	3
65	в отличие от	4	3
66	он может быть	2	2
67	точка зрения на	2	2
68	по отношению к	12	2
69	перед нами в	2	2
70	но с другой	2	2
71	нам кажется что	3	2
72	а следовательно и	2	2
73	что он есть	2	2
74	то же что	3	2
75	и не может	6	2
76	друг на друга	2	2
77	и это не	3	2
78	с самим собою	2	2
79	уже не как	2	2
80	никогда не может	2	2
81	того и другого	2	2
82	в том и	2	2
83	и т п	10	2
84	во всей его	2	2
85	в самой этой	2	2
86	между тем как	5	2
87	в себе и	2	2
88	человека но не	2	2
89	то перед нами	7	2
90	но и не	2	2
