N	2gram	Berdyaev_O	Sovremen
1	не может	4	17
2	может быть	11	12
3	и в	19	7
4	в этом	12	7
5	и не	13	6
6	ничего не	2	6
7	как и	6	6
8	что же	2	5
9	все эти	4	5
10	прежде всего	9	5
11	вопрос о	10	4
12	это не	3	4
13	не только	11	4
14	в том	5	4
15	как бы	3	4
16	так как	2	4
17	же это	2	4
18	а в	5	4
19	ведь это	2	3
20	и потому	2	3
21	но в	2	3
22	не в	11	3
23	все же	2	3
24	он в	2	3
25	было бы	3	3
26	уже в	2	3
27	в себе	3	3
28	еще не	3	3
29	и все	10	3
30	все это	6	3
31	в нем	10	3
32	а не	11	3
33	и к	2	3
34	в этой	5	3
35	что все	2	2
36	не могут	3	2
37	в его	7	2
38	в самом	5	2
39	и есть	3	2
40	что в	4	2
41	в которой	2	2
42	у него	22	2
43	могут быть	3	2
44	это за	3	2
