N	3gram	Medvedev_V	StatiiOP
1	в том что	5	47
2	и т д	16	32
3	о том что	3	29
4	в этом отношении	14	24
5	для того чтобы	3	19
6	и т п	9	19
7	до сих пор	2	19
8	во всяком случае	2	13
9	с другой стороны	8	13
10	не может быть	8	11
11	в то же	5	9
12	то же время	5	9
13	можно было бы	2	9
14	вместе с тем	4	9
15	не только в	2	8
16	к тому что	4	8
17	по этому поводу	7	7
18	не в том	2	7
19	в конце концов	2	7
20	в этой области	3	7
21	по крайней мере	2	6
22	по отношению к	7	6
23	в том отношении	2	6
24	в письме к	11	6
25	не только не	2	6
26	в одном из	4	6
27	после того как	2	5
28	в том чтобы	2	5
29	на эти вопросы	2	4
30	иметь в виду	2	4
31	в другом месте	2	4
32	в связи с	4	4
33	с одной стороны	2	4
34	том отношении что	2	4
35	во всех этих	2	3
36	т е в	2	3
37	можно сказать что	4	3
38	таким образом в	2	3
39	в том числе	2	3
40	только в том	2	3
41	одном из писем	2	3
42	более или менее	6	3
43	о том как	3	3
44	в каждом отдельном	2	2
45	из писем к	2	2
46	и др в	3	2
47	в чем же	2	2
48	не может не	2	2
49	и в то	3	2
50	и в другом	2	2
51	чуть ли не	2	2
52	в зависимости от	5	2
53	хотя бы и	5	2
54	том числе и	2	2
