N	3gram	Potebnia_M	EvropaiE
1	с точки зрения	3	16
2	в то же	3	15
3	то же время	3	14
4	с одной стороны	6	8
5	одной стороны и	2	6
6	в том что	18	6
7	для того чтобы	4	5
8	с этой точки	2	5
9	бы то ни	2	4
10	не только в	3	4
11	и в этом	7	4
12	само по себе	6	4
13	заключает в себе	6	3
14	во всяком случае	7	3
15	в применении к	3	3
16	в некотором смысле	2	3
17	как бы ни	4	3
18	можно думать что	3	3
19	между тем в	2	3
20	в этом смысле	4	3
21	из того что	2	2
22	то что в	2	2
23	в одном из	2	2
24	с другой стороны	7	2
25	только в том	7	2
26	друг от друга	3	2
27	на то что	3	2
28	по себе не	3	2
29	и не имеет	2	2
30	так и в	5	2
31	в свою очередь	8	2
32	не может быть	11	2
