N	2gram	Bakhtin_KF	Marksizm
1	точки зрения	13	69
2	может быть	45	64
3	и в	28	63
4	и не	28	55
5	как бы	9	53
6	не может	29	47
7	с точки	10	46
8	и пр	3	42
9	и его	18	41
10	в этом	15	39
11	в процессе	2	33
12	лишь в	8	30
13	не только	5	29
14	в нем	32	28
15	то же	5	28
16	но и	9	27
17	самом деле	3	25
18	прежде всего	4	24
19	как и	5	24
20	так и	2	23
21	только в	18	23
22	в том	6	22
23	то что	7	22
24	а не	17	22
25	при этом	4	20
26	для него	13	20
27	том что	4	19
28	не в	13	19
29	в его	42	19
30	если бы	8	19
31	но в	5	18
32	в ее	17	18
33	и для	10	18
34	вовсе не	7	18
35	все же	5	17
36	в то	3	16
37	по отношению	26	16
38	и как	2	16
39	ни было	4	16
40	что он	2	15
41	во всех	11	15
42	отношению к	22	15
43	отнюдь не	7	15
44	же время	2	15
45	в контексте	5	14
46	в данном	2	14
47	хотя бы	5	14
48	в смысле	6	14
49	ничего не	3	13
50	мы не	3	13
51	того чтобы	2	13
52	было бы	8	13
53	в своей	11	13
54	и здесь	7	13
55	слова в	2	13
56	то ни	2	13
57	что в	4	13
58	а в	5	12
59	в основе	5	12
60	бы то	2	12
61	для того	3	12
62	он не	6	12
63	между тем	4	12
64	на самом	3	11
65	как в	2	11
66	и все	9	11
67	к нему	12	11
68	и на	3	11
69	в ней	3	11
70	все эти	11	11
71	еще не	5	11
72	и того	2	11
73	никогда не	5	10
74	его в	5	10
75	и потому	2	10
76	бытия в	5	10
77	в каждом	3	10
78	здесь мы	4	10
79	с его	2	10
80	к этому	2	10
81	в своем	17	10
82	совершенно не	7	10
83	именно в	5	10
84	конечно не	7	10
85	в себе	21	9
86	одного и	2	9
87	а как	2	9
88	это не	10	9
89	и это	12	9
90	рядом с	3	9
91	что это	4	9
92	и эта	2	9
93	не имеет	6	9
94	отношении к	2	9
95	ни в	12	9
96	быть и	3	9
97	в каком	4	8
98	или иной	2	8
99	и ее	2	8
100	не как	4	8
101	и т.д	4	8
102	в их	9	8
103	тому что	2	8
104	что не	3	8
105	не будет	2	8
106	что и	7	8
107	этого слова	2	8
108	и их	6	8
109	в свою	3	8
110	не было	8	8
111	сводится к	2	8
112	ясно что	3	8
113	до конца	3	7
114	от него	3	7
115	бы он	2	7
116	того что	3	7
117	по себе	2	7
118	место в	6	7
119	могут быть	3	7
120	там где	5	7
121	с ними	4	7
122	в качестве	2	7
123	в этой	2	7
124	конечно в	2	7
125	о том	3	7
126	в котором	24	7
127	на основе	7	7
128	не есть	22	6
129	вопрос о	2	6
130	в другом	3	6
131	он и	2	6
132	данного момента	2	6
133	все это	10	6
134	с ее	2	6
135	должна быть	4	6
136	тот же	3	6
137	как оно	2	6
138	сознания и	3	6
139	лишь как	3	6
140	входит в	4	6
141	уже не	7	6
142	в единстве	8	6
143	в корне	3	6
144	лишь с	2	6
145	ничего общего	2	6
146	но как	5	5
147	от того	3	5
148	в виду	3	5
149	и тем	3	5
150	из него	4	5
151	от этого	2	5
152	ориентация в	2	5
153	не менее	3	5
154	той или	3	5
155	был бы	3	5
156	себя в	8	5
157	отсюда следует	2	5
158	должно быть	6	5
159	менее всего	6	5
160	жизни в	5	5
161	нами в	2	5
162	она не	2	5
163	но не	12	5
164	для себя	7	5
165	еще более	2	5
166	на язык	3	5
167	в одном	5	5
168	сознания как	2	4
169	его к	2	4
170	едва ли	2	4
171	в области	2	4
172	оценки и	2	4
173	всех других	2	4
174	и действительно	6	4
175	он ни	2	4
176	в единство	3	4
177	войти в	3	4
178	нет и	3	4
179	во всей	4	4
180	бы и	3	4
181	и то	2	4
182	независимо от	3	4
183	только с	3	4
184	и тот	3	4
185	но ведь	5	4
186	со всеми	2	4
187	не знает	5	4
188	но все	6	4
189	но для	3	4
190	места в	4	4
191	подхода к	2	4
192	жизни и	8	4
193	это и	3	4
194	именно на	2	4
195	не дает	3	4
196	тем что	3	4
197	не о	2	3
198	от его	5	3
199	были бы	2	3
200	нет подхода	2	3
201	к себе	2	3
202	как к	2	3
203	должен быть	7	3
204	ведь это	2	3
205	тогда когда	3	3
206	в виде	2	3
207	в целом	10	3
208	и та	3	3
209	с тем	2	3
210	в ту	2	3
211	потому что	2	3
212	в бытии	26	3
213	вступить в	2	3
214	в данный	3	3
215	все остальные	2	3
216	в мир	2	3
217	могла бы	4	3
218	того или	3	3
219	ли это	2	3
220	здесь не	3	3
221	но это	6	3
222	и этот	3	3
223	тем не	2	3
224	его и	2	3
225	или как	2	3
226	ни к	2	3
227	т.е не	2	3
228	он может	2	3
229	со стороны	8	3
230	в своих	4	3
231	а по	2	3
232	из которых	2	3
233	здесь нет	3	3
234	ее целом	3	3
235	что эта	2	3
236	говорить о	2	3
237	данный момент	3	3
238	и есть	10	3
239	и только	7	3
240	а следовательно	3	3
241	не следует	2	3
242	один и	3	3
243	с ним	5	3
244	момент в	7	3
245	и других	2	3
246	процесс и	2	2
247	тем самым	4	2
248	но можно	4	2
249	ее и	6	2
250	моего сознания	2	2
251	содержание и	2	2
252	вступает в	3	2
253	его на	2	2
254	для нее	9	2
255	для которого	3	2
256	от себя	10	2
257	имеют место	2	2
258	не остается	2	2
259	мы здесь	3	2
260	в современной	3	2
261	и за	2	2
262	тем как	3	2
263	а с	2	2
264	о нем	4	2
265	к ним	4	2
266	одна и	2	2
267	его осуществления	2	2
268	и ни	3	2
269	а все	3	2
270	акт как	2	2
271	гораздо более	2	2
272	истины и	2	2
273	мира и	4	2
274	быть в	4	2
275	но здесь	3	2
276	совсем не	2	2
277	и принципиально	2	2
278	лишь при	3	2
279	общего не	2	2
280	и мир	2	2
281	лишь моментом	2	2
282	себя и	5	2
283	мы получим	2	2
284	отсюда и	3	2
285	будет ли	2	2
286	этот момент	7	2
287	нем и	3	2
288	смысла и	2	2
289	мышления и	2	2
290	или иного	3	2
291	нет в	4	2
292	ее как	2	2
293	слово не	3	2
294	в сознании	2	2
295	его как	5	2
296	всех этих	3	2
297	действительности в	2	2
298	его целом	10	2
299	это было	2	2
300	отвлечение от	5	2
301	ее от	2	2
302	из нее	2	2
303	та же	3	2
304	бы не	3	2
305	сознания в	2	2
306	только по	2	2
307	в чем	4	2
308	эти моменты	3	2
309	не по	4	2
310	всех своих	4	2
311	все остальное	2	2
312	но ни	2	2
313	себе и	3	2
314	нему в	4	2
315	дело с	2	2
316	культуры и	5	2
317	в жизни	2	2
