N	2gram	Propp_Isto	VelikijI
1	и не	16	20
2	и в	43	16
3	так как	13	9
4	то что	20	9
5	к богу	2	8
6	еще не	15	8
7	и потому	2	7
8	на земле	2	7
9	что они	14	7
10	а не	13	7
11	не есть	3	6
12	как бы	5	5
13	на себя	5	5
14	но и	24	5
15	все это	4	5
16	ты не	3	5
17	хотя и	4	5
18	того что	8	5
19	это еще	2	4
20	и все	4	4
21	как и	9	4
22	в котором	5	4
23	потому что	8	4
24	все что	4	4
25	в нем	11	4
26	в образе	2	4
27	в ней	3	4
28	что не	3	4
29	что мы	5	4
30	в его	7	4
31	в этом	25	4
32	что он	17	4
33	и есть	3	4
34	так и	6	4
35	никогда не	9	3
36	превращается в	10	3
37	в жизни	3	3
38	что в	29	3
39	в том	13	3
40	и для	3	3
41	не имеет	3	3
42	но в	15	3
43	к тому	9	3
44	ни в	2	3
45	что ты	5	3
46	их в	6	3
47	нет ничего	3	3
48	то это	5	3
49	они в	2	3
50	но это	5	3
51	хотя бы	3	3
52	в своей	4	3
53	их от	2	3
54	к чему	2	3
55	за ним	4	3
56	же ты	2	3
57	по этому	2	3
58	в них	6	3
59	жизни и	2	3
60	как не	2	3
61	что и	17	3
62	не было	2	3
63	если не	2	3
64	и что	6	3
65	не в	9	3
66	все эти	8	3
67	в этих	18	3
68	что я	2	3
69	должна быть	2	3
70	и они	4	3
71	в чем	4	3
72	тот же	2	3
73	под этим	2	2
74	и то	4	2
75	с тем	3	2
76	да и	2	2
77	они и	3	2
78	одна из	2	2
79	но не	10	2
80	и это	5	2
81	это не	10	2
82	ее в	3	2
83	не только	28	2
84	является в	2	2
85	а в	13	2
86	том что	12	2
87	на том	3	2
88	его к	5	2
89	от него	3	2
90	и новые	2	2
91	во всяком	2	2
92	уже не	11	2
93	мы это	2	2
94	могут быть	9	2
95	с тобой	2	2
96	нет еще	2	2
97	один из	7	2
98	т д	30	2
99	в человека	2	2
100	превращаются в	2	2
101	для них	3	2
102	почему в	3	2
103	над ними	2	2
104	тем что	8	2
105	вот почему	3	2
106	мы не	3	2
107	конечно не	3	2
108	что было	3	2
109	земли и	2	2
110	можно было	3	2
111	уже на	3	2
112	только в	8	2
113	и за	3	2
114	все равно	3	2
115	его и	6	2
116	для нас	6	2
117	в себя	3	2
118	прежде всего	3	2
119	и т	33	2
120	его не	3	2
121	это мы	2	2
122	между тем	2	2
123	не с	2	2
