N	3gram	Tiupa_Narr	VLabPisa
1	в этом отношении	5	14
2	и т п	2	9
3	не может быть	6	8
4	по отношению к	5	7
5	более или менее	2	6
6	в конечном счете	4	5
7	в то же	7	5
8	в том что	11	5
9	то же время	7	5
10	в зависимости от	3	5
11	к тому что	4	4
12	можно сказать что	5	4
13	в связи с	3	4
14	подобно тому как	4	3
15	для того чтобы	4	3
16	и в то	2	3
17	о том что	3	3
18	с одной стороны	5	2
19	в частности в	2	2
20	не только не	2	2
21	во всяком случае	2	2
22	в этом и	3	2
23	и не может	3	2
24	не только в	12	2
25	до сих пор	3	2
26	которая не может	2	2
