N	2gram	Voloshinov	RusskieA
1	и в	32	79
2	в том	13	64
3	том что	12	59
4	что в	5	57
5	не только	18	41
6	во время	2	38
7	так как	5	34
8	в этом	27	33
9	и другие	2	33
10	как бы	31	31
11	но и	17	31
12	как и	19	28
13	может быть	50	28
14	и на	8	28
15	одна из	6	24
16	о том	4	23
17	при этом	13	22
18	это не	5	20
19	как мы	26	20
20	а в	5	20
21	из них	3	19
22	все это	4	18
23	потому что	2	17
24	то что	12	17
25	таким образом	29	17
26	вместе с	2	17
27	мы не	6	16
28	у нас	4	14
29	мы видели	5	14
30	не менее	5	14
31	как это	2	14
32	тем не	3	14
33	и не	42	14
34	и с	4	14
35	и что	2	14
36	так что	2	13
37	к этому	10	13
38	не может	40	13
39	еще не	7	13
40	как в	5	13
41	уже не	2	13
42	между собой	3	12
43	этом случае	3	12
44	тем что	3	12
45	следующим образом	2	11
46	мы увидим	3	11
47	не имеет	6	11
48	далеко не	5	11
49	его в	7	10
50	и других	3	10
51	так и	21	10
52	так например	2	10
53	между тем	8	10
54	все же	13	10
55	что и	5	10
56	или в	4	10
57	но в	13	9
58	к жизни	2	9
59	и все	8	9
60	то же	19	9
61	но не	2	9
62	так же	10	8
63	того что	5	8
64	в данном	8	8
65	того чтобы	9	8
66	связи с	22	8
67	что это	3	8
68	не все	3	8
69	во всех	13	8
70	ее в	2	8
71	для того	8	8
72	в этих	2	8
73	в своем	3	7
74	мы должны	4	7
75	ничего не	9	7
76	в настоящее	6	7
77	не в	13	7
78	главным образом	2	7
79	к нему	5	7
80	настоящее время	6	7
81	было бы	8	7
82	до конца	6	7
83	из этих	3	7
84	и как	8	7
85	иногда и	3	7
86	еще в	2	7
87	в эти	2	7
88	только в	14	7
89	а не	15	7
90	в этой	3	6
91	как знак	3	6
92	не будем	4	6
93	должно было	2	6
94	и их	2	6
95	друг друга	10	6
96	в их	5	6
97	только на	7	6
98	тому что	6	6
99	она не	2	6
100	к тому	8	6
101	в нем	17	6
102	же как	2	6
103	с ними	5	6
104	все эти	8	6
105	связаны с	3	6
106	в качестве	4	6
107	а иногда	2	6
108	в одном	2	6
109	но они	2	6
110	и пр	31	6
111	и более	6	6
112	на нее	2	6
113	приводит к	3	6
114	в таком	8	6
115	на самом	10	5
116	вопрос о	6	5
117	и потому	7	5
118	но если	2	5
119	или же	2	5
120	тогда когда	2	5
121	что он	5	5
122	прежде всего	19	5
123	и др	3	5
124	в разных	2	5
125	в свою	6	5
126	с этим	6	5
127	в то	7	5
128	или вообще	2	5
129	в целом	2	5
130	для них	2	5
131	в связи	12	5
132	там где	4	5
133	не было	6	5
134	например в	2	5
135	тот же	4	5
136	в его	10	5
137	можно было	2	5
138	ничего общего	5	5
139	в целях	3	5
140	не с	2	5
141	и для	15	5
142	с целью	2	5
143	с другой	6	5
144	входит в	5	5
145	и к	3	5
146	отнюдь не	14	5
147	то на	2	5
148	или даже	2	5
149	мы уже	7	5
150	и ее	4	4
151	иное как	2	4
152	не что	2	4
153	влияние на	3	4
154	у них	2	4
155	и при	3	4
156	нас не	3	4
157	связано с	3	4
158	здесь мы	7	4
159	его и	3	4
160	они и	3	4
161	в основном	10	4
162	отличие от	7	4
163	не столько	5	4
164	могут быть	4	4
165	и до	4	4
166	и тогда	2	4
167	не на	2	4
168	во всей	2	4
169	этого слова	7	4
170	во всяком	8	4
171	в основе	10	4
172	и от	6	4
173	и здесь	9	4
174	не просто	2	4
175	кроме того	7	4
176	в отличие	7	4
177	но все	4	4
178	переход от	4	4
179	именно в	6	4
180	в котором	6	4
181	в своих	2	4
182	как они	2	4
183	этот вопрос	5	4
184	уже в	3	4
185	в ней	5	4
186	всяком случае	4	4
187	по всем	2	4
188	на этой	6	4
189	на основе	4	4
190	никогда не	7	3
191	всех этих	2	3
192	его к	4	3
193	в одной	4	3
194	в форме	3	3
195	то есть	2	3
196	это и	3	3
197	в виду	2	3
198	на все	2	3
199	как он	3	3
200	мы здесь	2	3
201	или менее	3	3
202	мы знаем	7	3
203	что все	3	3
204	и это	6	3
205	более или	3	3
206	тех пор	2	3
207	точки зрения	48	3
208	связь с	4	3
209	где они	2	3
210	какой степени	2	3
211	и те	7	3
212	большинстве случаев	7	3
213	же не	2	3
214	в области	3	3
215	совсем не	2	3
216	в какой	5	3
217	в ее	9	3
218	и во	2	3
219	в своей	5	3
220	он был	2	3
221	свою очередь	5	3
222	значение и	3	3
223	нет и	4	3
224	место в	5	3
225	имеет место	2	3
226	и то	4	3
227	независимо от	3	3
228	с другими	6	3
229	по отношению	10	3
230	в которой	4	3
231	от этого	3	3
232	до тех	2	3
233	если бы	12	3
234	на первый	2	3
235	так называемой	3	3
236	жизни в	5	3
237	отношению к	9	3
238	сих пор	10	3
239	с одной	2	3
240	на этот	3	3
241	не к	3	3
242	на то	4	3
243	слова в	8	3
244	в русской	3	3
245	из которых	2	3
246	же деле	5	3
247	можно назвать	2	3
248	с точки	31	3
249	сводится к	5	3
250	здесь не	2	3
251	самом же	5	3
252	и его	33	3
253	же и	3	3
254	как на	2	3
255	тому же	2	3
256	в большинстве	7	3
257	из основных	3	3
258	пор пока	2	3
259	быть и	9	3
260	до сих	10	3
261	во все	2	2
262	следовательно и	4	2
263	к этим	3	2
264	и следовательно	8	2
265	не имеют	5	2
266	в себе	5	2
267	от него	4	2
268	и вообще	3	2
269	в духе	2	2
270	не как	5	2
271	в конце	5	2
272	должен быть	2	2
273	одним из	4	2
274	и тем	4	2
275	а как	7	2
276	и всегда	2	2
277	между ними	6	2
278	так называемая	4	2
279	в частности	2	2
280	самом деле	18	2
281	там и	3	2
282	подойти к	3	2
283	не так	2	2
284	всем этим	2	2
285	только с	3	2
286	к этой	2	2
287	они не	2	2
288	с другом	2	2
289	в более	3	2
290	точка зрения	8	2
291	и непосредственно	2	2
292	ту же	2	2
293	не дает	4	2
294	одной стороны	2	2
295	ответ на	3	2
296	здесь в	5	2
297	между двумя	4	2
