N	2gram	Propp_Isto	Russkaja
1	не может	10	22
2	и не	19	19
3	в том	13	17
4	в этом	20	17
5	с другом	2	14
6	и в	44	14
7	друг с	2	14
8	то что	16	13
9	точки зрения	3	11
10	то же	9	11
11	таким образом	21	11
12	в то	5	10
13	но и	16	10
14	не только	17	9
15	том что	12	9
16	может быть	31	9
17	того чтобы	3	8
18	как на	3	8
19	прежде всего	7	8
20	и с	8	7
21	о том	11	7
22	в данном	3	7
23	мы должны	7	7
24	самом деле	2	7
25	с тем	9	6
26	если в	4	6
27	и для	3	6
28	в своих	4	6
29	и к	3	6
30	если бы	5	6
31	все это	4	6
32	для того	3	6
33	и при	3	6
34	что он	29	6
35	в своем	3	6
36	для него	2	6
37	вопрос о	5	5
38	а в	9	5
39	на то	3	5
40	было бы	2	5
41	хотя бы	2	5
42	из которых	7	5
43	и на	11	5
44	потому что	18	5
45	при этом	4	5
46	в нем	10	5
47	он должен	2	5
48	в своей	3	5
49	только в	8	5
50	никогда не	5	5
51	он не	5	5
52	сих пор	7	5
53	во всех	3	5
54	по существу	2	5
55	до сих	7	5
56	и то	5	4
57	что в	18	4
58	но не	8	4
59	его в	17	4
60	все же	17	4
61	себя в	6	4
62	не могут	2	4
63	к этой	3	4
64	не в	11	4
65	как и	12	4
66	ли это	2	4
67	как бы	4	4
68	все что	5	4
69	приводит к	2	4
70	так как	19	4
71	тогда когда	3	4
72	которой он	2	4
73	жизни и	4	4
74	в его	16	4
75	со стороны	6	4
76	когда они	3	4
77	во всем	4	4
78	в этой	5	4
79	себе и	2	4
80	вместе с	26	4
81	в другое	2	4
82	одной из	3	3
83	данном случае	2	3
84	одна из	6	3
85	то это	8	3
86	том чтобы	3	3
87	для этого	3	3
88	что все	4	3
89	что это	8	3
90	о которых	4	3
91	но мы	5	3
92	этом случае	13	3
93	на том	5	3
94	и сейчас	3	3
95	из этих	5	3
96	приходит к	3	3
97	всех этих	2	3
98	и потому	2	3
99	что оно	4	3
100	в другом	2	3
101	главным образом	2	3
102	из них	4	3
103	но если	2	3
104	и как	5	3
105	несмотря на	3	3
106	знаем что	10	3
107	что и	11	3
108	или в	7	3
109	лишь в	2	3
110	из этого	3	3
111	таким же	5	3
112	и по	3	3
113	связи с	10	3
114	еще не	16	3
115	в виде	13	3
116	того что	3	3
117	в качестве	13	3
118	что они	3	3
119	друг друга	5	3
120	не было	2	3
121	и т	39	3
122	тем что	12	3
123	то в	2	3
124	и о	2	2
125	всех людей	3	2
126	в течение	2	2
127	даже если	2	2
128	с этим	7	2
129	в таких	3	2
130	есть и	3	2
131	тем самым	2	2
132	ее в	8	2
133	к нему	5	2
134	на этой	5	2
135	она не	7	2
136	но в	7	2
137	ни в	2	2
138	за нее	2	2
139	в котором	2	2
140	так же	14	2
141	их в	7	2
142	на себя	4	2
143	этого не	2	2
144	или от	2	2
145	людей и	2	2
146	даже и	2	2
147	в ней	8	2
148	чтобы она	2	2
149	центр тяжести	2	2
150	уже не	14	2
151	на которой	4	2
152	время в	2	2
153	этот вопрос	2	2
154	в некоторых	6	2
155	по отношению	2	2
156	но для	4	2
157	но даже	2	2
158	даже не	2	2
159	и вместе	3	2
160	если не	4	2
161	в силу	7	2
162	и даже	4	2
163	а не	5	2
164	для нас	6	2
165	по себе	2	2
166	от него	2	2
167	мы можем	6	2
168	целый ряд	4	2
169	точно так	3	2
170	к себе	3	2
171	зависит от	4	2
172	в других	4	2
173	и тем	7	2
174	и вот	4	2
175	и что	13	2
176	но это	10	2
177	что с	2	2
178	это только	2	2
179	все эти	11	2
180	совершенно не	2	2
181	и наконец	2	2
182	а с	2	2
183	и тогда	2	2
184	в этих	7	2
185	только на	2	2
186	в частности	9	2
187	в таком	2	2
188	и есть	3	2
189	так что	2	2
190	во время	12	2
191	как будто	2	2
192	у народов	11	2
193	именно на	2	2
194	должна быть	3	2
195	его и	2	2
196	с ним	9	2
197	приводят к	3	2
198	у него	7	2
199	мы уже	6	2
200	и более	3	2
201	их не	3	2
202	ясно что	5	2
