N	3gram	Losev_Prob	DiskursI
1	в том что	17	28
2	в отличие от	2	26
3	с одной стороны	2	14
4	не может быть	5	12
5	в данном случае	12	12
6	той или иной	16	10
7	о том что	8	9
8	в то же	10	8
9	как и в	2	7
10	по крайней мере	9	6
11	так и в	2	6
12	с точки зрения	9	6
13	то же самое	17	5
14	и как бы	2	5
15	что же касается	5	5
16	подобно тому как	2	5
17	не только в	2	5
18	с другой стороны	11	5
19	и может быть	2	5
20	в первую очередь	3	5
21	дело в том	4	5
22	и прежде всего	3	4
23	тем не менее	23	4
24	тот или иной	4	4
25	можно сказать что	2	4
26	в этом случае	8	4
27	же самое можно	2	4
28	сказать и о	2	4
29	то есть в	5	3
30	одно и то	4	3
31	и то же	5	3
32	и в частности	4	3
33	содержит в себе	13	3
34	более или менее	2	3
35	мы имеем дело	2	3
36	во всяком случае	8	3
37	как будто бы	7	3
38	на первый взгляд	3	3
39	того или иного	5	3
40	то ни было	4	2
41	бы то ни	5	2
42	сами по себе	8	2
43	как мы видели	2	2
44	с той или	5	2
45	но и в	2	2
46	у пушкина и	2	2
47	только то что	4	2
48	только в том	2	2
49	но отнюдь не	2	2
50	и в то	2	2
51	обратить внимание на	2	2
52	и то что	8	2
