N	2gram	Losev_Prob	slovoVRo
1	и в	64	92
2	и т	13	82
3	то есть	61	64
4	в нем	14	59
5	может быть	29	59
6	и его	3	59
7	и не	63	51
8	не только	37	44
9	не может	18	41
10	но и	23	39
11	в этом	30	36
12	а не	21	34
13	во всех	9	32
14	так и	17	30
15	точки зрения	5	30
16	могут быть	2	29
17	и др	2	29
18	языка и	5	29
19	в пределах	2	29
20	в его	12	27
21	все это	11	25
22	языка в	3	25
23	слово в	2	24
24	слова и	5	24
25	как бы	18	24
26	то же	10	23
27	и на	11	22
28	не в	6	21
29	в сущности	2	21
30	как в	5	21
31	вовсе не	60	21
32	в то	7	20
33	прежде всего	17	19
34	как мы	10	19
35	или иной	8	18
36	как и	7	18
37	язык и	2	18
38	с ним	4	18
39	все же	7	17
40	оно не	6	17
41	все эти	15	17
42	в истории	6	17
43	в основе	4	17
44	и даже	19	17
45	таким образом	9	17
46	к своему	2	16
47	при этом	8	16
48	в них	8	16
49	но в	19	16
50	той или	10	15
51	и с	12	15
52	в той	2	15
53	с точки	3	15
54	только в	19	14
55	это не	7	13
56	и следовательно	6	13
57	с его	3	13
58	и для	10	13
59	с другой	8	13
60	никогда не	8	12
61	в отношении	7	12
62	и потому	3	12
63	а в	7	12
64	или в	5	12
65	во всяком	18	12
66	и наконец	3	12
67	еще не	18	12
68	и к	2	12
69	в плане	2	11
70	один из	7	11
71	языка как	2	11
72	на его	2	11
73	одной стороны	4	11
74	слова как	2	11
75	в этих	7	11
76	с одной	4	11
77	для него	2	11
78	все они	2	10
79	в своем	7	10
80	и их	4	10
81	в том	19	10
82	и все	9	10
83	она не	5	10
84	в себе	16	10
85	с другими	6	10
86	всех этих	11	10
87	в него	3	10
88	т д	12	10
89	лишь в	4	10
90	в языке	13	10
91	далеко не	9	10
92	уже не	9	10
93	его в	9	9
94	и от	3	9
95	одним из	2	9
96	или менее	7	9
97	к нему	5	9
98	более или	7	9
99	здесь в	4	9
100	в их	7	9
101	в своей	8	9
102	этом случае	6	9
103	сказать что	33	9
104	одна из	4	9
105	так как	16	9
106	языка а	2	9
107	поэтому и	2	9
108	но не	13	9
109	в смысле	2	9
110	на почве	2	9
111	конечно не	3	9
112	он не	5	9
113	быть и	5	9
114	язык не	2	8
115	не могут	6	8
116	для понимания	2	8
117	в зависимости	2	8
118	не на	4	8
119	все время	3	8
120	с этим	7	8
121	в значительной	2	8
122	и часто	2	8
123	зависимости от	2	8
124	в самом	10	8
125	входит в	4	8
126	для нас	11	8
127	всяком случае	11	8
128	в предмете	4	8
129	перед нами	7	7
130	том что	26	7
131	язык как	3	7
132	но именно	5	7
133	по преимуществу	4	7
134	о нем	3	7
135	того же	3	7
136	единый и	2	7
137	связи с	8	7
138	известной степени	2	7
139	например в	2	7
140	смысла и	2	7
141	мышления и	6	7
142	слово и	3	7
143	здесь не	9	7
144	за пределы	6	7
145	но все	5	7
146	также и	22	7
147	не было	7	7
148	в таком	18	7
149	кроме того	7	7
150	же и	4	7
151	мы уже	8	7
152	даже в	2	6
153	ничего не	20	6
154	которые в	4	6
155	роль в	2	6
156	бы и	5	6
157	а также	6	6
158	что в	21	6
159	ни в	13	6
160	в чисто	2	6
161	в качестве	3	6
162	мы сказали	2	6
163	можно сказать	9	6
164	другой стороны	7	6
165	говорить о	14	6
166	и здесь	8	6
167	стороны и	3	6
168	хотя бы	15	6
169	он в	2	6
170	именно в	5	6
171	по себе	20	6
172	между тем	3	6
173	между этими	2	5
174	не как	2	5
175	только на	13	5
176	не знает	4	5
177	не менее	26	5
178	но оно	2	5
179	мы не	6	5
180	и по	3	5
181	в других	5	5
182	хотя и	8	5
183	особенно в	3	5
184	для этого	5	5
185	в данном	16	5
186	и при	4	5
187	в результате	6	5
188	и может	2	5
189	этом отношении	2	5
190	не является	12	5
191	для того	10	5
192	должна быть	2	5
193	и более	4	5
194	как такового	4	5
195	в дальнейшем	5	5
196	о том	25	5
197	к его	2	5
198	той же	2	5
199	уже в	6	5
200	или даже	3	5
201	и чисто	4	5
202	и сам	3	5
203	как его	2	5
204	но он	3	5
205	вместе с	4	5
206	литературы и	5	4
207	очень трудно	3	4
208	оно и	3	4
209	следовательно и	3	4
210	для всех	3	4
211	к предмету	3	4
212	так же	12	4
213	но как	11	4
214	и ее	9	4
215	в другом	2	4
216	в понимании	2	4
217	что и	2	4
218	в виду	10	4
219	что он	11	4
220	он должен	2	4
221	однако в	2	4
222	здесь как	3	4
223	в виде	20	4
224	в частности	5	4
225	от других	3	4
226	того что	18	4
227	может иметь	3	4
228	языке и	4	4
229	до сих	6	4
230	именно как	7	4
231	даже и	18	4
232	в чем	3	4
233	сознание и	2	4
234	что оно	4	4
235	тогда когда	4	4
236	точном смысле	2	4
237	того чтобы	10	4
238	ли он	2	4
239	и во	4	4
240	же как	2	4
241	те или	3	4
242	только и	5	4
243	с этими	4	4
244	но это	11	4
245	его как	2	4
246	в которой	2	4
247	и как	10	4
248	если бы	8	4
249	вообще не	5	4
250	в условиях	2	4
251	со всеми	2	4
252	и о	11	4
253	или как	4	4
254	в известной	2	4
255	сих пор	6	4
256	быть только	3	4
257	к тому	5	4
258	в литературе	4	4
259	значение в	4	4
260	есть как	2	4
261	и другим	2	4
262	из них	3	4
263	художественный образ	9	4
264	из этого	2	4
265	и уже	4	4
266	как только	3	4
267	именно на	3	4
268	первый план	3	4
269	отношения к	2	4
270	и речи	3	4
271	по существу	2	4
272	на первый	5	4
273	как раз	20	4
274	в системе	3	4
275	данном случае	10	3
276	в нее	2	3
277	время и	2	3
278	нисколько не	3	3
279	его от	4	3
280	но она	3	3
281	не был	4	3
282	но эта	3	3
283	которого он	2	3
284	такого рода	20	3
285	в одно	5	3
286	следовательно в	2	3
287	как это	7	3
288	может и	3	3
289	от нас	6	3
290	в такой	3	3
291	от всякой	2	3
292	тому что	6	3
293	не приходится	2	3
294	всем этим	3	3
295	только с	3	3
296	на том	5	3
297	не требует	2	3
298	и без	6	3
299	говорит и	3	3
300	и те	2	3
301	между собой	5	3
302	смысле слова	11	3
303	переходит в	2	3
304	и до	3	3
305	было бы	16	3
306	в первом	2	3
307	ведь и	2	3
308	как для	2	3
309	в корне	2	3
310	конечно в	2	3
311	и то	15	3
312	на всю	2	3
313	и вообще	13	3
314	или иного	6	3
315	нашей темы	2	3
316	того или	8	3
317	в сознании	5	3
318	из этих	5	3
319	как оно	3	3
320	однако и	4	3
321	от этого	2	3
322	не все	4	3
323	дело в	3	3
324	должно быть	3	3
325	действительности в	3	3
326	другом случае	2	3
327	это было	3	3
328	отличается от	2	3
329	xx века	2	3
330	сама по	6	3
331	но уже	9	3
332	или иных	2	3
333	тем что	10	3
334	в связи	7	3
335	нами в	3	3
336	смысл и	3	3
337	не должны	4	3
338	нас в	4	3
339	которых мы	2	3
340	или на	3	3
341	тех или	5	3
342	не есть	49	3
343	в этой	14	3
344	предмета и	5	3
345	потому что	24	3
346	все что	2	3
347	если мы	16	3
348	и это	13	3
349	в эту	2	3
350	не знаем	3	3
351	языка от	2	3
352	самого предмета	2	3
353	входить в	3	3
354	мы говорили	5	3
355	и тем	16	3
356	без всякого	5	3
357	и нет	2	3
358	тем и	3	3
359	понимать и	2	2
360	на самом	9	2
361	в таких	5	2
362	ни о	8	2
363	о которых	6	2
364	но мы	3	2
365	и этого	2	2
366	но такое	2	2
367	для всего	2	2
368	есть только	16	2
369	без всяких	2	2
370	этого романа	2	2
371	на один	2	2
372	и есть	7	2
373	есть не	10	2
374	слова это	2	2
375	во всякой	2	2
376	самый язык	2	2
377	как он	4	2
378	не столь	2	2
379	так что	12	2
380	но по	2	2
381	и ни	7	2
382	а его	2	2
383	есть в	9	2
384	самого начала	2	2
385	бы его	3	2
386	то что	72	2
387	по своему	14	2
388	предмета в	2	2
389	никак нельзя	5	2
390	ничего нового	2	2
391	что все	9	2
392	xix и	3	2
393	одного из	2	2
394	только не	4	2
395	с самого	3	2
396	или его	4	2
397	мы наблюдаем	2	2
398	могли бы	2	2
399	и само	3	2
400	у пушкина	2	2
401	анализа и	4	2
402	и та	2	2
403	что не	8	2
404	место в	2	2
405	для них	5	2
406	в ее	3	2
407	мы видим	2	2
408	его для	2	2
409	и самый	3	2
410	только как	2	2
411	нужно сказать	3	2
412	войти в	3	2
413	что они	5	2
414	был бы	6	2
415	значение и	7	2
416	во всей	4	2
417	случае не	6	2
418	из самых	3	2
419	от всякого	2	2
420	требует от	2	2
421	это возможно	2	2
422	и свои	3	2
423	это нужно	2	2
424	того как	3	2
425	до последнего	2	2
426	да и	11	2
427	особого рода	3	2
428	с которыми	4	2
429	время как	2	2
430	человеческой речи	3	2
431	то в	6	2
432	с такими	3	2
433	то и	7	2
434	утверждать что	2	2
435	независимо от	2	2
436	и что	21	2
437	символа в	5	2
438	нового не	2	2
439	можно было	8	2
440	что она	8	2
441	свой смысл	3	2
442	при таком	2	2
443	не нужно	6	2
444	нашего сознания	3	2
445	же в	5	2
446	перестает быть	3	2
447	он был	2	2
448	на возможность	2	2
449	в области	8	2
450	то или	3	2
451	и той	4	2
452	этого предмета	2	2
453	мира в	2	2
454	об этом	10	2
455	и всякое	2	2
456	значение как	2	2
457	и которые	6	2
458	тот или	4	2
459	если оно	2	2
460	как о	4	2
461	в жизни	3	2
462	тем не	25	2
463	но повторяем	2	2
464	у нас	31	2
465	иметь в	5	2
