N	2gram	Propp_Russ	VerxiiNi
1	и в	59	26
2	таким образом	10	22
3	с тем	14	18
4	в этом	18	15
5	вместе с	16	15
6	точки зрения	3	13
7	как бы	18	12
8	в том	33	11
9	не только	28	10
10	из этих	6	10
11	и с	12	10
12	может быть	14	10
13	что в	35	9
14	так как	25	9
15	в области	3	9
16	связи с	6	9
17	но и	20	9
18	но не	7	8
19	главным образом	5	8
20	и у	5	8
21	и не	6	8
22	как на	2	8
23	но все	3	7
24	к нему	3	7
25	потому что	15	7
26	связанные с	5	7
27	из них	12	7
28	то что	10	7
29	но в	5	7
30	том что	33	7
31	а с	6	7
32	представление о	5	6
33	все же	7	6
34	к тому	4	6
35	о том	14	6
36	мы должны	3	6
37	несмотря на	4	6
38	что и	8	6
39	с точки	3	6
40	все эти	5	6
41	все это	12	6
42	и потому	3	6
43	так и	8	6
44	и для	3	5
45	не имеет	9	5
46	так же	7	5
47	и к	3	5
48	в силу	2	5
49	к жизни	3	5
50	того чтобы	6	5
51	в его	3	5
52	для того	6	5
53	а не	3	5
54	образом в	2	5
55	на этот	3	4
56	и от	2	4
57	что все	2	4
58	далеко не	5	4
59	а в	16	4
60	с другими	3	4
61	в котором	2	4
62	в нем	3	4
63	не может	6	4
64	в которых	8	4
65	то есть	3	4
66	из которых	2	4
67	в виде	10	4
68	то же	6	4
69	должен был	3	4
70	и что	8	4
71	и по	10	4
72	в этих	3	4
73	только в	4	4
74	что он	2	4
75	во время	23	4
76	в течение	7	4
77	в этой	4	4
78	в то	3	4
79	что это	4	3
80	на нее	5	3
81	в своем	3	3
82	если в	3	3
83	к ним	4	3
84	уже не	9	3
85	к этому	7	3
86	с ней	7	3
87	в которой	3	3
88	тем не	3	3
89	представляет собой	5	3
90	и как	2	3
91	что эти	2	3
92	и те	3	3
93	же как	5	3
94	в других	24	3
95	при этом	11	3
96	не менее	3	3
97	на западе	2	3
98	у них	2	3
99	когда он	3	3
100	в качестве	5	3
101	и при	2	3
102	с этой	2	3
103	в связи	4	3
104	и другие	24	3
105	подойти к	2	3
106	в таком	5	3
107	так что	4	3
108	и о	4	3
109	русского народа	3	3
110	в народном	4	3
111	в одном	4	3
112	того что	6	3
113	по своему	2	2
114	мы видели	3	2
115	одно из	6	2
116	так например	7	2
117	от них	4	2
118	но вместе	3	2
119	которые в	2	2
120	для этого	6	2
121	начиная с	4	2
122	некоторые из	2	2
123	в эту	3	2
124	и связанные	2	2
125	и это	2	2
126	а также	6	2
127	в россии	4	2
128	на то	2	2
129	состоит в	18	2
130	мы имеем	7	2
131	ко всему	2	2
132	мы можем	2	2
133	и другой	5	2
134	вплоть до	4	2
135	между тем	9	2
136	одним из	2	2
137	в свою	3	2
138	связанных с	2	2
139	из своих	2	2
140	должно было	5	2
141	именно в	3	2
142	приводит к	4	2
143	тогда когда	4	2
144	отличаются от	2	2
145	в образе	3	2
146	но если	2	2
147	в них	10	2
148	очень много	2	2
149	и на	14	2
150	в русском	4	2
151	и здесь	3	2
152	и действительно	2	2
153	уже в	2	2
154	с целью	2	2
155	еще не	7	2
156	к другу	2	2
157	все что	2	2
158	так чтобы	2	2
159	что именно	3	2
160	не было	3	2
161	так называемой	3	2
162	не в	2	2
163	не всегда	4	2
164	только для	3	2
165	и наконец	2	2
166	ничего общего	3	2
167	в одно	2	2
168	ее с	2	2
169	на все	3	2
170	и все	4	2
171	один из	10	2
172	в виду	3	2
173	связано с	3	2
174	должна была	6	2
175	и после	2	2
176	не к	3	2
177	прежде всего	2	2
178	и из	3	2
179	тот же	2	2
180	его от	2	2
181	во всех	6	2
182	в разных	3	2
183	и сами	2	2
184	тем и	4	2
185	быть и	3	2
186	не с	5	2
187	по существу	7	2
