N	2gram	Losev_Vesc	VerxiiNi
1	и в	44	26
2	таким образом	16	22
3	с тем	8	18
4	в этом	17	15
5	вместе с	4	15
6	точки зрения	10	13
7	как бы	19	12
8	в том	15	11
9	не только	48	10
10	и с	11	10
11	может быть	37	10
12	что в	11	9
13	так как	17	9
14	но и	19	9
15	но не	9	8
16	с другой	8	8
17	главным образом	3	8
18	и у	4	8
19	и не	57	8
20	но все	3	7
21	к нему	3	7
22	потому что	25	7
23	одной стороны	3	7
24	из них	7	7
25	то что	47	7
26	с одной	3	7
27	но в	8	7
28	том что	13	7
29	а с	3	7
30	религиозного сознания	2	6
31	в отношении	7	6
32	все же	18	6
33	к тому	3	6
34	о том	11	6
35	мы должны	5	6
36	того же	5	6
37	в себе	23	6
38	в конце	3	6
39	несмотря на	6	6
40	всяком случае	2	6
41	что и	11	6
42	с точки	6	6
43	все эти	5	6
44	все это	7	6
45	и потому	8	6
46	так и	4	6
47	во всяком	4	6
48	никогда не	5	5
49	и для	13	5
50	не имеет	2	5
51	более или	4	5
52	так же	4	5
53	в силу	4	5
54	друг с	2	5
55	отношение к	4	5
56	того чтобы	4	5
57	в его	5	5
58	крайней мере	10	5
59	для того	3	5
60	с другом	2	5
61	а не	34	5
62	по крайней	10	5
63	или менее	4	5
64	и от	4	4
65	что все	2	4
66	далеко не	2	4
67	а в	6	4
68	с другими	8	4
69	в котором	4	4
70	в самом	13	4
71	в нем	6	4
72	не может	44	4
73	в смысле	22	4
74	и тогда	7	4
75	что оно	10	4
76	то есть	2	4
77	из которых	3	4
78	в виде	3	4
79	то же	12	4
80	и что	22	4
81	только в	23	4
82	что он	7	4
83	и только	11	4
84	он не	4	4
85	ничем не	4	4
86	в этой	4	4
87	в то	11	4
88	учение о	2	4
89	что это	18	3
90	на нее	2	3
91	в своем	9	3
92	так или	5	3
93	но с	2	3
94	не вполне	2	3
95	или иначе	5	3
96	и если	5	3
97	уже не	15	3
98	хотя бы	9	3
99	и нет	3	3
100	к этому	2	3
101	в результате	9	3
102	с ней	2	3
103	в которой	5	3
104	тем не	11	3
105	и даже	12	3
106	и как	12	3
107	что эти	2	3
108	если бы	8	3
109	же как	3	3
110	конце концов	2	3
111	не менее	11	3
112	то с	3	3
113	как о	5	3
114	а так	3	3
115	у них	2	3
116	когда он	2	3
117	в качестве	4	3
118	с этой	6	3
119	и другие	2	3
120	так что	9	3
121	случае не	3	3
122	ясно что	10	3
123	и о	4	3
124	можно сказать	8	3
125	и таким	2	3
126	в одном	6	3
127	того что	16	3
128	для него	8	3
129	мы видели	3	2
130	одно из	2	2
131	сказать что	21	2
132	что о	2	2
133	для этого	5	2
134	этой точки	3	2
135	о котором	2	2
136	и заставляет	2	2
137	из этого	3	2
138	по сравнению	8	2
139	и это	17	2
140	раз она	2	2
141	положение дела	2	2
142	нужно чтобы	2	2
143	в россии	2	2
144	на то	9	2
145	утверждать что	2	2
146	в самой	3	2
147	или по	2	2
148	относится к	6	2
149	ли это	9	2
150	можно только	6	2
151	мы имеем	8	2
152	мы можем	4	2
153	есть как	3	2
154	свидетельствует о	3	2
155	и другой	2	2
156	не потому	7	2
157	только что	2	2
158	к его	2	2
159	в свою	5	2
160	из себя	6	2
161	не как	2	2
162	ярко в	2	2
163	именно в	2	2
164	конечно не	2	2
165	отличается от	8	2
166	если не	3	2
167	приводит к	2	2
168	тогда когда	5	2
169	отличаются от	2	2
170	с именем	6	2
171	но если	12	2
172	что мы	17	2
173	только не	5	2
174	и на	2	2
175	и здесь	5	2
176	уже в	2	2
177	еще не	12	2
178	по своей	3	2
179	все что	3	2
180	так чтобы	4	2
181	то или	5	2
182	жизни и	6	2
183	что именно	4	2
184	не было	4	2
185	и больше	13	2
186	превращается в	3	2
187	когда же	2	2
188	этом отношении	2	2
189	не в	14	2
190	у всех	3	2
191	то ни	13	2
192	ни было	12	2
193	той или	3	2
194	перестает быть	3	2
195	в одно	2	2
196	ее с	5	2
197	на все	2	2
198	и все	6	2
199	но когда	3	2
200	же время	4	2
201	один из	5	2
202	в виду	2	2
203	сравнению с	7	2
204	не к	3	2
205	может ли	2	2
206	силы и	2	2
207	прежде всего	17	2
208	признать что	2	2
209	бы то	12	2
210	тот же	4	2
211	его от	2	2
212	с его	2	2
213	во всех	5	2
214	в разных	6	2
215	то ясно	2	2
216	быть и	5	2
217	не с	8	2
218	по существу	3	2
219	все существующее	2	2
