N	2gram	Vinokur_St	Myshleni
1	в том	56	195
2	в этом	37	167
3	то что	27	166
4	и в	61	162
5	том что	49	161
6	в развитии	2	151
7	таким образом	16	147
8	точки зрения	16	143
9	что в	41	119
10	не только	36	116
11	того что	14	109
12	в процессе	3	101
13	так же	7	100
14	и речи	3	96
15	потому что	13	95
16	того чтобы	15	91
17	может быть	16	89
18	с точки	10	89
19	что он	23	86
20	не может	10	81
21	как и	11	79
22	так как	7	78
23	для того	15	78
24	и не	23	78
25	только в	11	75
26	в целом	5	74
27	но и	28	70
28	заключается в	5	67
29	в его	19	67
30	сказать что	9	65
31	как бы	8	64
32	вместе с	5	62
33	в качестве	7	60
34	и что	8	60
35	было бы	21	60
36	то же	7	58
37	в основе	4	58
38	в отношении	11	55
39	что мы	5	53
40	в самом	14	52
41	в сущности	2	51
42	к тому	9	49
43	что они	9	48
44	тем что	6	48
45	мы не	3	47
46	если бы	11	46
47	но не	5	45
48	с другой	11	45
49	по отношению	3	45
50	тем самым	2	43
51	с тем	3	43
52	же как	5	43
53	как это	6	42
54	тому что	8	42
55	отношению к	3	42
56	не является	5	41
57	по своей	2	40
58	одной стороны	2	40
59	о том	30	40
60	так и	15	39
61	никогда не	7	39
62	с одной	3	39
63	в области	16	38
64	вопрос о	9	37
65	не в	15	37
66	в этой	13	37
67	и к	5	37
68	в своем	8	36
69	с самого	4	36
70	все эти	7	36
71	и его	11	36
72	самого начала	3	36
73	как в	15	36
74	а не	19	36
75	того же	4	35
76	можно было	14	35
77	он не	11	35
78	в которой	13	35
79	в себе	3	35
80	для себя	3	35
81	и как	2	34
82	связи с	3	34
83	при этом	4	33
84	прежде всего	11	33
85	по себе	3	33
86	нас к	2	32
87	что и	8	32
88	именно в	8	32
89	по своему	2	32
90	но в	16	32
91	той же	5	32
92	и тем	3	32
93	что оно	4	32
94	и на	7	32
95	и то	6	31
96	из того	2	31
97	все же	12	31
98	этом отношении	13	30
99	на то	5	30
100	между тем	7	29
101	могут быть	5	29
102	этого слова	2	29
103	как известно	2	29
104	с этим	6	28
105	самом деле	14	28
106	что с	4	28
107	что все	3	27
108	в своей	12	27
109	с этой	5	27
110	в результате	5	27
111	в то	10	27
112	этом случае	3	27
113	другой стороны	9	27
114	и с	6	27
115	в их	3	26
116	в частности	6	26
117	что это	5	26
118	для него	10	26
119	все это	13	25
120	еще не	4	25
121	уже в	3	25
122	что она	5	25
123	это не	8	25
124	только не	2	25
125	в чем	4	25
126	можно сказать	2	25
127	так что	8	24
128	тот же	2	24
129	целый ряд	3	24
130	в какой	4	24
131	что эта	5	24
132	в нем	9	24
133	того как	8	24
134	зависимости от	2	24
135	на этот	5	24
136	в слове	5	24
137	оба эти	4	24
138	как он	3	23
139	бы в	2	23
140	ни в	5	23
141	этот вопрос	6	23
142	смысле этого	2	22
143	в известном	3	22
144	во всяком	8	22
145	в зависимости	2	22
146	не могут	2	22
147	столь же	5	22
148	то время	2	22
149	отношение к	3	21
150	на основании	2	21
151	в истории	5	21
152	отношений между	3	21
153	как говорит	3	21
154	и более	4	21
155	его в	4	21
156	представление о	5	21
157	там где	6	21
158	к этому	4	21
159	и все	3	21
160	ее в	2	21
161	не имеет	5	21
162	в сознании	2	21
163	в такой	2	20
164	в котором	11	20
165	в виду	6	20
166	по существу	3	20
167	а в	18	20
168	время как	2	20
169	к которому	4	20
170	из них	11	20
171	как раз	10	20
172	в другом	5	20
173	и их	3	20
174	на вопрос	7	20
175	не менее	8	20
176	говорит что	4	20
177	из этих	7	20
178	в наших	2	20
179	в пользу	5	20
180	в данном	16	19
181	в той	9	19
182	как на	10	19
183	но если	5	19
184	а с	6	19
185	и по	6	19
186	во всех	8	19
187	чем в	3	18
188	всяком случае	8	18
189	но это	9	18
190	этом смысле	2	18
191	для этого	2	17
192	мы находим	4	17
193	сих пор	12	17
194	и для	4	17
195	в своих	2	17
196	в одном	7	17
197	и от	2	17
198	совпадает с	3	17
199	это положение	2	17
200	и только	3	17
201	в этих	5	17
202	их в	2	17
203	тем же	3	17
204	до конца	4	17
205	я не	13	17
206	у него	3	17
207	до сих	13	17
208	раньше чем	4	16
209	языка и	4	16
210	вовсе не	24	16
211	по поводу	13	16
212	и другие	3	16
213	для нас	7	16
214	которые в	2	16
215	такой же	6	16
216	то в	3	16
217	и даже	8	16
218	в которых	5	16
219	мы имеем	2	16
220	которые не	3	16
221	данном случае	7	15
222	тем более	4	15
223	том же	3	15
224	значит что	3	15
225	по этому	5	15
226	в начале	5	15
227	от этого	2	15
228	со всеми	2	15
229	что при	3	15
230	хотя бы	8	15
231	отличается от	2	15
232	вообще не	5	15
233	является не	4	15
234	ничего не	6	15
235	на все	2	15
236	и это	4	15
237	в них	2	15
238	он должен	2	14
239	точку зрения	3	14
240	значение для	2	14
241	и во	3	14
242	что для	4	14
243	что у	8	14
244	в первую	2	14
245	одной из	4	14
246	но что	2	14
247	связанные с	3	14
248	о чем	4	14
249	об этом	9	14
250	первую очередь	2	14
251	с его	3	14
252	одним из	2	14
253	и здесь	2	14
254	этих двух	4	14
255	она не	3	13
256	на его	2	13
257	но все	9	13
258	лишь в	3	13
259	в виде	3	13
260	точно так	2	13
261	другом месте	2	13
262	факт что	6	13
263	они не	2	13
264	к его	2	13
265	если в	2	13
266	но на	2	13
267	были бы	2	12
268	и потому	3	12
269	в ее	6	12
270	в первом	2	12
271	тем не	4	12
272	но только	2	12
273	даже в	5	12
274	с которыми	3	12
275	выражение в	2	12
276	это и	5	12
277	несмотря на	4	12
278	в ней	9	12
279	от его	2	12
280	только к	2	12
281	с их	2	12
282	свое выражение	2	12
283	еще более	5	12
284	ясно что	10	12
285	в одной	3	12
286	к нему	2	12
287	за пределы	2	12
288	тому же	2	12
289	но он	5	12
290	на самом	8	11
291	в каком	4	11
292	в конце	5	11
293	одно из	3	11
294	идет о	3	11
295	что этот	3	11
296	ответ на	4	11
297	например в	8	11
298	в других	2	11
299	раз в	4	11
300	гораздо более	5	11
301	что на	3	11
302	нуждается в	2	11
303	обстоятельство что	4	11
304	то обстоятельство	3	11
305	или менее	2	11
306	не знает	2	11
307	не столько	6	11
308	ничего общего	3	11
309	не по	5	11
310	есть в	2	11
311	отношения к	2	11
312	тот факт	5	10
313	с той	3	10
314	у нас	12	10
315	что такое	2	10
316	если не	4	10
317	о которых	3	10
318	вопроса о	3	10
319	речь идет	6	10
320	том числе	3	10
321	в основу	5	10
322	но для	3	10
323	всякий раз	2	10
324	виде в	2	10
325	бы что	3	10
326	во второй	10	10
327	что как	3	10
328	вытекает из	2	10
329	внимание на	5	10
330	в случае	2	10
331	и у	2	10
332	числе и	2	10
333	не могло	4	10
334	чем он	3	10
335	что именно	2	10
336	такого рода	2	9
337	естественно что	2	9
338	также и	10	9
339	еще в	3	9
340	хотя и	4	9
341	и он	2	9
342	совершенно не	7	9
343	в тех	5	9
344	более или	2	9
345	должны быть	4	9
346	больше чем	3	9
347	оно не	3	9
348	но с	7	9
349	этого вопроса	3	9
350	место в	2	9
351	может не	2	9
352	и до	2	9
353	что же	6	9
354	в первой	12	9
355	должен быть	3	9
356	говорить о	3	9
357	наших глазах	2	8
358	нисколько не	3	8
359	равной мере	2	8
360	относятся к	3	8
361	в деле	3	8
362	что не	3	8
363	во время	5	8
364	что только	2	8
365	одним и	2	8
366	на которой	2	8
367	со стороны	7	8
368	дело с	2	8
369	как правило	2	8
370	из двух	3	8
371	должен был	5	8
372	поэтому в	4	8
373	не как	2	8
374	не являются	3	8
375	в эту	3	8
376	нет никаких	2	8
377	не на	3	8
378	во внимание	2	8
379	этой области	5	8
380	что я	3	8
381	не мог	3	8
382	том как	4	8
383	убедиться в	2	8
384	и те	4	8
385	в равной	2	8
386	и тогда	2	8
387	о котором	2	8
388	в течение	7	8
389	отношении к	3	8
390	связан с	3	8
391	известно что	2	8
392	при помощи	4	7
393	не имеют	2	7
394	этому поводу	4	7
395	должна быть	3	7
396	а также	4	7
397	которые являются	2	7
398	случае в	4	7
399	в общем	2	7
400	это в	4	7
401	всех этих	2	7
402	из нее	3	7
403	которых он	2	7
404	не существует	4	7
405	в таком	4	7
406	и сам	4	7
407	общего с	3	7
408	во втором	5	7
409	до того	4	7
410	в значительной	2	7
411	на него	3	7
412	но они	3	7
413	без всякого	2	7
414	в обоих	2	7
415	мере в	3	7
416	случае не	3	7
417	это слово	6	7
418	этом и	2	7
419	что оба	2	7
420	бы мы	2	6
421	в каждом	3	6
422	что здесь	2	6
423	наконец в	2	6
424	и вообще	5	6
425	это было	2	6
426	можно считать	2	6
427	обоих случаях	2	6
428	начиная с	2	6
429	том смысле	4	6
430	как например	2	6
431	и самый	2	6
432	в двух	4	6
433	говорит о	5	6
434	бы и	4	6
435	могло бы	3	6
436	смысле что	2	6
437	и который	3	6
438	еще и	5	6
439	в отдельных	2	6
440	как к	3	6
441	и эти	2	6
442	из которого	2	6
443	именно поэтому	2	6
444	дело в	9	6
445	ни на	3	6
446	ли не	2	6
447	и о	4	6
448	нужно было	2	6
449	себе в	2	6
450	только потому	2	6
451	что было	3	6
452	очень часто	3	6
453	что то	2	6
454	нас сейчас	2	6
455	имеем дело	2	6
456	что ему	2	5
457	после того	5	5
458	если это	3	5
459	в представлении	2	5
460	вопрос в	4	5
461	о которой	3	5
462	не дает	2	5
463	есть только	2	5
464	не потому	3	5
465	так называемая	3	5
466	в свое	3	5
467	только с	4	5
468	для них	2	5
469	который не	3	5
470	чтобы сделать	2	5
471	о языке	2	5
472	сами по	2	5
473	в данной	2	5
474	что во	3	5
475	целого ряда	2	5
476	нигде не	2	5
477	конце концов	2	5
478	быть в	2	5
479	отчета в	3	5
480	а потому	2	5
481	в новом	4	5
482	в наши	2	5
483	на эти	7	5
484	никто не	4	5
485	им в	2	5
486	бы все	3	5
487	в предисловии	3	5
488	той мере	2	5
489	втором случае	2	5
490	оказывается в	2	5
491	которыми он	3	5
492	ответа на	2	5
493	ни один	2	5
494	говорит об	4	5
495	сомнений в	3	5
496	значительной степени	3	5
497	гораздо больше	2	5
