N	3gram	Voloshinov	VeschiIm
1	не может быть	23	24
2	то ни было	11	12
3	бы то ни	11	12
4	тем не менее	3	11
5	в том что	9	9
6	в самом деле	13	7
7	на то что	2	7
8	сама по себе	2	7
9	с точки зрения	31	6
10	так или иначе	2	6
11	одно и то	3	5
12	и то же	3	5
13	в то же	7	5
14	не только в	2	5
15	в чем же	2	5
16	в свою очередь	5	5
17	более или менее	3	4
18	о том что	2	4
19	есть прежде всего	2	4
20	само по себе	2	4
21	от того что	2	4
22	то же время	7	4
23	не есть вещь	2	4
24	это и есть	2	4
25	– в смысле	2	3
26	можно сказать что	4	3
27	в собственном смысле	2	3
28	можно было бы	2	3
29	с одной стороны	2	3
30	с другой стороны	6	3
31	и не в	3	3
32	если мы возьмем	2	3
33	во всяком случае	4	2
34	в нем нет	4	2
35	но все же	4	2
36	для того чтобы	7	2
37	в этом отношении	4	2
38	том что он	3	2
39	к тому что	4	2
40	в отношении к	7	2
41	в связи с	12	2
42	а не к	2	2
43	в конце концов	3	2
44	так же как	2	2
45	вопрос о том	2	2
46	друг с другом	2	2
47	а не в	3	2
48	в этом смысле	2	2
49	внутреннего и внешнего	4	2
50	а следовательно и	2	2
51	в первом случае	3	2
52	какого бы то	2	2
53	в той или	3	2
