N	3gram	Voloshinov	Myslijsy
1	по отношению к	2	26
2	не может быть	2	19
3	заключает в себе	4	19
4	в свою очередь	4	14
5	то же время	7	13
6	в то же	9	13
7	смысле этого слова	2	12
8	для того чтобы	7	11
9	о том что	2	9
10	но и в	3	9
11	на самом деле	3	8
12	вместе с тем	2	8
13	в этом случае	3	8
14	только потому что	2	8
15	и то же	5	7
16	можно сказать что	2	7
17	одной и той	4	7
18	одно и то	5	7
19	и той же	4	7
20	не только в	3	7
21	с точки зрения	5	7
22	о происхождении языка	2	7
23	не было бы	2	6
24	то же самое	4	6
25	и как бы	2	6
26	с самого начала	4	6
27	то что мы	4	6
28	что мы называем	3	5
29	к тому что	2	5
30	с тем и	2	5
31	все то что	2	4
32	мы видели что	2	4
33	не что иное	2	4
34	мы не знаем	2	4
35	и тем же	2	4
36	в этом отношении	2	4
37	что иное как	2	4
38	одном и том	2	3
39	на первый взгляд	2	3
40	и тем самым	3	3
41	в связи с	2	3
42	мы увидим что	2	3
43	и том же	2	3
44	равно как и	2	3
45	но при этом	2	2
46	то же слово	2	2
47	говорящего и слушающего	3	2
48	что у нас	2	2
49	как мы видели	3	2
50	и не только	2	2
51	мы не имеем	2	2
52	но все же	3	2
