N	3gram	Losev_Vlad	Formalny
1	не может быть	4	29
2	то же время	7	20
3	в то же	7	20
4	и т д	3	19
5	во всяком случае	8	16
6	в связи с	7	16
7	в настоящее время	2	13
8	в этом отношении	2	11
9	бы то ни	2	10
10	с другой стороны	3	9
11	для того чтобы	3	8
12	вместе с тем	2	8
13	более или менее	5	7
14	как мы знаем	3	7
15	в свою очередь	2	7
16	и в то	3	6
17	раз и навсегда	2	6
18	в том что	13	6
19	в этом смысле	4	5
20	как раз и	2	4
21	в конце концов	6	4
22	и до конца	2	4
23	тем не менее	8	4
24	не в том	3	4
25	что же касается	8	3
26	на первый план	4	3
27	но в то	2	3
28	и тот же	2	3
29	начала и до	2	3
30	нам кажется что	2	3
31	как мы увидим	2	3
32	с начала и	2	3
33	один и тот	2	3
34	так или иначе	3	3
35	и в частности	3	3
36	в том чтобы	4	3
37	говоря уже о	3	2
38	но даже и	3	2
39	не говоря уже	3	2
40	в это время	5	2
41	так и не	3	2
42	не только в	3	2
43	в связи со	2	2
44	и все же	2	2
45	в последнее время	2	2
46	что и в	2	2
47	и в том	2	2
48	ни в каких	2	2
49	на первом плане	2	2
50	дело в том	7	2
