N	2gram	Trubetskoy	Problema
1	и в	24	182
2	то есть	2	165
3	и не	9	152
4	вовсе не	2	145
5	то что	18	144
6	не есть	4	113
7	не только	10	104
8	потому что	9	89
9	в этом	13	88
10	может быть	17	82
11	том что	20	81
12	в том	31	81
13	только в	6	73
14	но и	11	70
15	в виде	4	69
16	у нас	3	68
17	также и	2	68
18	не менее	7	58
19	о том	7	57
20	так и	10	56
21	тем не	4	56
22	но в	5	55
23	так что	6	52
24	для нас	3	50
25	и вообще	3	48
26	отнюдь не	2	48
27	в себе	5	48
28	при помощи	3	47
29	было бы	3	46
30	прежде всего	3	45
31	что в	9	44
32	в его	5	44
33	все эти	19	43
34	не в	9	43
35	таким образом	34	42
36	то же	4	42
37	если мы	4	42
38	так как	7	40
39	что мы	4	40
40	и то	4	40
41	что он	7	40
42	и что	9	40
43	не может	18	39
44	в этой	7	39
45	во всяком	2	39
46	как бы	10	39
47	в данном	3	38
48	хотя бы	4	37
49	того что	7	37
50	в нем	3	37
51	еще не	6	36
52	точки зрения	14	36
53	и все	9	36
54	в виду	2	34
55	и с	5	34
56	как и	10	34
57	в таком	4	33
58	в то	6	32
59	но не	3	32
60	в своем	12	31
61	в конце	4	31
62	связи с	4	31
63	все это	13	31
64	так же	8	31
65	ясно что	8	30
66	с другой	6	30
67	и для	6	30
68	в настоящее	3	30
69	настоящее время	3	30
70	как мы	3	29
71	все же	15	29
72	в связи	3	29
73	данном случае	3	28
74	что же	2	28
75	есть только	2	28
76	а в	3	28
77	и это	3	27
78	хотя и	4	27
79	ничего общего	3	27
80	в результате	9	26
81	как будто	5	26
82	вместе с	7	26
83	это не	3	26
84	другой стороны	5	26
85	и его	2	26
86	тем самым	3	25
87	с точки	8	25
88	и на	6	25
89	мы можем	6	25
90	всяком случае	2	25
91	на самом	7	24
92	тем более	3	24
93	не имеет	2	24
94	с тем	4	24
95	в нашем	3	24
96	на то	9	23
97	при этом	9	23
98	конце концов	4	23
99	по своему	5	23
100	то и	2	23
101	никогда не	4	22
102	и если	6	22
103	его в	5	22
104	что и	7	22
105	можно ли	2	22
106	и от	5	22
107	другими словами	2	22
108	всех этих	4	22
109	есть в	2	22
110	и к	5	22
111	мы должны	4	21
112	и ее	2	21
113	и без	5	21
114	для себя	2	21
115	в самом	8	21
116	говорить о	2	21
117	и только	2	21
118	и потому	3	20
119	но как	2	20
120	для того	8	20
121	именно в	5	20
122	несмотря на	6	20
123	но если	2	19
124	то в	2	19
125	если бы	8	19
126	он не	4	19
127	с ним	6	19
128	самом деле	12	19
129	в них	2	19
130	это есть	4	19
131	жизни и	2	19
132	того же	9	18
133	не будет	5	18
134	того чтобы	8	18
135	в этих	3	18
136	мы и	2	18
137	не было	2	18
138	в ней	3	18
139	мы уже	4	17
140	гораздо более	2	17
141	что они	2	17
142	совершенно не	4	17
143	во всех	10	17
144	но даже	3	16
145	к тому	8	16
146	но все	5	16
147	между собою	5	16
148	в одно	2	16
149	далеко не	5	16
150	для этого	7	16
151	что она	2	16
152	общего с	2	15
153	и более	2	15
154	в частности	2	15
155	у него	5	15
156	с этим	12	15
157	и сам	2	15
158	не так	4	14
159	что все	5	14
160	в дальнейшем	4	14
161	уже и	3	14
162	сих пор	15	14
163	этом случае	4	14
164	в котором	2	14
165	а это	2	14
166	то ни	4	14
167	до сих	15	14
168	только при	2	13
169	из этого	7	13
170	в их	4	13
