N	2gram	Losev_Dial	Freidism
1	и не	50	34
2	таким образом	14	34
3	точки зрения	43	31
4	не может	29	30
5	и пр	16	29
6	– это	11	29
7	может быть	30	28
8	и в	34	28
9	в этом	14	28
10	прежде всего	20	26
11	в его	6	25
12	и его	8	22
13	это –	39	22
14	мы можем	3	20
15	как бы	19	19
16	как мы	4	18
17	– в	15	17
18	то что	25	17
19	вовсе не	18	16
20	к отцу	2	16
21	так как	12	15
22	цельной личности	2	15
23	точка зрения	5	15
24	с точки	25	15
25	все эти	4	15
26	самом деле	7	14
27	так и	11	14
28	в своей	4	14
29	с ним	3	14
30	во всех	2	13
31	и все	17	13
32	но в	3	13
33	как и	14	13
34	и потому	6	12
35	том что	18	12
36	– не	11	12
37	то же	9	12
38	что он	18	12
39	психической жизни	2	12
40	ни в	20	12
41	в самом	9	12
42	и наконец	2	12
43	для него	4	12
44	все это	13	12
45	сказать что	7	11
46	его в	2	11
47	мы знаем	3	11
48	только в	10	11
49	никогда не	9	10
50	и с	10	10
51	за пределы	3	10
52	не только	35	10
53	но и	14	10
54	не в	11	10
55	он не	8	10
56	в том	17	10
57	мы уже	6	10
58	все что	3	10
59	что же	12	10
60	конечно не	6	10
61	могут быть	5	9
62	к этому	3	9
63	совершенно не	6	9
64	к нему	4	9
65	в чем	11	9
66	уже не	9	9
67	и на	6	9
68	мы не	11	9
69	а не	39	9
70	во всяком	5	9
71	с его	7	9
72	– только	3	8
73	все же	4	8
74	с этим	4	8
75	– все	4	8
76	было бы	13	8
77	и вот	13	8
78	еще не	7	8
79	а в	3	8
80	в ней	4	8
81	на этом	3	8
82	всяком случае	3	8
83	при этом	7	8
84	в каком	9	7
85	не могут	6	7
86	в жизни	4	7
87	в то	9	7
88	в себе	8	7
89	что в	12	7
90	и ее	8	7
91	– и	8	7
92	хотя бы	9	7
93	и для	5	7
94	быть и	7	7
95	я и	2	7
96	того что	22	7
97	и у	3	7
98	но не	3	7
99	что все	16	7
100	об этом	8	7
101	в нем	7	7
102	если мы	5	7
103	и к	5	7
104	из них	4	7
105	и прежде	6	7
106	жизни и	8	7
107	в этой	3	7
108	одно из	8	6
109	на самом	2	6
110	для этого	3	6
111	мы имеем	3	6
112	из этих	5	6
113	человека и	2	6
114	всех этих	3	6
115	сознания и	5	6
116	не менее	11	6
117	для того	4	6
118	в таком	15	6
119	и только	6	6
120	и о	9	6
121	если он	2	6
122	– как	6	6
123	она не	10	6
124	к тому	4	6
125	не можем	3	6
126	что такое	25	6
127	можно сказать	5	6
128	чем же	3	6
129	ни о	8	6
130	как раз	11	6
131	и что	21	6
132	же время	5	6
133	учение о	11	6
134	в основе	6	6
135	оно –	8	5
136	он –	9	5
137	что это	20	5
138	ничего не	29	5
139	со стороны	5	5
140	тех же	2	5
141	что она	13	5
142	с их	4	5
143	и по	2	5
144	другими словами	8	5
145	от того	9	5
146	со всеми	2	5
147	на первый	4	5
148	в этих	3	5
149	на основании	3	5
150	как это	8	5
151	не знает	4	5
152	конечно и	2	5
153	что и	8	5
154	ее в	3	5
155	тому что	5	5
156	в своих	3	5
157	сознание и	4	5
158	только то	2	5
159	это не	13	5
160	той же	6	5
161	в процессе	2	5
162	отнюдь не	16	5
163	не было	6	5
164	в ее	5	5
165	с ними	3	5
166	говорить о	13	5
167	заключается в	3	5
168	в себя	4	5
169	вместе с	3	5
170	данном случае	3	4
171	одна из	4	4
172	и вообще	7	4
173	все время	4	4
174	так же	7	4
175	нисколько не	4	4
176	но это	10	4
177	в собственном	3	4
178	с ее	10	4
179	в этот	3	4
180	тем не	10	4
181	этом отношении	2	4
182	если бы	10	4
183	таком случае	11	4
184	теперь мы	4	4
185	и может	2	4
186	в виду	12	4
187	не всегда	3	4
188	но ведь	2	4
189	ничего общего	2	4
190	и истории	4	4
191	это как	3	4
192	только на	8	4
193	у него	2	4
194	как в	2	4
195	в своем	7	4
196	по своему	2	4
197	едва ли	2	4
198	а только	2	4
199	в котором	2	4
200	потому что	21	4
201	именно в	5	4
202	о себе	2	4
203	как с	2	4
204	личности и	15	4
205	что оно	9	4
206	не существует	10	4
207	же –	4	4
208	мы находим	5	4
209	по себе	31	4
210	нет и	5	4
211	зависимости от	4	4
212	должны быть	7	4
213	только как	7	4
214	в зависимости	3	4
215	сам по	6	4
216	это учение	3	4
217	мы и	4	4
218	себя и	3	4
219	то ни	4	4
220	это и	12	4
221	в истории	7	4
222	первый план	4	4
223	в данном	6	4
224	я не	11	4
225	и то	7	3
226	и от	4	3
227	и притом	10	3
228	и смерть	3	3
229	миф и	5	3
230	в силах	2	3
231	тому чтобы	3	3
232	независимо от	3	3
233	выйти за	3	3
234	в результате	7	3
235	и даже	21	3
236	он дает	2	3
237	и как	13	3
238	отца и	2	3
239	как не	4	3
240	сил и	2	3
241	а как	2	3
242	жизни –	2	3
243	ни один	2	3
244	и при	4	3
245	у нас	7	3
246	этого не	2	3
247	одной и	4	3
248	или как	3	3
249	и ни	3	3
250	как на	6	3
251	чаще всего	3	3
252	утверждает что	3	3
253	же мы	5	3
254	и той	4	3
255	не больше	4	3
256	ведь и	3	3
257	об его	3	3
258	и следовательно	2	3
259	нет никакого	10	3
260	ни на	5	3
261	и является	2	3
262	которое не	2	3
263	о том	11	3
264	это уже	2	3
265	и она	4	3
266	они не	3	3
267	если это	2	3
268	все его	2	3
269	оно не	7	3
270	– к	2	3
271	их в	2	3
272	на себя	3	3
273	но для	3	3
274	и становится	2	3
275	и этим	3	3
276	в одном	3	3
277	что мы	10	3
278	в них	6	3
279	только не	10	3
280	можно ли	6	3
281	себя в	3	3
282	сознания в	2	3
283	возможно только	7	3
284	раз и	3	3
285	находится в	2	3
286	говорит о	5	3
287	мы видим	4	3
288	когда он	3	3
289	в условиях	2	3
290	мир в	3	3
291	и есть	24	3
292	природы и	4	3
293	есть только	13	3
294	и тех	2	3
295	случае не	4	3
296	не приходится	2	3
297	общего не	2	3
298	бы то	3	3
299	да и	4	2
300	– совершенно	4	2
301	чтобы не	4	2
302	вопрос о	9	2
303	особого рода	3	2
304	к этой	2	2
305	вот как	2	2
306	следовательно и	2	2
307	или иной	4	2
308	когда мы	3	2
309	нас к	2	2
310	то в	5	2
311	всего этого	2	2
312	которую можно	2	2
313	из того	2	2
314	и об	2	2
315	– для	2	2
316	или другими	2	2
317	и сама	6	2
318	в одной	4	2
319	по преимуществу	2	2
320	же такое	3	2
321	бы и	2	2
322	должно быть	7	2
323	пр и	2	2
324	бы в	5	2
325	превращается в	6	2
326	дело не	2	2
327	это было	5	2
328	обе стороны	2	2
329	в науке	3	2
330	отличается от	9	2
331	фактов и	3	2
332	этом вопросе	2	2
333	в конце	2	2
334	и смерти	2	2
335	как к	2	2
336	и часто	3	2
337	есть и	14	2
338	то мы	3	2
339	для себя	2	2
340	в третий	2	2
341	что бы	2	2
342	или же	3	2
343	друг друга	3	2
344	если его	2	2
345	ее от	2	2
346	нет это	2	2
347	но так	2	2
348	при помощи	6	2
349	и тем	3	2
350	– есть	3	2
351	он должен	3	2
352	весь мир	3	2
353	в некоторых	3	2
354	в их	2	2
355	а именно	7	2
356	и та	4	2
357	ничем не	7	2
358	для нас	2	2
359	– на	2	2
360	между собою	3	2
361	их не	3	2
362	в течение	4	2
363	всей его	2	2
364	отцу и	2	2
365	отличие от	2	2
366	его не	3	2
367	нас в	3	2
368	с одной	4	2
369	должна быть	11	2
370	очень много	3	2
371	слово –	2	2
372	о нем	6	2
373	что остается	2	2
374	от этих	2	2
375	в мире	2	2
376	мы только	3	2
377	от этого	5	2
378	думать что	3	2
379	и так	2	2
380	в него	2	2
381	– одно	2	2
382	не имеет	18	2
383	вообще не	3	2
384	также и	6	2
385	не есть	95	2
386	говорить об	2	2
387	с другой	5	2
388	каком случае	2	2
389	все остальное	4	2
390	только его	2	2
391	наука и	2	2
392	учения о	2	2
393	заметить что	2	2
394	зависит от	4	2
395	только одна	3	2
396	даже если	3	2
397	он и	3	2
398	личность в	3	2
399	одной стороны	3	2
400	внешний мир	4	2
401	жизнь в	2	2
402	тогда когда	9	2
403	из которых	4	2
404	но как	3	2
405	же он	2	2
406	не то	3	2
407	вещи и	3	2
408	факты и	4	2
409	на них	2	2
410	она становится	2	2
411	мог бы	2	2
412	смысл и	2	2
413	но если	11	2
414	равно как	2	2
415	на другую	5	2
416	идеи и	2	2
417	не отличается	5	2
418	то или	4	2
419	но когда	2	2
420	же как	4	2
421	из этого	3	2
422	и уже	5	2
423	что с	2	2
424	и сознательного	2	2
425	и во	3	2
426	– или	4	2
427	воли и	2	2
428	в нас	2	2
429	только о	4	2
430	это есть	19	2
431	в первом	2	2
432	отношения к	4	2
433	если же	8	2
434	и они	3	2
435	в глубине	3	2
436	утверждают что	3	2
437	или иное	4	2
438	или только	4	2
439	ровно ничего	9	2
440	ясно что	16	2
