N	2gram	Losev_Dial	OGranits
1	и в	34	13
2	и его	8	12
3	прежде всего	20	9
4	и не	50	8
5	не может	29	8
6	может быть	30	8
7	в его	6	7
8	и пр	16	7
9	точки зрения	43	7
10	не только	35	6
11	как бы	19	6
12	таким образом	14	6
13	только в	10	6
14	то что	25	6
15	все же	4	5
16	с точки	25	5
17	но ведь	2	5
18	и наконец	2	5
19	хотя бы	9	5
20	в процессе	2	5
21	мы можем	3	4
22	еще и	2	4
23	но в	3	4
24	только и	3	4
25	то же	9	4
26	тех пор	3	4
27	в своей	4	4
28	все это	13	4
29	было бы	13	4
30	мы не	11	4
31	никогда не	9	3
32	да и	4	3
33	одно и	6	3
34	я хочу	2	3
35	и для	5	3
36	слово в	2	3
37	и то	7	3
38	и все	17	3
39	в ее	5	3
40	превращается в	6	3
41	с этим	4	3
42	и уже	5	3
43	как и	14	3
44	не в	11	3
45	в их	2	3
46	говорить о	13	3
47	ни один	2	3
48	ничего общего	2	3
49	так как	12	3
50	в себе	8	3
51	что в	12	3
52	но для	3	3
53	самом деле	7	3
54	есть прежде	4	3
55	за пределы	3	3
56	так и	11	3
57	что же	12	3
58	в одном	3	3
59	тела и	3	3
60	но и	14	3
61	в самом	9	2
62	могут быть	5	2
63	мы видим	4	2
64	собственно говоря	5	2
65	в этом	14	2
66	в них	6	2
67	для себя	2	2
68	данном случае	3	2
69	в том	17	2
70	тем что	5	2
71	есть не	11	2
72	несмотря на	2	2
73	если бы	10	2
74	от этого	5	2
75	думать что	3	2
76	с одной	4	2
77	не имеет	18	2
78	или иного	3	2
79	зависимости от	4	2
80	мы понимаем	3	2
81	но так	2	2
82	говорить об	2	2
83	ее в	3	2
84	с другой	5	2
85	а в	3	2
86	и тем	3	2
87	том что	18	2
88	того или	6	2
89	а как	2	2
90	только его	2	2
91	и к	5	2
92	в связи	3	2
93	в зависимости	3	2
94	в данном	6	2
95	объект и	2	2
96	не менее	11	2
97	и следовательно	2	2
98	с ними	3	2
99	все эти	4	2
100	что эта	2	2
101	так же	7	2
102	от своего	2	2
103	что они	2	2
104	мы уже	6	2
105	и истории	4	2
106	и при	4	2
107	с этой	7	2
108	и может	2	2
109	в своих	3	2
110	его на	3	2
111	в нем	7	2
112	не на	7	2
113	при этом	7	2
114	сознания и	5	2
115	и ее	8	2
116	нет ничего	14	2
117	что иное	6	2
118	а не	39	2
119	между собою	3	2
120	в ней	4	2
121	себе что	2	2
122	в течение	4	2
123	как в	2	2
124	другой стороны	4	2
125	во всем	5	2
126	мог бы	2	2
127	и является	2	2
128	чем же	3	2
129	одной стороны	3	2
130	бы в	5	2
131	в целях	4	2
132	в чем	11	2
133	иное как	6	2
134	не что	6	2
135	вовсе не	18	2
136	в этот	3	2
137	вне всякой	3	2
138	учение о	11	2
139	к тому	4	2
140	не мог	3	2
141	для него	4	2
