N	2gram	Nazirov_Tv	Formalny
1	и в	40	95
2	и не	12	78
3	может быть	11	66
4	в этом	11	61
5	не может	9	57
6	вовсе не	5	53
7	таким образом	14	52
8	и его	14	51
9	так и	5	50
10	в нем	4	42
11	в его	19	42
12	прежде всего	10	41
13	как и	16	39
14	и т	14	37
15	не в	3	35
16	в самом	6	35
17	в процессе	3	34
18	а не	9	34
19	но и	10	33
20	то же	19	32
21	самом деле	4	32
22	не только	16	30
23	в том	13	26
24	отнюдь не	9	26
25	если бы	4	26
26	то что	9	25
27	на самом	3	24
28	при этом	14	24
29	в своей	8	24
30	в ней	2	23
31	связи с	2	23
32	было бы	2	23
33	в то	23	22
34	в истории	2	21
35	как бы	26	21
36	что в	17	21
37	и с	9	21
38	в их	5	20
39	не менее	8	20
40	и от	8	20
41	же время	18	20
42	место в	6	20
43	не могут	2	19
44	все это	14	19
45	хотя бы	5	19
46	т д	10	19
47	по себе	2	19
48	т п	4	18
49	все же	9	18
50	и все	6	18
51	все эти	3	18
52	в связи	2	18
53	с его	12	18
54	и их	2	18
55	только в	7	18
56	более того	2	17
57	как в	10	17
58	как раз	2	17
59	так же	6	16
60	в искусстве	3	16
61	во всяком	2	16
62	с другой	4	16
63	потому что	10	16
64	всяком случае	2	16
65	его в	2	15
66	все время	3	15
67	но в	11	15
68	так как	6	15
69	во всех	2	15
70	в литературе	4	15
71	именно в	6	15
72	и на	12	15
73	что он	11	14
74	только на	2	14
75	в целом	7	14
76	в ее	3	14
77	в своем	4	14
78	еще не	5	14
79	в жизни	3	14
80	в этой	7	14
81	и потому	4	14
82	жизни и	3	14
83	вместе с	4	14
84	до конца	2	13
85	настоящее время	2	13
86	того что	3	13
87	а в	10	13
88	могут быть	4	13
89	для них	2	13
90	что и	3	13
91	сводится к	2	13
92	она не	2	13
93	тем что	2	13
94	ни в	2	13
95	по отношению	3	12
96	как это	2	12
97	и здесь	2	12
98	к тому	2	12
99	отношению к	3	12
100	уже не	6	12
101	никогда не	13	11
102	это и	4	11
103	социальной действительности	2	11
104	в основе	3	11
105	так сказать	4	11
106	но не	7	11
107	что они	3	11
108	для него	9	11
109	между тем	2	11
110	не есть	2	10
111	действительности и	3	10
112	друг друга	2	10
113	и др	2	10
114	мы не	3	10
115	не было	3	10
116	в дальнейшем	7	10
117	другой стороны	2	10
118	с ее	3	10
119	не является	3	10
120	в первом	3	10
121	и как	5	10
122	в своих	8	10
123	он не	10	10
124	ничего не	3	9
125	но это	10	9
126	и до	2	9
127	в каждом	4	9
128	и даже	8	9
129	но ведь	2	9
130	у нас	2	9
131	от всех	2	9
132	еще более	3	9
133	в свою	8	9
134	мы знаем	2	9
135	это не	9	8
136	была бы	2	8
137	между собой	2	8
138	с одной	2	8
139	же как	3	8
140	с этим	2	8
141	в данном	2	8
142	и должно	2	8
143	роль в	2	8
144	том что	14	7
145	в себе	3	7
146	в одной	5	7
147	свою очередь	2	7
148	как к	2	7
149	в литературу	2	7
150	сказать что	3	7
151	к этому	4	7
152	время в	3	7
153	жизни в	9	7
154	и наконец	3	7
155	и только	2	7
156	и более	2	7
157	сами по	2	7
158	столь же	2	7
159	из них	4	7
160	же и	2	7
161	данном случае	2	6
