N	2gram	Tiupa_Anal	Morfolog
1	может быть	19	61
2	таким образом	4	26
3	т е	2	25
4	могут быть	4	21
5	мы имеем	5	19
6	не может	3	19
7	в этом	19	18
8	в этих	2	17
9	представляет собой	7	17
10	и в	36	17
11	и не	14	16
12	перед нами	7	14
13	с этим	4	14
14	прежде всего	7	14
15	а не	16	11
16	то же	7	10
17	в том	16	10
18	не всегда	4	10
19	то что	5	10
20	так и	19	10
21	что в	15	10
22	что и	10	10
23	а затем	2	10
24	все же	6	9
25	но и	26	9
26	с другой	10	9
27	не только	40	8
28	в тех	2	8
29	в результате	6	8
30	но не	13	8
31	а в	17	8
32	мы не	4	8
33	в качестве	22	8
34	как мы	4	8
35	не могут	2	7
36	том что	19	7
37	если в	3	7
38	по отношению	9	7
39	тем не	3	7
40	не менее	9	7
41	отношению к	9	7
42	как это	7	7
43	а также	5	7
44	и здесь	4	7
45	точки зрения	3	7
46	во втором	4	7
47	один из	6	7
48	это не	4	6
49	но это	3	6
50	во всех	4	6
51	и как	5	6
52	или в	4	6
53	во время	2	6
54	подобно тому	4	6
55	в нашем	4	6
56	о том	9	6
57	с точки	2	6
58	в форме	2	6
59	как бы	14	6
60	вовсе не	2	6
61	одна из	6	5
62	ничего не	3	5
63	и ее	3	5
64	не будем	2	5
65	мы можем	2	5
66	было бы	6	5
67	об этом	3	5
68	в ходе	3	5
69	со стороны	12	5
70	что он	5	5
71	как в	9	5
72	далеко не	8	5
73	к тому	10	5
74	из которых	2	5
75	между тем	8	5
76	в целом	8	5
77	другой стороны	7	5
78	на его	3	5
79	тому как	3	5
80	там где	2	5
81	все эти	2	5
82	что они	3	5
83	он не	9	5
84	в первом	2	5
85	хотя и	4	5
86	сказать что	2	4
87	его в	4	4
88	тех же	2	4
89	в то	8	4
90	можно было	2	4
91	к этому	3	4
92	подобных случаях	2	4
93	тем что	3	4
94	не является	5	4
95	еще не	7	4
96	могла бы	3	4
97	самом деле	2	4
98	из них	4	4
99	пока же	2	4
100	но в	8	4
101	и для	4	4
102	как и	27	4
103	входит в	4	4
104	уже не	9	4
105	и к	7	4
106	на этом	2	4
107	несмотря на	2	4
108	о его	3	4
109	на пути	2	4
110	героя а	2	4
111	говорить о	6	4
112	мы уже	2	4
113	этого момента	2	3
114	в таких	2	3
115	то в	4	3
116	а и	4	3
117	но как	4	3
118	здесь не	8	3
119	а на	2	3
120	вопроса о	2	3
121	это было	2	3
122	и их	3	3
123	связывается с	3	3
124	если бы	2	3
125	это и	4	3
126	и тем	3	3
127	не в	9	3
128	героя и	7	3
129	в пределах	5	3
130	того что	4	3
131	приводит к	5	3
132	как уже	4	3
133	ее в	2	3
134	они не	2	3
135	состоит в	14	3
136	что при	2	3
137	в большинстве	2	3
138	к чему	2	3
139	в начале	10	3
140	и что	2	3
141	и по	3	3
142	же в	5	3
143	и его	18	3
144	только в	9	3
145	в сущности	5	3
146	все еще	2	3
147	в этой	10	3
148	с его	15	3
149	в одну	3	2
150	данном случае	11	2
151	с этого	2	2
152	герой не	3	2
153	в доме	2	2
154	не от	2	2
155	себя в	6	2
156	путь к	4	2
157	в данном	12	2
158	из этих	4	2
159	одной стороны	3	2
160	дело не	3	2
161	во второй	8	2
162	ответ на	3	2
163	в глаза	2	2
164	в другом	3	2
165	и даже	12	2
166	что она	3	2
167	лишь на	3	2
168	роль в	5	2
169	после чего	2	2
170	превращается в	3	2
171	этом отношении	3	2
172	лишь после	2	2
173	в частности	19	2
174	ни к	3	2
175	в чем	2	2
176	углом зрения	2	2
177	не знает	2	2
178	с одной	3	2
179	в свое	4	2
180	в итоге	4	2
181	а с	2	2
182	не с	3	2
183	одной из	6	2
184	с тем	2	2
185	не так	2	2
186	во сне	3	2
187	она не	3	2
188	могли бы	2	2
189	но с	3	2
190	в своих	3	2
191	оно не	2	2
192	но они	2	2
193	однако все	2	2
194	а а	5	2
195	однако в	6	2
196	с героем	2	2
197	что мы	2	2
198	в одной	2	2
199	всяком случае	6	2
200	можно отметить	2	2
201	тогда как	37	2
202	себя и	2	2
203	все это	5	2
204	а впоследствии	2	2
205	в основе	2	2
206	у него	2	2
207	например в	2	2
208	можно сказать	5	2
209	который в	4	2
210	для него	8	2
211	в одном	4	2
212	во всяком	6	2
213	по своему	3	2
