N	3gram	Tiupa_Vved	EvropaiC
1	в том что	10	16
2	по отношению к	11	11
3	более или менее	2	8
4	на самом деле	4	7
5	на то что	2	7
6	друг от друга	2	6
7	в самом деле	2	5
8	к тому же	6	5
9	начало и конец	2	4
10	тем не менее	3	4
11	с другой стороны	2	4
12	о том что	6	4
13	не может быть	6	4
14	в данном случае	15	3
15	в нашем случае	3	2
16	с одной стороны	9	2
17	заключает в себе	4	2
18	во всяком случае	3	2
19	что же касается	2	2
20	то же время	4	2
21	а с другой	3	2
22	как и в	2	2
23	в высшей степени	2	2
24	в то же	5	2
25	двух или нескольких	3	2
26	в свою очередь	5	2
27	друг на друга	2	2
