N	2gram	Nazirov_Tv	DiskursI
1	в качестве	2	72
2	а не	9	60
3	может быть	11	56
4	не только	16	49
5	и в	40	49
6	как и	16	47
7	тогда как	3	47
8	при этом	14	46
9	в том	13	44
10	и не	12	44
11	то есть	16	41
12	представляет собой	4	41
13	том что	14	40
14	в этом	11	38
15	в себе	3	37
16	в частности	4	36
17	но и	10	35
18	своего рода	7	32
19	но не	7	31
20	так и	5	28
21	отличие от	3	28
22	но в	11	28
23	не может	9	27
24	в отличие	3	27
25	как в	10	25
26	еще не	5	23
27	отнюдь не	9	23
28	все же	9	19
29	прежде всего	10	19
30	в нем	4	19
31	в своей	8	19
32	в основе	3	18
33	далеко не	3	18
34	по отношению	3	17
35	в данном	2	17
36	то же	19	17
37	с другой	4	17
38	отношению к	3	17
39	в мире	8	17
40	только в	7	16
41	роль в	2	15
42	в его	19	15
43	то что	9	15
44	о том	9	15
45	это не	9	14
46	не в	3	14
47	не менее	8	14
48	можно сказать	2	14
49	не является	3	14
50	ни к	2	14
51	с одной	2	14
52	в целом	7	13
53	для него	9	13
54	как бы	26	13
55	данном случае	2	12
56	в своем	4	12
57	и все	6	12
58	того же	2	12
59	ведет к	3	12
60	в своих	8	12
61	и на	12	12
62	что в	17	11
63	по природе	6	11
64	с его	12	11
65	и как	5	11
66	как правило	3	11
67	столь же	2	11
68	не было	3	11
69	а в	10	10
70	а с	4	10
71	не столько	4	10
72	по сути	6	10
73	же время	18	10
74	тем самым	10	9
75	в то	23	9
76	героя в	4	9
77	между тем	2	9
78	уже не	6	9
79	еще в	3	9
80	себя в	3	9
81	сводится к	2	9
82	человека в	9	8
83	в соответствии	7	8
84	и о	2	8
85	как уже	2	8
86	к тому	2	8
87	потому что	10	8
88	хотя и	5	8
89	если в	3	8
90	и даже	8	8
91	жизни в	9	8
92	в этих	2	8
93	в себя	3	8
94	в котором	8	8
95	в творчестве	10	8
96	соответствии с	7	8
97	в одном	3	8
98	из них	4	8
99	он не	10	8
100	перед нами	3	7
101	его в	2	7
102	могут быть	4	7
103	приводит к	4	7
104	одной из	7	7
105	но это	10	7
106	в процессе	3	7
107	что и	3	7
108	например в	3	7
109	в этой	7	7
110	другой стороны	2	7
111	к этому	4	7
112	мира в	2	7
113	в рассказе	4	7
114	ни в	2	7
115	в русской	5	7
116	той же	4	7
117	и его	14	7
118	таким образом	14	7
119	тому же	2	7
120	никогда не	13	6
121	в одной	5	6
122	что он	11	6
123	не знает	2	6
124	одновременно и	2	6
125	именно в	6	6
126	времени в	13	6
127	одного из	3	6
128	однако в	3	6
129	крайней мере	4	6
130	в принципе	5	6
131	в истории	2	6
132	в ее	3	6
133	одна из	5	6
134	то в	2	6
135	дело в	4	6
136	во всех	2	6
137	конечном счете	4	6
138	героя и	4	6
139	времени и	4	6
140	по крайней	4	6
141	в конечном	4	6
142	в которых	3	6
143	и того	2	6
144	в античной	2	5
145	ничего не	3	5
146	по словам	2	5
147	в виду	3	5
148	в их	5	5
149	свою очередь	2	5
150	и потому	4	5
151	того что	3	5
152	о нем	2	5
153	общения с	2	5
154	один из	5	5
155	русской литературе	4	5
156	представляют собой	2	5
157	было в	2	5
158	как будто	5	5
159	сказать что	3	5
160	но она	2	5
161	так сказать	4	5
162	с ее	3	5
163	переход от	2	5
164	мысль о	3	5
165	во второй	3	5
166	я и	3	5
167	себе не	3	5
168	на протяжении	3	5
169	в свою	8	5
170	в литературе	4	5
171	может служить	2	5
172	как раз	2	5
173	не к	2	5
174	в ней	2	5
175	тем что	2	5
176	до конца	2	4
177	не могут	2	4
178	трагедии в	2	4
179	слова не	2	4
180	однако это	2	4
181	и тем	2	4
182	одном из	2	4
183	из жизни	3	4
184	в современном	5	4
