N	2gram	Savitsky_E	Analitik
1	не только	18	71
2	и в	37	66
3	в качестве	14	61
4	но и	14	57
5	в том	11	52
6	может быть	6	52
7	в частности	5	51
8	в этом	12	51
9	как и	7	50
10	и не	14	48
11	а не	2	42
12	том что	6	40
13	так и	10	35
14	то есть	6	35
15	в мире	2	31
16	представляет собой	3	30
17	не может	9	29
18	как бы	6	29
19	отнюдь не	9	29
20	а в	2	28
21	в его	2	27
22	не в	5	26
23	но не	5	26
24	всего лишь	3	24
25	в себе	9	24
26	иначе говоря	2	23
27	к тому	8	22
28	и даже	6	22
29	в этой	2	22
30	что в	21	22
31	о том	3	20
32	но в	14	19
33	в своей	8	19
34	то же	15	19
35	в самом	4	19
36	в то	16	18
37	в данном	3	18
38	тем самым	5	17
39	или иной	4	17
40	с другой	7	17
41	со стороны	5	17
42	только в	9	17
43	могут быть	2	16
44	то что	6	16
45	в пределах	25	16
46	что и	3	16
47	не есть	2	15
48	в их	11	15
49	прежде всего	9	15
50	и на	6	15
51	между тем	8	15
52	данном случае	2	14
53	того же	3	14
54	той или	4	14
55	далеко не	2	14
56	столь же	5	14
57	же время	14	14
58	по себе	4	13
59	на уровне	2	13
60	точки зрения	23	13
61	а также	7	13
62	в случае	2	13
63	он не	2	13
64	никогда не	3	12
65	и к	3	12
66	есть не	2	12
67	как это	4	12
68	как в	3	12
69	даже в	4	11
70	в свою	3	11
71	во второй	3	11
72	по своей	2	11
73	и как	2	11
74	можно сказать	4	11
75	в той	5	11
76	на себя	3	10
77	было бы	8	10
78	того или	4	10
79	с одной	8	10
80	именно в	4	10
81	в своем	14	9
82	того что	7	9
83	одной стороны	8	9
84	свою очередь	2	9
85	имеет место	2	9
86	или иного	4	9
87	другой стороны	2	9
88	во всех	6	9
89	в результате	3	9
90	и того	2	9
91	говорит о	3	9
92	таким образом	2	9
93	вместе с	2	9
94	одной из	5	8
95	и все	2	8
96	этом отношении	3	8
97	хотя и	2	8
98	если бы	2	8
99	не является	3	8
100	в сторону	2	8
101	с точки	17	8
102	и тем	3	7
103	место в	3	7
104	в ее	8	7
105	во всяком	3	7
106	как нам	5	7
107	по преимуществу	2	7
108	несмотря на	4	7
109	как будто	2	7
110	и для	3	7
111	в одном	2	7
112	всяком случае	3	7
113	как мы	5	7
114	в таком	3	7
115	из того	2	6
116	если в	2	6
117	в силу	2	6
118	что на	2	6
119	в полной	4	6
120	не будет	3	6
121	тем более	4	6
122	или в	2	6
123	и то	2	6
124	хотя бы	15	6
125	то в	4	6
126	же в	2	6
127	более чем	2	6
128	и более	2	6
129	есть в	2	6
130	из них	3	6
131	не более	3	6
132	вовсе не	6	6
133	и потому	5	5
134	не могут	2	5
135	но как	2	5
136	жизни в	3	5
137	в эту	2	5
138	в общем	3	5
139	во втором	2	5
140	в них	3	5
141	и по	5	5
142	мы не	4	5
143	с другими	2	5
144	мира в	4	5
145	в культуре	3	5
146	для того	6	5
147	в этих	2	5
148	такой же	2	5
149	тем что	3	5
150	в котором	2	5
151	в отношении	32	4
152	или точнее	2	4
153	в области	11	4
154	вслед за	6	4
155	нас к	2	4
156	а именно	2	4
157	известном смысле	3	4
158	к нему	2	4
159	и что	2	4
160	потому что	3	4
161	в известном	3	4
162	что же	2	4
163	того чтобы	6	4
164	и во	2	4
165	то ни	4	4
166	известной степени	3	4
167	бы и	3	4
168	сказать что	4	4
169	и от	3	4
170	по своему	7	4
171	с этим	2	4
172	бы в	2	4
173	в значительной	2	4
174	ни было	4	4
175	ее в	3	4
176	между ними	2	4
177	в своих	2	4
178	и если	2	4
179	этом смысле	3	4
180	на основе	2	4
181	вопрос о	4	3
182	очевидно что	3	3
183	идет о	3	3
184	мы должны	2	3
185	всего в	2	3
186	тем в	3	3
187	себе в	3	3
