N	3gram	Bakhtin_Pr	EvropaiE
1	с точки зрения	21	16
2	в то же	13	15
3	то же время	13	14
4	в отношении к	3	12
5	и в то	2	8
6	в том что	6	6
7	этой точки зрения	2	5
8	как нам кажется	3	5
9	то ни было	2	4
10	бы то ни	3	4
11	не только в	2	4
12	и в этом	5	4
13	само по себе	4	4
14	во всяком случае	4	3
15	же как и	2	3
16	в этом отношении	3	3
17	можно сказать что	2	3
18	в этом смысле	12	3
19	хотя бы и	3	3
20	можно было бы	3	3
21	друг с другом	3	3
22	в данном случае	2	2
23	в одном из	2	2
24	с другой стороны	6	2
25	нам кажется что	3	2
26	на то что	2	2
27	дело идет о	4	2
28	в большинстве случаев	10	2
29	но в то	7	2
30	так и в	2	2
31	не может быть	8	2
