N	2gram	Bakhtin_Pr	Tvorches
1	у достоевского	29	91
2	и в	64	56
3	как бы	33	41
4	в его	30	37
5	в романе	12	34
6	романах достоевского	6	32
7	в романах	8	30
8	в то	15	30
9	достоевского в	15	27
10	то же	18	25
11	не только	26	24
12	но в	14	24
13	же время	13	24
14	то есть	3	23
15	и его	21	23
16	и не	55	23
17	а в	10	23
18	как и	25	23
19	достоевского не	15	22
20	и т	14	22
21	в этом	33	22
22	в том	12	21
23	из подполья	12	21
24	что в	11	21
25	том что	8	19
26	он не	14	19
27	может быть	43	19
28	потому что	8	19
29	у него	11	18
30	то что	21	18
31	что он	15	17
32	все это	9	17
33	т д	4	17
34	и на	16	17
35	таким образом	15	17
36	никогда не	11	16
37	достоевский не	5	16
38	прежде всего	16	16
39	достоевского с	4	16
40	как в	7	16
41	при этом	8	16
42	не может	26	16
43	но и	26	16
44	в творчестве	6	16
45	в этой	5	15
46	с его	11	15
47	но это	6	15
48	в мире	7	15
49	и с	9	15
50	это не	12	14
51	и даже	5	14
52	достоевский в	10	14
53	творчестве достоевского	7	13
54	о том	5	13
55	а не	29	13
56	в целом	8	12
57	в котором	7	12
58	достоевского это	3	11
59	все же	11	11
60	в своей	11	11
61	для него	23	11
62	героев достоевского	4	11
63	в конце	8	10
64	не в	15	10
65	в основном	2	10
66	так и	8	10
67	романа достоевского	13	10
68	уже в	5	10
69	мире достоевского	9	10
70	герои достоевского	4	10
71	достоевского как	11	10
72	но не	12	10
73	в самом	17	10
74	когда он	2	10
75	он сам	5	10
76	только в	13	10
77	как будто	4	10
78	по природе	2	9
79	в нем	28	9
80	один из	3	9
81	и от	3	9
82	человека в	8	9
83	в изображении	2	9
84	для достоевского	8	9
85	в своих	4	9
86	даже в	6	8
87	так же	8	8
88	в себе	11	8
89	человека и	2	8
90	в духе	4	8
91	в их	6	8
92	не менее	3	8
93	ивана карамазова	5	8
94	на его	2	8
95	так как	9	8
96	вовсе не	12	8
97	об этом	3	8
98	еще не	10	8
99	одним из	7	8
100	именно в	5	8
101	романов достоевского	8	8
102	хотя и	5	8
103	романе достоевского	9	8
104	творчество достоевского	5	7
105	достоевского и	9	7
106	самом деле	10	7
107	достоевского к	4	7
108	например в	5	7
109	и он	5	7
110	что она	7	7
111	в которой	2	7
112	в этих	5	7
113	в рассказе	2	7
114	уже не	15	7
115	и сам	6	7
116	в книге	2	6
117	его в	8	6
118	но у	4	6
119	мира достоевского	2	6
120	приводит к	8	6
121	героя в	7	6
122	так что	6	6
123	и все	6	6
124	все эти	13	6
125	и ее	5	6
126	бедных людях	4	6
127	одна из	5	6
128	хотя бы	4	6
129	в бедных	4	6
130	достоевского нет	5	6
131	и как	9	6
132	записок из	2	6
133	если бы	12	6
134	еще более	2	6
135	достоевского но	9	6
136	его романов	3	6
137	с ним	8	6
138	своих героев	2	6
139	творчества достоевского	9	6
140	а потому	2	6
141	бы не	2	5
142	ничего не	8	5
143	до конца	10	5
144	в одной	8	5
145	по отношению	12	5
146	и у	3	5
147	но эта	5	5
148	том же	4	5
149	как он	3	5
150	т п	10	5
151	в образе	2	5
152	в своем	12	5
153	а с	2	5
154	в них	5	5
155	и это	8	5
156	роман достоевского	12	5
157	что этот	2	5
158	что не	3	5
159	что и	7	5
160	в ее	2	5
161	мы не	4	5
162	в истории	2	5
163	во всей	3	5
164	тот же	2	5
165	что это	2	5
166	все время	3	5
167	в россии	2	5
168	с этим	3	5
169	в первой	3	5
170	мысли и	6	5
171	на него	6	5
172	между тем	7	5
173	героя и	14	5
174	отношению к	12	5
175	в литературе	4	5
176	что у	2	5
177	с другой	7	5
178	самого достоевского	7	5
179	что я	7	5
180	по достоевскому	4	5
181	романа и	3	5
182	из них	3	5
183	я не	6	5
184	не было	5	5
185	в таком	3	5
186	но с	4	5
187	произведениях достоевского	9	4
188	перед нами	12	4
189	в плане	6	4
190	и потому	7	4
191	сливается с	6	4
192	крайней мере	2	4
193	что ж	4	4
194	в человеке	6	4
195	не был	2	4
196	в произведениях	6	4
197	это и	5	4
198	романы достоевского	2	4
199	только на	3	4
200	отличие от	4	4
201	не знает	6	4
202	самого начала	2	4
203	того что	3	4
204	что все	2	4
205	к нему	11	4
