N	2gram	Berdyaev_N	VeschiIm
1	не есть	3	79
2	и не	11	57
3	не только	5	48
4	то что	4	48
5	не может	16	46
6	и в	16	45
7	и есть	10	40
8	может быть	7	39
9	а не	17	37
10	значит что	4	32
11	потому что	4	25
12	в себе	2	23
13	что она	2	23
14	сказать что	3	22
15	и что	2	22
16	в смысле	2	22
17	что такое	3	20
18	но и	3	19
19	в этом	7	18
20	и это	2	17
21	прежде всего	4	17
22	в том	8	15
23	как и	7	15
24	в ней	5	15
25	уже не	2	15
26	не в	6	14
27	но это	6	14
28	том что	2	13
29	это и	2	13
30	не будет	7	13
31	и для	4	13
32	что в	9	12
33	еще не	3	12
34	и даже	2	12
35	о том	4	12
36	и с	2	12
37	не значит	3	12
38	в то	2	11
39	не менее	4	11
40	себя в	2	11
41	и пр	3	11
42	ни в	6	11
43	с ее	5	10
44	это не	4	9
45	она не	3	9
46	ли это	2	9
47	должно быть	4	9
48	хотя бы	2	9
49	но не	2	9
50	и потому	4	8
51	но в	2	8
52	в ее	3	8
53	мы не	2	8
54	все это	5	8
55	это есть	7	8
56	должна быть	3	8
57	с тем	3	8
58	с другой	3	8
59	а в	2	7
60	все эти	2	7
61	я не	2	7
62	никогда не	6	6
63	вопрос о	3	6
64	когда мы	2	6
65	ведь и	2	6
66	и все	4	6
67	в нем	5	6
68	в своей	3	6
69	одна из	2	6
70	можно было	2	6
71	мы говорим	2	6
72	жизни и	8	6
73	должен быть	5	5
74	и мы	4	5
75	вместе с	2	5
76	как это	2	5
77	хотя и	2	5
78	для этого	2	5
79	во всех	3	5
80	мысли и	2	5
81	в жизни	5	5
82	нет и	2	5
83	подобно тому	3	5
84	тому как	3	5
85	я называю	2	4
86	так же	2	4
87	так и	2	4
88	что все	2	4
89	того чтобы	2	4
90	не было	4	4
91	в основе	3	4
92	и от	2	4
93	с этим	2	4
94	есть в	2	4
95	во имя	15	4
96	от всякого	2	4
97	время как	2	4
98	не существует	3	4
99	равно как	2	4
100	он не	8	4
101	человека и	3	3
102	но она	2	3
103	к ее	3	3
104	по существу	2	3
105	будет уже	2	3
106	к тому	3	3
107	одной стороны	2	3
108	другой стороны	2	3
109	быть может	4	3
110	же как	2	3
111	вот почему	2	3
112	в истории	3	3
113	жизни в	3	3
114	как в	3	3
115	ни к	2	3
116	с одной	2	3
117	у него	2	3
118	не имеет	4	3
119	перестает быть	4	3
120	не к	2	3
121	помнить что	2	2
122	бытия в	2	2
123	и формы	2	2
124	наряду с	3	2
125	но я	2	2
126	быть в	2	2
127	совсем не	12	2
128	в одну	2	2
129	в россии	3	2
130	истории и	9	2
131	я уже	2	2
132	нем нет	2	2
133	это было	3	2
134	как не	8	2
135	силы и	2	2
136	том чтобы	2	2
137	есть лишь	4	2
138	зависит от	2	2
139	и к	5	2
140	но для	2	2
141	и на	2	2
142	конечно не	3	2
143	как будто	2	2
144	этом смысле	2	2
145	с его	6	2
146	к реальному	3	2
