N	2gram	Propp_Russ	UchenyiS
1	и в	59	14
2	не только	28	10
3	а не	3	10
4	и не	6	8
5	прежде всего	2	8
6	то что	10	7
7	не может	6	7
8	в этом	18	7
9	может быть	14	6
10	то же	6	5
11	все это	12	5
12	но и	20	4
13	в этой	4	4
14	в россии	4	4
15	в их	5	4
16	у нас	11	3
17	в частности	2	3
18	для этого	6	3
19	это не	14	3
20	вряд ли	2	3
21	очевидно что	2	3
22	и то	2	3
23	все же	7	3
24	как и	19	3
25	в то	3	3
26	но в	5	3
27	было бы	3	3
28	в области	3	3
29	и у	5	2
30	о чем	7	2
31	же не	2	2
32	нас в	2	2
33	что он	2	2
34	на каждом	3	2
35	таким образом	10	2
36	но не	7	2
37	и для	3	2
38	их и	3	2
39	не все	4	2
40	между тем	9	2
41	только в	4	2
42	одним из	2	2
43	что она	4	2
44	ничего не	4	2
45	всех этих	2	2
46	и с	12	2
47	не случайно	2	2
48	должна была	6	2
49	что и	8	2
50	могут быть	3	2
51	на первый	3	2
52	но даже	2	2
53	и через	2	2
54	тем что	7	2
55	том что	33	2
56	в его	3	2
57	в том	33	2
58	что все	2	2
59	его и	2	2
60	но это	5	2
61	по существу	7	2
62	в противном	2	2
63	не в	2	2
64	в некоторых	11	2
65	мы не	11	2
66	не столько	3	2
