N	3gram	Medvedev_F	Stilisti
1	в то же	13	9
2	то же время	13	7
3	для того чтобы	3	7
4	в зависимости от	4	7
5	с точки зрения	17	5
6	того или иного	6	5
7	прежде всего в	5	4
8	с самого начала	2	4
9	в свою очередь	6	4
10	в конце концов	2	3
11	на самом деле	7	3
12	в той же	2	3
13	и тем самым	2	3
14	но все же	2	3
15	но и в	4	3
16	как мы видели	5	3
17	во всех своих	2	3
18	у нас не	3	2
19	речевого общения в	2	2
20	вместе с тем	5	2
21	в связи с	9	2
22	в самом деле	5	2
23	в этом отношении	7	2
24	в значительной степени	3	2
25	что перед нами	2	2
26	к тому что	3	2
27	и в то	4	2
28	как мы увидим	3	2
29	с тем и	2	2
30	ничего не останется	2	2
31	по отношению к	4	2
32	смысле этого слова	4	2
33	но в то	3	2
34	связи с этим	4	2
35	не может быть	11	2
