N	4gram	Bakhtin_Pr	FransuaR
1	в то же время	8	55
2	но в то же	3	20
3	в том числе и	13	17
4	до сих пор еще	2	15
5	как мы уже говорили	2	15
6	в большей или меньшей	5	14
7	большей или меньшей степени	5	14
8	дело в том что	2	13
9	и в то же	3	12
10	как мы уже сказали	2	11
11	на самом же деле	2	10
12	и до сих пор	2	6
13	в средние века и	3	5
14	и до наших дней	2	5
15	мы имеем в виду	3	5
16	и не может быть	5	4
17	и др все эти	2	4
18	мы еще вернемся в	2	4
19	во всей мировой литературе	2	3
20	на священные тексты и	2	3
21	нет и не может	3	3
22	сих пор еще недостаточно	2	2
