N	3gram	Nazirov_Tv	Formalny
1	не может быть	2	29
2	на самом деле	2	21
3	то же время	18	20
4	в то же	19	20
5	и т д	10	19
6	и т п	4	18
7	во всяком случае	2	16
8	в связи с	2	16
9	по отношению к	3	12
10	так и в	2	11
11	в самом деле	2	11
12	и не может	2	9
13	с другой стороны	2	9
14	сами по себе	2	7
15	в свою очередь	2	7
16	в данном случае	2	6
17	и в то	3	6
18	в том что	8	6
19	в отличие от	2	5
20	в этом романе	2	5
21	с самого начала	3	4
22	тем не менее	2	4
23	не могут быть	2	4
24	но в то	5	3
25	как и в	2	2
26	в таком случае	2	2
27	на этот вопрос	2	2
28	не только в	2	2
29	и все же	3	2
30	в одной из	4	2
31	особое место в	2	2
32	на первом плане	2	2
33	дело в том	4	2
