N	2gram	Voloshinov	VelikijI
1	и не	8	20
2	и в	13	16
3	так как	3	9
4	то что	6	9
5	что они	2	7
6	а не	2	7
7	как бы	6	5
8	но и	3	5
9	все это	4	5
10	и все	3	4
11	как и	3	4
12	в нем	2	4
13	в ней	2	4
14	в его	7	4
15	говорить о	3	4
16	в этом	2	4
17	так и	3	4
18	никогда не	3	3
19	превращается в	3	3
20	что в	3	3
21	в том	2	3
22	и для	3	3
23	от этого	2	3
24	не имеет	2	3
25	но в	4	3
26	к тому	2	3
27	нет ничего	2	3
28	хотя бы	5	3
29	в своей	4	3
30	в них	2	3
31	лишь в	4	3
32	не в	3	3
33	все эти	2	3
34	в чем	2	3
35	тот же	2	3
36	и то	3	2
37	да и	3	2
38	ее в	2	2
39	не только	6	2
40	а в	2	2
41	том что	2	2
42	но мы	4	2
43	вслед за	2	2
44	материалом для	2	2
45	могут быть	2	2
46	тем что	2	2
47	мы не	4	2
48	только в	6	2
49	прежде всего	9	2
50	между тем	2	2
51	для него	2	2
