N	2gram	Voloshinov	Freidism
1	и не	8	34
2	таким образом	6	34
3	точки зрения	7	31
4	не может	8	30
5	и пр	7	29
6	может быть	8	28
7	и в	13	28
8	в этом	2	28
9	прежде всего	9	26
10	в его	7	25
11	и его	12	22
12	мы можем	4	20
13	с помощью	2	20
14	как бы	6	19
15	то что	6	17
16	вовсе не	2	16
17	так как	3	15
18	с точки	5	15
19	все эти	2	15
20	самом деле	3	14
21	так и	3	14
22	в своей	4	14
23	и все	3	13
24	но в	4	13
25	как и	3	13
26	по отношению	3	13
27	точку зрения	3	12
28	том что	2	12
29	то же	4	12
30	в самом	2	12
31	и наконец	5	12
32	для него	2	12
33	все это	4	12
34	отношению к	3	11
35	только в	6	11
36	никогда не	3	10
37	за пределы	3	10
38	не только	6	10
39	но и	3	10
40	не в	3	10
41	в том	2	10
42	мы уже	2	10
43	что же	3	10
44	тот же	2	10
45	мы должны	6	9
46	могут быть	2	9
47	те же	2	9
48	и др	2	9
49	в чем	2	9
50	мы не	4	9
51	а не	2	9
52	все же	5	8
53	с этим	3	8
54	было бы	4	8
55	а в	2	8
56	в ней	2	8
57	при этом	2	8
58	в себе	3	7
59	что в	3	7
60	и ее	2	7
61	хотя бы	5	7
62	и для	3	7
63	роль в	2	7
64	не является	4	7
65	более того	2	7
66	с самого	2	7
67	в нем	2	7
68	и к	2	7
69	но мы	4	6
70	сознания и	2	6
71	не менее	2	6
72	в пределах	3	6
73	к тому	2	6
74	чем же	2	6
75	учение о	2	6
76	в которой	3	5
77	самого начала	2	5
78	ее в	2	5
79	в общем	2	5
80	в своих	2	5
81	в процессе	5	5
82	в ее	3	5
83	с ними	2	5
84	говорить о	3	5
85	данном случае	2	4
86	так же	2	4
87	в области	2	4
88	связанных с	2	4
89	в другом	2	4
90	в этот	2	4
91	если бы	2	4
92	и может	2	4
93	но ведь	5	4
94	ничего общего	3	4
95	и истории	2	4
96	может стать	2	4
97	как в	2	4
98	связанные с	2	4
99	и т.п	7	4
100	смысле слова	2	4
101	в целом	2	4
102	зависимости от	2	4
103	в зависимости	2	4
104	в данном	2	4
105	слова и	2	4
106	на язык	2	4
107	конечно в	2	3
108	и то	3	3
109	в сознании	4	3
110	нуждается в	2	3
111	иным как	2	3
112	а как	2	3
113	социального общения	6	3
114	ни один	3	3
115	и при	2	3
116	на две	2	3
117	в искусстве	3	3
118	и следовательно	2	3
119	и является	2	3
120	от всех	2	3
121	в г	2	3
122	при анализе	3	3
123	но для	3	3
124	в одном	3	3
125	в них	2	3
126	уже в	2	3
127	мы видим	2	3
128	во всей	2	3
129	социальной группы	4	3
130	между тем	2	3
131	да и	3	2
132	в книге	2	2
133	в отношении	2	2
134	не исчерпывается	2	2
135	а также	2	2
136	нужно отметить	2	2
137	бы в	2	2
138	превращается в	3	2
139	не как	3	2
140	для себя	2	2
141	но так	2	2
142	связана с	3	2
143	и тем	2	2
144	в их	3	2
145	ни одно	2	2
146	между собою	2	2
147	в течение	2	2
148	с одной	2	2
149	подойти к	2	2
150	и этот	2	2
151	от этого	2	2
152	думать что	2	2
153	не имеет	2	2
154	явлений и	2	2
155	говорить об	2	2
156	разрыв между	2	2
157	с другой	2	2
158	только его	2	2
159	входит в	2	2
160	не чем	2	2
161	одной стороны	2	2
162	и их	7	2
163	мог бы	2	2
164	там где	2	2
165	и уже	3	2
166	представлений и	2	2
167	чем иным	2	2
168	вполне понятно	4	2
