N	2gram	Nazirov_Tr	Myshleni
1	в том	2	195
2	в этом	9	167
3	то что	4	166
4	и в	18	162
5	том что	4	161
6	что в	4	119
7	не только	8	116
8	так же	4	100
9	потому что	2	95
10	может быть	7	89
11	что он	6	86
12	не может	5	81
13	как и	5	79
14	и не	7	78
15	в целом	4	74
16	но и	4	70
17	в его	3	67
18	как бы	7	64
19	и что	4	60
20	то же	5	58
21	в самом	2	52
22	ребенка и	2	49
23	к тому	2	49
24	ребенка в	2	49
25	тем что	2	48
26	тем самым	3	43
27	с тем	2	43
28	как это	3	42
29	в ходе	2	41
30	о том	2	40
31	так и	5	39
32	никогда не	2	39
33	вопрос о	2	37
34	не в	2	37
35	в этой	4	37
36	в своем	3	36
37	все эти	3	36
38	и его	6	36
39	как в	3	36
40	он не	2	35
41	в себе	4	35
42	и как	3	34
43	при этом	3	33
44	прежде всего	4	33
45	что и	2	32
46	но в	6	32
47	и на	7	32
48	и то	2	31
49	все же	5	31
50	что с	3	28
51	что все	2	27
52	в то	5	27
53	перед нами	2	27
54	и с	7	27
55	в частности	2	26
56	что это	5	26
57	для него	3	26
58	все это	4	25
59	еще не	4	25
60	уже в	3	25
61	что она	2	25
62	это не	5	25
63	так что	2	24
64	в нем	4	24
65	друг друга	2	23
66	ни в	2	23
67	не могут	2	22
68	столь же	2	22
69	отношение к	2	21
70	как говорит	2	21
71	его в	2	21
72	и все	4	21
73	и ее	2	21
74	не имеет	2	21
75	должно быть	3	20
76	говорит что	2	20
77	в данном	2	19
78	с ним	3	19
79	один из	3	19
80	отличие от	2	18
81	но это	4	18
82	в отличие	2	18
83	в одном	2	17
84	то и	2	17
85	до конца	2	17
86	я не	4	17
87	у него	6	17
88	по поводу	2	16
89	и даже	4	16
90	данном случае	2	15
91	на всем	2	15
92	между этими	2	15
93	ничего не	2	15
94	и это	2	15
95	что эти	2	14
96	который в	2	14
97	о чем	3	14
98	об этом	4	14
99	с его	2	14
100	и здесь	2	14
101	но все	2	13
102	в виде	2	13
103	точно так	2	13
104	отнюдь не	3	13
105	в основном	3	13
106	в ее	2	12
107	в первом	2	12
108	несмотря на	5	12
109	только к	2	12
110	к нему	3	12
111	мог бы	3	12
112	в конце	3	11
113	что этот	2	11
114	с ее	3	11
115	к жизни	5	10
116	чем он	2	10
117	под влиянием	2	9
118	еще в	2	9
119	но эта	2	9
120	и он	3	9
121	и до	2	9
122	в известной	2	8
123	что я	4	8
124	не мог	2	8
125	имеет в	2	7
126	он сам	7	7
127	в таком	2	7
128	и сам	3	7
129	с первого	2	7
130	но они	2	7
131	ничем не	2	7
132	она должна	2	6
133	говорит о	2	6
134	бы и	2	6
135	уже не	2	6
136	знает что	2	6
137	раз и	2	6
138	одна из	2	6
139	этими двумя	2	6
140	как у	2	5
141	что говорит	2	5
142	никто не	3	5
143	по мнению	2	5
144	не просто	2	5
145	а как	2	4
146	в дальнейшем	5	4
147	не играют	2	4
148	к области	2	4
149	и я	2	4
150	но при	2	4
151	как будто	3	4
152	о его	2	4
153	как же	2	3
154	она все	2	3
155	даже если	2	3
156	он и	2	3
157	что за	3	3
158	одном из	2	3
159	не так	2	3
160	в это	2	3
161	в глаза	2	3
162	раз он	2	3
163	же время	6	3
164	только о	2	3
165	состоит из	2	2
166	гораздо важнее	2	2
167	его за	2	2
168	в мире	3	2
169	из самых	2	2
170	от всего	2	2
171	сам говорит	2	2
172	но этого	2	2
173	личности и	2	2
174	он всегда	4	2
175	собой но	2	2
176	если б	2	2
177	он был	2	2
178	ее к	2	2
