N	2gram	Propp_Morf	VeschiIm
1	т е	25	81
2	и не	16	57
3	не только	8	48
4	то что	10	48
5	не может	19	46
6	и в	17	45
7	и есть	3	40
8	может быть	61	39
9	и т	62	39
10	т д	60	38
11	а не	11	37
12	значит что	4	32
13	потому что	7	25
14	было бы	5	24
15	что она	2	23
16	только в	3	23
17	сказать что	4	22
18	и что	3	22
19	что такое	3	20
20	как бы	6	20
21	и ее	5	19
22	что это	3	19
23	но и	9	19
24	что же	2	19
25	все же	9	18
26	в этом	18	18
27	прежде всего	14	17
28	так как	20	17
29	что мы	2	17
30	того что	3	16
31	таким образом	26	16
32	в том	10	15
33	как и	4	15
34	уже не	4	15
35	не в	3	14
36	но это	6	14
37	том что	7	13
38	а и	3	13
39	есть и	4	13
40	это и	3	13
41	и больше	2	13
42	и для	4	13
43	то ни	3	13
44	ничего не	5	12
45	иное как	2	12
46	но если	10	12
47	что в	10	12
48	точки зрения	7	12
49	что и	10	12
50	что они	5	12
51	если она	2	12
52	и как	6	12
53	не что	2	12
54	то же	10	12
55	ни было	2	12
56	еще не	4	12
57	что иное	2	12
58	между собою	2	12
59	и даже	2	12
60	о том	6	12
61	если мы	6	12
62	есть нечто	3	12
63	не значит	3	12
64	бы то	3	12
65	в то	4	11
66	не менее	7	11
67	вовсе не	6	11
68	себя в	2	11
69	тем не	7	11
70	д и	2	11
71	и их	3	11
72	и пр	45	11
73	также и	6	11
74	ни в	3	11
75	и только	3	11
76	в чем	2	10
77	ясно что	5	10
78	это не	6	9
79	со стороны	5	9
80	она не	2	9
81	хотя бы	5	9
82	бы в	2	9
83	в результате	8	9
84	у нас	3	9
85	на то	3	9
86	но не	8	9
87	говорить о	4	9
88	и его	3	9
89	его в	4	8
90	даже не	3	8
91	что он	5	8
92	но в	4	8
93	мы не	8	8
94	себя и	2	8
95	все это	2	8
96	должна быть	2	8
97	можно сказать	2	8
98	с другими	2	8
99	мы имеем	19	8
100	если бы	3	8
101	с тем	2	8
102	для него	2	8
103	не с	2	8
104	с другой	9	8
105	от того	4	7
106	и тем	3	7
107	из них	4	7
108	самом деле	4	7
109	а в	8	7
110	все эти	5	7
111	в сущности	3	7
112	или не	3	7
113	тем что	4	7
114	вообще не	2	7
115	с этой	3	7
116	оно не	2	7
117	и тогда	3	7
118	без всякого	2	7
119	в каком	2	6
120	вопрос о	10	6
121	как же	3	6
122	независимо от	4	6
123	а если	4	6
124	должны быть	2	6
125	как мы	8	6
126	одна из	5	6
127	в данном	2	6
128	можно было	4	6
129	этот вопрос	4	6
130	их в	2	6
131	несмотря на	4	6
132	с точки	6	6
133	момент в	2	6
134	в одном	2	6
135	мы должны	3	5
136	ничем не	2	5
137	как это	7	5
138	то это	5	5
139	один из	7	5
140	мы видим	15	5
141	и когда	2	5
142	хотя и	5	5
143	быть и	2	5
144	во всех	6	5
145	в которой	3	5
146	об этом	5	5
147	требует чтобы	3	5
148	и здесь	7	5
149	кроме того	3	5
150	подобно тому	6	5
151	тому как	5	5
152	если же	5	5
153	так же	4	4
154	том как	2	4
155	к себе	2	4
156	и у	3	4
157	что именно	2	4
158	при помощи	12	4
159	так и	10	4
160	в этой	3	4
161	более или	2	4
162	то время	3	4
163	того чтобы	4	4
164	то как	2	4
165	в качестве	8	4
166	нельзя было	2	4
167	во всяком	2	4
168	в основе	2	4
169	то в	3	4
170	с этим	14	4
171	дело не	2	4
172	к ней	3	4
173	мы можем	5	4
174	на него	4	4
175	его и	2	4
176	и более	2	4
177	время как	3	4
178	если это	3	4
179	это так	2	4
180	на этом	4	4
181	не существует	3	4
182	главным образом	5	4
183	или менее	2	4
184	может не	2	4
185	как таковая	2	4
186	он не	5	4
187	собственном смысле	3	4
188	может считаться	6	3
189	перед нами	14	3
190	но как	3	3
191	не является	4	3
192	а потом	2	3
193	вопроса о	3	3
194	в другом	2	3
195	то мы	5	3
196	состоит из	3	3
