N	2gram	Vinokur_Vv	SlovoVZh
1	не может	19	16
2	точки зрения	12	14
3	может быть	30	14
4	и его	6	13
5	как бы	7	13
6	и в	35	12
7	таким образом	21	12
8	отношению к	4	11
9	по отношению	4	11
10	и не	13	10
11	так как	15	9
12	если бы	3	9
13	прежде всего	10	8
14	сказать что	6	7
15	все время	2	6
16	при этом	3	6
17	в том	38	6
18	в нем	13	6
19	только в	16	6
20	с помощью	2	6
21	в ней	3	6
22	никогда не	3	5
23	как в	3	5
24	что мы	2	5
25	в виду	5	5
26	можно сказать	4	5
27	но в	10	5
28	том что	30	5
29	то же	11	5
30	как и	7	5
31	должна быть	2	5
32	хотя бы	6	5
33	а не	5	5
34	то что	19	5
35	и др	2	5
36	в самом	13	4
37	в этом	35	4
38	не только	26	4
39	что не	5	4
40	его в	6	4
41	зависимости от	3	4
42	жизни и	2	4
43	не в	10	4
44	с другой	8	4
45	все же	9	4
46	дело в	5	4
47	к нему	3	4
48	и к	3	4
49	так и	2	4
50	и на	3	4
51	уже не	6	4
52	свое выражение	3	4
53	от того	3	4
54	литературы и	2	4
55	отношение к	3	4
56	в них	5	3
57	по себе	11	3
58	в каком	3	3
59	и вообще	3	3
60	о том	16	3
61	и для	4	3
62	да и	4	3
63	так называемой	3	3
64	не к	2	3
65	и уже	3	3
66	все эти	3	3
67	в котором	4	3
68	так же	3	3
69	в своей	4	3
70	мы не	2	3
71	в себе	4	3
72	нуждается в	3	3
73	еще не	4	3
74	здесь не	3	3
75	все это	6	3
76	только на	3	3
77	и ее	4	3
78	между тем	10	3
79	и с	2	3
80	этой точки	2	3
81	не менее	9	3
82	сих пор	7	3
83	до сих	7	3
84	отношении к	2	3
85	быть и	2	3
86	произведения и	2	3
87	самом деле	7	3
88	того что	12	3
89	тем не	9	3
90	но и	7	3
91	ясно что	11	3
92	в особенности	4	2
93	одно и	2	2
94	и то	7	2
95	в его	12	2
96	данном случае	5	2
97	до конца	3	2
98	литературы с	2	2
99	и здесь	3	2
100	что в	13	2
101	стороны и	3	2
102	в отношении	3	2
103	не есть	5	2
104	искусства и	2	2
105	как уже	5	2
106	ничего не	2	2
107	и те	2	2
108	что и	5	2
109	это не	8	2
110	истории литературы	3	2
111	с точки	4	2
112	но все	4	2
113	в своем	3	2
114	дело с	9	2
115	в зависимости	3	2
116	в данном	11	2
117	его к	2	2
118	независимо от	5	2
119	из него	2	2
120	зависит от	3	2
121	мы имеем	4	2
122	и что	6	2
123	в то	6	2
124	уже в	5	2
125	с этой	5	2
126	в этих	3	2
127	с чисто	3	2
128	одной стороны	4	2
129	еще раз	2	2
130	и другие	2	2
131	но это	2	2
132	в какой	6	2
133	в формах	2	2
134	как только	2	2
135	как на	12	2
136	и потому	2	2
137	но не	9	2
138	как это	5	2
139	если же	2	2
140	мы можем	2	2
141	могут быть	6	2
142	сливается с	3	2
143	в чем	4	2
144	в форме	2	2
145	со словом	2	2
146	и так	2	2
147	с одной	4	2
148	выражение в	2	2
149	к этому	3	2
150	этой стороны	2	2
151	же самое	3	2
152	между ними	3	2
153	этих двух	2	2
154	тогда когда	4	2
155	но что	3	2
156	другой стороны	5	2
157	вместе с	6	2
158	но зато	2	2
159	и совершенно	2	2
