N	2gram	Losev_Vesc	Psycholo
1	то что	47	193
2	и в	44	190
3	в том	15	163
4	что в	11	123
5	потому что	25	114
6	том что	13	113
7	и что	22	108
8	может быть	37	107
9	таким образом	16	102
10	в этом	17	100
11	то есть	2	97
12	в самом	13	82
13	как бы	19	80
14	для того	3	78
15	того чтобы	4	78
16	что он	7	76
17	не только	48	75
18	на то	9	73
19	и не	57	73
20	что она	23	71
21	самом деле	7	70
22	и т	37	69
23	точки зрения	10	69
24	не может	44	68
25	если мы	12	66
26	так как	17	63
27	так же	4	63
28	было бы	24	56
29	если бы	8	55
30	совершенно ясно	2	54
31	и мы	5	54
32	то же	12	54
33	о том	11	54
34	как и	15	51
35	что и	11	50
36	а не	34	50
37	что это	18	49
38	заключается в	3	46
39	только в	23	46
40	в сущности	7	46
41	сказать что	21	46
42	по себе	22	46
43	к тому	3	45
44	не в	14	45
45	в этой	4	43
46	ясно что	10	43
47	никогда не	5	42
48	и все	6	42
49	вместе с	4	41
50	как это	4	40
51	но и	19	40
52	при помощи	4	39
53	как раз	16	39
54	того что	16	39
55	и это	17	37
56	мы видим	5	37
57	и как	12	36
58	с тем	8	35
59	вовсе не	11	34
60	и если	5	34
61	и его	4	34
62	что все	2	33
63	когда он	2	33
64	все же	18	33
65	тому что	2	33
66	все это	7	32
67	в себе	23	32
68	же точно	2	32
69	в ней	14	31
70	мы не	8	31
71	в его	5	31
72	он не	4	31
73	для нас	2	31
74	никак не	7	30
75	как будто	2	30
76	как в	3	30
77	с одной	3	29
78	и для	13	29
79	с точки	6	29
80	одной стороны	3	29
81	в нем	6	29
82	что мы	17	28
83	и когда	5	28
84	что они	12	28
85	и то	14	28
86	мы можем	4	28
87	в основе	4	27
88	с другой	8	27
89	в своих	3	27
90	а в	6	27
91	все то	2	27
92	и на	2	27
93	так что	9	26
94	совершенно не	11	26
95	и здесь	5	25
96	только что	2	25
97	жизни и	6	25
98	в целом	3	24
99	указывает на	8	24
100	и совершенно	2	24
101	тем что	7	24
102	в своем	9	23
103	для этого	5	23
104	из этого	3	23
105	что если	2	23
106	что оно	10	23
107	один из	5	23
108	и даже	12	22
109	т д	36	22
110	как она	5	22
111	что у	5	22
112	казалось бы	3	22
113	когда мы	6	22
114	с этим	4	22
115	из них	7	22
116	в своей	6	21
117	как мы	6	21
118	и вот	4	21
119	в конце	3	21
120	но только	4	21
121	том чтобы	2	21
122	ни в	11	21
123	в котором	4	21
124	что эта	2	21
125	той же	2	21
126	и только	11	21
127	она не	9	20
128	все эти	5	20
129	в то	11	20
130	тот же	4	20
131	это не	9	20
132	несмотря на	6	20
133	мы имеем	8	20
134	другой стороны	3	20
135	на этом	4	20
136	мы должны	5	19
137	в ее	8	19
138	он говорит	2	19
139	у него	3	19
140	в одном	6	19
141	мы уже	3	19
142	в каком	6	18
143	перед нами	3	18
144	видим что	2	18
145	но в	8	18
146	но не	9	18
147	в которой	5	18
148	с этой	6	18
149	есть не	17	18
150	можно было	6	18
151	и есть	40	18
152	в виду	2	17
153	одна из	6	17
154	что для	5	17
155	только не	5	17
156	во всяком	4	17
157	у нас	9	17
158	но это	14	17
