N	3gram	Berdyaev_M	Myslijsy
1	в том что	3	47
2	по отношению к	4	26
3	не может быть	22	19
4	заключает в себе	3	19
5	от того что	4	13
6	в том смысле	2	13
7	до сих пор	5	12
8	подобно тому как	2	11
9	для того чтобы	4	11
10	в то время	2	10
11	о том что	3	9
12	потому что в	4	9
13	но и в	4	9
14	не могут быть	2	9
15	что и в	3	9
16	с тем что	3	8
17	вместе с тем	5	8
18	смысле в каком	2	8
19	как и в	2	7
20	одной и той	2	7
21	и той же	2	7
22	не только в	2	7
23	не было бы	5	6
24	после того как	2	6
25	между тем как	2	5
26	может быть назван	3	5
27	и в самом	3	4
28	не что иное	4	4
29	то время как	2	4
30	что иное как	4	4
31	а не в	4	3
32	что он не	3	3
33	как и во	2	3
34	потому что он	3	3
35	хотя бы и	2	3
36	но это не	3	3
37	это не значит	2	3
38	мы увидим что	4	3
39	было для него	2	3
40	в человеке и	2	3
41	и потому не	3	2
42	друг к другу	6	2
43	это значит что	3	2
44	одна и та	2	2
45	есть прежде всего	4	2
46	и та же	2	2
47	в нем есть	5	2
48	потому что есть	2	2
49	что это не	2	2
50	к тому чтобы	2	2
51	и не может	2	2
52	и быть может	2	2
