N	3gram	Propp_Morf	Dialekti
1	и т д	60	75
2	с точки зрения	6	46
3	в том что	4	25
4	не может быть	9	18
5	не что иное	2	18
6	что иное как	2	18
7	тем не менее	6	16
8	о том что	3	12
9	с другой стороны	5	12
10	на то что	3	11
11	подобно тому как	5	9
12	не значит что	3	8
13	в то время	3	8
14	то время как	3	8
15	точно так же	2	7
16	в связи с	9	7
17	более или менее	2	6
18	для того чтобы	3	6
19	может быть и	2	6
20	во всяком случае	2	6
21	с одной стороны	2	6
22	на самом деле	4	5
23	к тому что	4	5
24	и тем не	2	5
25	в данном случае	2	4
26	в этом отношении	2	4
27	т д но	4	4
28	можно было бы	2	4
29	не могут быть	4	4
30	это не значит	2	4
31	связи с этим	5	4
32	бы то ни	3	3
33	же может быть	2	3
34	как и в	3	3
35	хотя и не	2	3
36	т д в	2	3
37	о том как	2	3
38	но все же	4	3
39	но так как	2	2
40	друг к другу	2	2
41	вопрос о том	2	2
42	дело не в	2	2
43	к чему не	2	2
44	в обоих случаях	2	2
45	потому что его	2	2
46	на первый взгляд	3	2
47	ни к чему	2	2
48	мы видим что	11	2
49	в собственном смысле	3	2
50	это и не	2	2
51	и пр и	3	2
