N	3gram	Medvedev_F	Istorich
1	и т д	11	142
2	с другой стороны	4	46
3	до сих пор	7	30
4	с одной стороны	5	28
5	в том что	3	25
6	не может быть	11	24
7	тем не менее	2	23
8	вместе с тем	5	23
9	но все же	2	23
10	в связи с	9	17
11	в данном случае	2	15
12	по отношению к	4	14
13	как мы видели	5	12
14	но и в	4	12
15	т е в	2	11
16	что и в	2	10
17	более или менее	7	9
18	как мы увидим	3	9
19	в зависимости от	4	8
20	во всяком случае	6	7
21	в большинстве случаев	5	7
22	с тем что	3	7
23	смысле этого слова	4	7
24	с самого начала	2	6
25	мы не можем	3	6
26	в своей работе	2	6
27	на самом деле	7	5
28	для того чтобы	3	5
29	так и в	6	5
30	в нем и	2	5
31	в отличие от	2	5
32	в том чтобы	3	5
33	с точки зрения	17	4
34	сами по себе	4	4
35	бы то ни	4	3
36	как один из	2	3
37	не только не	2	3
38	что в нем	2	3
39	в связи со	2	3
40	одной стороны и	4	3
41	к тому что	3	3
42	не в том	3	3
43	и тем самым	2	3
44	в том смысле	3	3
45	в самом деле	5	2
46	сам по себе	2	2
47	может быть и	4	2
48	ничего общего с	2	2
49	хотя бы в	4	2
50	сама по себе	2	2
51	по себе а	2	2
52	друг от друга	2	2
53	не могут быть	4	2
54	к тому чтобы	2	2
55	и не может	5	2
56	но все эти	2	2
57	и прежде всего	2	2
58	как если бы	2	2
59	между этими двумя	2	2
60	и т п	11	2
61	и в какой	2	2
62	на то чтобы	2	2
63	и глубже чем	2	2
64	в свою очередь	6	2
