N	2gram	Potebnia_M	VrazhdaK
1	не только	32	9
2	и что	13	8
3	в этом	18	8
4	и в	58	8
5	что в	34	7
6	но и	26	7
7	и все	6	7
8	то что	24	7
9	но в	12	6
10	как и	16	6
11	в котором	5	6
12	в начале	2	6
13	в нем	26	6
14	и с	3	6
15	все же	11	6
16	и даже	4	6
17	и не	34	5
18	не было	7	5
19	то же	13	5
20	в то	6	5
21	же время	4	5
22	у него	3	5
23	между тем	7	5
24	для нас	29	4
25	уже в	5	4
26	несмотря на	5	4
27	в своих	4	4
28	это не	10	4
29	в виду	2	4
30	все это	3	4
31	при этом	17	4
32	о том	6	4
33	в ней	9	4
34	как бы	12	4
35	так же	7	4
36	что он	5	4
37	в истории	8	4
38	с ним	7	4
39	может быть	47	4
40	человека в	3	3
41	давно уже	2	3
42	и у	3	3
43	в том	38	3
44	в чем	6	3
45	одним из	2	3
46	его в	3	3
47	далеко не	4	3
48	что у	2	3
49	и уже	6	3
50	и во	6	3
51	в своем	3	3
52	том что	21	3
53	в его	7	3
54	в связи	2	3
55	и о	3	3
56	и его	7	3
57	и как	11	3
58	он не	4	3
59	связи с	6	3
60	к этому	3	3
61	но он	3	3
62	на то	5	3
63	что есть	3	3
64	с его	3	3
65	тем что	15	3
66	никогда не	7	2
67	же не	2	2
68	с нею	6	2
69	и то	4	2
70	в них	7	2
71	б и	2	2
72	уже не	4	2
73	в мире	3	2
74	одна из	4	2
75	к ним	3	2
76	начиная с	2	2
77	место в	3	2
78	что к	2	2
79	для него	13	2
80	при помощи	2	2
81	и это	3	2
82	с точки	4	2
83	мы знаем	2	2
84	а в	11	2
85	в этой	3	2
86	тогда как	10	2
87	столь же	6	2
88	том же	3	2
89	его с	3	2
90	в нашей	2	2
91	в своей	3	2
92	же в	7	2
93	но как	4	2
94	в себе	22	2
95	еще не	9	2
96	точки зрения	8	2
97	тем более	2	2
98	после этого	2	2
99	таким образом	21	2
100	во время	5	2
101	что я	2	2
102	отношения к	2	2
103	время и	2	2
104	в свою	8	2
105	по мнению	4	2
106	на это	2	2
107	так в	4	2
108	их в	2	2
109	о которой	2	2
110	рядом с	3	2
111	в эту	2	2
112	не может	30	2
113	из них	2	2
114	ответ на	2	2
115	не менее	10	2
116	его на	3	2
117	там же	9	2
118	но это	7	2
119	в глазах	4	2
120	не мог	3	2
121	вместе с	12	2
122	в известном	2	2
