N	3gram	Tiupa_Anal	formyVre
1	то же время	7	21
2	в то же	7	18
3	с точки зрения	2	15
4	но и в	2	12
5	не только в	5	11
6	одного и того	4	9
7	и того же	4	9
8	и прежде всего	2	8
9	в этом отношении	3	7
10	в отличие от	5	7
11	не может быть	2	7
12	с одной стороны	3	6
13	в том что	12	5
14	как и в	6	5
15	той или иной	6	5
16	включает в себя	2	4
17	в этом ряду	2	4
18	одних и тех	2	4
19	и тех же	2	4
20	с другой стороны	7	4
21	во всяком случае	6	4
22	по отношению к	9	4
23	до известной степени	3	3
24	и как бы	2	3
25	о том что	7	3
26	тот или иной	3	3
27	в той или	2	3
28	здесь не только	4	2
29	по природе своей	3	2
30	можно сказать что	2	2
31	в основе своей	2	2
32	дело в том	3	2
33	в соответствии с	2	2
34	в данном случае	11	2
35	к тому же	7	2
36	в свою очередь	7	2
