N	2gram	Medvedev_S	StatiiOP
1	и в	3	103
2	в том	5	89
3	том что	2	77
4	в этом	5	76
5	что в	2	74
6	не только	3	60
7	но и	2	46
8	то что	2	44
9	в его	3	42
10	может быть	2	38
11	было бы	2	32
12	все это	7	29
13	таким образом	2	28
14	не в	3	23
15	только в	2	19
16	как бы	2	17
17	то же	2	14
18	и что	2	14
19	в конце	2	13
20	в частности	2	10
21	для нас	3	9
22	к которому	2	8
23	дело не	2	8
24	в результате	2	8
25	но ведь	3	8
26	конце концов	2	7
27	тем более	2	7
28	еще не	2	7
29	отношению к	2	7
30	по отношению	2	6
31	по существу	2	6
32	это и	2	5
33	должна быть	2	5
34	как будто	2	5
35	и только	3	5
36	очевидно что	2	4
37	литературы и	2	4
38	за пределы	2	4
39	более чем	3	4
40	в смысле	2	4
41	идей и	2	3
42	ведь это	2	2
43	истории литературы	10	2
44	одно дело	2	2
45	нужно было	2	2
46	далеко не	2	2
