N	2gram	Nazirov_Vr	Russkaja
1	не может	2	22
2	и не	5	19
3	в том	3	17
4	в этом	8	17
5	и в	8	14
6	то что	7	13
7	точки зрения	2	11
8	то же	5	11
9	таким образом	2	11
10	в то	5	10
11	но и	7	10
12	же время	5	10
13	не только	9	9
14	том что	3	9
15	может быть	4	9
16	в себе	2	9
17	с точки	2	9
18	и с	6	7
19	о том	4	7
20	отнюдь не	2	7
21	россии в	2	7
22	в своих	4	6
23	в россии	5	6
24	все это	4	6
25	что он	4	6
26	в своем	3	6
27	для него	2	6
28	а в	2	5
29	на то	3	5
30	при этом	4	5
31	в нем	6	5
32	в своей	2	5
33	никогда не	2	5
34	он не	3	5
35	между тем	5	5
36	и то	2	4
37	что в	7	4
38	его в	3	4
39	все же	6	4
40	как и	6	4
41	в мире	2	4
42	как бы	4	4
43	в его	3	4
44	в этой	2	4
45	вместе с	2	4
46	одна из	2	3
47	с нею	2	3
48	в конце	3	3
49	из них	2	3
50	и как	3	3
51	несмотря на	4	3
52	он сам	2	3
53	и во	3	3
54	связи с	3	3
55	еще не	2	3
56	не было	5	3
57	тем что	3	3
58	и о	3	2
59	но в	6	2
60	в котором	6	2
61	так же	4	2
62	их в	2	2
63	в начале	6	2
64	это в	2	2
65	в ней	4	2
66	уже не	2	2
67	на это	2	2
68	этот человек	2	2
69	и даже	6	2
70	для нас	4	2
71	целый ряд	4	2
72	речь идет	3	2
73	место в	2	2
74	к себе	2	2
75	тогда как	2	2
76	и что	8	2
77	но это	2	2
78	том же	2	2
79	а с	2	2
80	в россию	4	2
81	во время	2	2
82	его и	2	2
83	отношения к	2	2
84	с ним	4	2
85	в глазах	2	2
86	у него	5	2
