N	2gram	Tiupa_Teor	Myslijsy
1	потому что	3	182
2	то есть	22	142
3	и в	24	121
4	может быть	22	107
5	в том	20	103
6	то что	6	83
7	в слове	4	78
8	что в	10	73
9	и не	17	73
10	только в	9	72
11	не только	24	67
12	а не	14	67
13	таким образом	3	64
14	том что	11	59
15	в этом	12	59
16	но и	14	59
17	то же	12	56
18	не в	9	54
19	если бы	3	53
20	в себе	14	53
21	не может	8	52
22	по себе	2	52
23	того что	5	47
24	в душе	9	45
25	в нем	7	45
26	как и	6	42
27	вместе с	2	39
28	что и	2	38
29	так и	14	37
30	при этом	20	37
31	как в	5	37
32	и что	4	32
33	по отношению	10	30
34	а в	15	30
35	но не	13	29
36	между тем	5	29
37	вовсе не	3	28
38	для него	5	28
39	могут быть	5	27
40	отношению к	10	26
41	этого слова	4	25
42	в то	9	24
43	как бы	8	23
44	но в	12	22
45	с другой	9	22
46	и потому	3	21
47	не менее	6	21
48	в одном	3	20
49	это не	4	20
50	тем самым	6	19
51	и как	3	19
52	и то	3	19
53	сказать что	4	19
54	из этих	3	19
55	тем не	3	19
56	о том	2	19
57	того же	4	19
58	в каком	2	18
59	для меня	2	18
60	для того	5	18
61	еще не	6	18
62	не могут	2	18
63	тогда как	18	18
64	в самом	7	18
65	в таком	3	18
66	в его	12	17
67	со стороны	6	17
68	точки зрения	11	17
69	слова в	4	17
70	в своем	7	16
71	к тому	4	16
72	а только	4	16
73	и наоборот	2	16
74	в которой	3	16
75	так же	2	16
76	в них	2	16
77	и на	2	16
78	и по	3	15
79	в этих	4	15
80	с одной	3	15
81	тому как	3	15
82	и тем	5	15
83	что он	4	15
84	прежде всего	3	15
85	с другими	6	15
86	в свою	4	15
87	уже не	6	15
88	свою очередь	3	14
89	связи с	3	14
90	то в	2	14
91	на деле	2	14
92	столь же	3	14
93	в одно	2	14
94	во всех	3	14
95	же время	8	14
96	не следует	4	13
97	например в	3	13
98	языка в	4	13
99	и его	11	13
100	никогда не	4	12
101	человека и	2	12
102	все это	2	12
103	есть в	3	12
104	тем более	2	12
105	что такое	2	12
106	оно не	2	12
107	или менее	6	12
108	в чем	2	12
109	хотя и	4	12
110	другой стороны	6	12
111	более или	6	12
112	к одному	2	11
113	и притом	3	11
114	в силу	4	11
115	того чтобы	5	11
116	в первом	2	11
117	только на	2	11
118	его в	4	11
119	к нему	2	11
120	речи и	4	11
121	подобно тому	3	11
122	и это	2	11
123	а и	5	10
124	одной стороны	3	10
125	быть названо	2	10
126	и для	3	10
127	тем же	2	10
128	тому что	2	10
129	так в	4	10
130	не от	2	10
131	он не	5	10
132	если мы	2	10
133	таком случае	2	9
134	зрения и	2	9
135	могли бы	2	9
136	не будет	3	9
137	никто не	3	9
138	не все	3	9
139	это было	2	9
140	и даже	2	9
141	и о	5	9
142	далеко не	4	9
143	с точки	3	9
144	и того	4	9
145	самом деле	2	9
146	один из	2	9
147	в целом	4	9
148	можно сказать	5	9
149	что она	2	9
150	одного и	4	9
151	на вопрос	2	8
152	одно и	2	8
153	что они	2	8
154	в самой	2	8
155	их в	3	8
156	именно в	3	8
157	только не	3	8
158	слова не	2	8
159	вслед за	3	8
160	говоря о	3	8
161	была бы	3	8
162	между ними	6	8
163	с ними	2	8
164	одно слово	2	8
165	художественное произведение	3	8
166	мы в	2	8
167	говорить о	4	8
168	или в	3	8
169	для себя	3	7
170	в искусстве	9	7
171	во втором	3	7
172	себя и	2	7
173	место в	7	7
174	все эти	3	7
175	за пределы	2	7
176	превращается в	2	7
177	с этой	3	7
178	но как	2	7
179	не всегда	2	7
180	на котором	2	7
181	для понимания	2	7
182	могла бы	2	7
183	в данном	9	7
184	сама по	2	7
185	не с	3	7
186	в жизни	3	7
187	этом смысле	3	7
188	несмотря на	2	7
189	в виду	5	6
190	в ее	6	6
