N	3gram	Tiupa_Anal	StatiiOP
1	в том что	13	47
2	о том что	8	29
3	в этом отношении	5	24
4	для того чтобы	3	19
5	и т п	3	19
6	с точки зрения	6	14
7	с другой стороны	2	13
8	не может быть	17	11
9	в то же	9	9
10	в самом деле	3	9
11	то же время	7	9
12	на то что	2	9
13	тем не менее	3	8
14	не только в	3	8
15	к тому что	2	8
16	том что он	2	7
17	в данном случае	3	7
18	не в том	3	7
19	и в этом	4	7
20	по крайней мере	4	6
21	по отношению к	9	6
22	не только не	2	6
23	в этом смысле	3	6
24	в свое время	3	5
25	но и в	3	5
26	в том чтобы	7	5
27	дело не в	2	4
28	сами по себе	3	4
29	и в самом	3	4
30	в связи с	2	4
31	мере в какой	2	4
32	с одной стороны	6	4
33	обращает на себя	3	4
34	того или иного	3	4
35	бы то ни	3	3
36	прежде всего в	2	3
37	на себя внимание	3	3
38	в известном смысле	2	3
39	в том числе	3	3
40	той мере в	2	3
41	и не в	4	3
42	к тому же	6	3
43	в этом случае	4	3
44	более или менее	2	3
45	в той мере	2	3
46	состоит в том	6	3
47	в равной мере	2	2
48	то же самое	3	2
49	но в то	2	2
50	имеем дело с	4	2
51	как и в	2	2
52	той или иной	8	2
53	в обоих случаях	2	2
54	в отличие от	8	2
55	то ни было	3	2
56	между тем как	2	2
57	в сочетании с	7	2
58	а не в	3	2
59	в той или	3	2
