N	3gram	Bakhtin_KF	Problema
1	тем не менее	2	56
2	в том что	2	37
3	вовсе не есть	2	30
4	той или иной	2	26
5	с точки зрения	10	25
6	в этом смысле	3	19
7	ни в каком	2	18
8	в то же	2	17
9	на самом деле	3	13
10	того или иного	3	13
11	не может быть	11	12
12	и в этом	3	12
13	бы то ни	2	11
14	и ни в	2	9
15	может быть только	7	8
16	то или иное	2	7
17	то ни было	2	6
18	и только в	3	6
19	имеем в виду	2	5
20	в чем не	4	5
21	ни в чем	4	5
22	во всех этих	2	4
23	вопрос о том	2	4
24	не было бы	3	4
25	дело здесь не	2	4
26	на первом плане	2	4
27	и в своей	3	4
28	здесь мы имеем	2	3
29	и может быть	2	3
30	он может быть	2	2
31	по отношению к	22	2
32	вовсе не значит	2	2
33	а не в	2	2
34	ничего общего не	2	2
35	мы говорим о	2	2
36	в целом и	2	2
37	другое дело когда	2	2
38	и тот же	3	2
39	во всей его	2	2
40	в нем и	3	2
41	между тем как	3	2
42	один и тот	3	2
