N	2gram	Losev_Prob	EvropaiC
1	таким образом	13	34
2	в том	35	31
3	и в	62	24
4	том что	25	20
5	все эти	14	19
6	не может	14	18
7	то что	42	18
8	может быть	39	17
9	до сих	4	15
10	все же	10	15
11	сих пор	4	15
12	точки зрения	14	14
13	в этом	25	13
14	все это	9	13
15	в своем	7	12
16	с этим	5	12
17	самом деле	6	12
18	но и	20	11
19	не только	33	10
20	так и	16	10
21	во всех	4	10
22	как и	15	10
23	как бы	11	10
24	из себя	5	10
25	в результате	8	9
26	и не	56	9
27	не в	21	9
28	что в	11	9
29	и все	13	9
30	на то	6	9
31	того же	2	9
32	потому что	40	9
33	при этом	9	9
34	и что	9	9
35	так же	11	8
36	или менее	2	8
37	если бы	9	8
38	для того	5	8
39	идет речь	4	8
40	к тому	4	8
41	более или	2	8
42	в самом	4	8
43	а и	2	8
44	того чтобы	4	8
45	с точки	9	8
46	мы говорили	3	8
47	ясно что	11	8
48	на самом	13	7
49	для этого	9	7
50	о которых	3	7
51	так как	14	7
52	что он	16	7
53	того что	10	7
54	не менее	24	7
55	о том	14	7
56	из этого	5	7
57	что и	11	7
58	в этой	10	7
59	по существу	2	7
60	что при	5	7
61	вместе с	3	7
62	отличается от	8	6
63	только в	33	6
64	все они	5	6
65	у них	2	6
66	еще не	12	6
67	и при	2	6
68	друг от	3	6
69	так что	21	6
70	в то	18	6
71	и для	5	6
72	с другой	14	6
73	говорили выше	2	6
74	от друга	3	6
75	и если	11	6
76	и на	4	6
77	мы можем	11	6
78	несмотря на	4	6
79	как на	2	6
80	с ним	11	6
81	и от	11	5
82	его в	4	5
83	но все	5	5
84	по сравнению	3	5
85	в себе	23	5
86	к этому	2	5
87	оказывается что	2	5
88	в которой	3	5
89	ничем не	2	5
90	между собою	5	5
91	из них	4	5
92	что это	3	5
93	так или	2	5
94	по своему	6	5
95	что все	2	5
96	но в	17	5
97	именно в	4	5
98	или иначе	2	5
99	и без	9	5
100	и с	11	5
101	и к	9	5
102	другой стороны	11	5
103	в целом	9	5
104	не будет	3	5
105	в его	10	5
106	как будто	11	5
107	сравнению с	3	5
108	быть и	3	5
109	никогда не	7	4
110	и то	17	4
111	самого себя	4	4
112	из того	3	4
113	мы должны	13	4
114	для меня	4	4
115	всех этих	6	4
116	хотя бы	6	4
117	то ни	7	4
118	тем не	23	4
119	в конце	7	4
120	которых мы	2	4
121	и у	2	4
122	конце концов	4	4
123	состоит из	6	4
124	ее и	2	4
125	то же	23	4
126	в их	2	4
127	в области	2	4
128	а с	2	4
129	одним из	2	4
130	в виде	20	4
131	совершенно не	7	4
132	что его	3	4
133	между собой	3	4
134	что для	4	4
135	с тем	9	4
136	не так	8	4
137	этом случае	8	4
138	не есть	57	4
139	из которых	6	4
140	что мы	12	4
141	связи с	10	4
142	в таком	11	4
143	он не	10	4
144	это есть	5	4
145	мы сказали	2	4
146	если мы	24	4
147	хотя и	9	4
148	мы уже	4	4
149	то ясно	2	4
150	даже в	2	3
151	нечего и	2	3
152	данном случае	12	3
153	и вообще	20	3
154	вопрос о	2	3
155	что их	2	3
156	тем самым	9	3
157	при помощи	13	3
158	это не	10	3
159	что если	3	3
160	и потому	13	3
161	и до	3	3
162	гораздо больше	2	3
163	от него	2	3
164	и говорить	2	3
165	в начале	3	3
166	тем более	8	3
167	в настоящее	4	3
168	в тех	3	3
169	бы в	3	3
170	но даже	7	3
171	ни было	5	3
172	от того	2	3
173	настоящее время	4	3
174	даже если	4	3
175	только что	4	3
176	с этой	3	3
177	в этих	6	3
178	но тогда	4	3
179	конечно не	3	3
180	в связи	9	3
181	и наконец	2	3
182	у нас	17	3
183	чтобы все	2	3
184	отличаются друг	2	3
185	прежде всего	13	3
186	отличие от	3	3
187	жизнь и	3	3
188	с одной	3	3
189	в разных	4	3
190	образом в	2	3
191	но не	6	3
192	очень много	4	3
193	а наоборот	3	3
194	и это	11	3
