N	3gram	Bakhtin_Pr	RusskieA
1	в том что	10	49
2	о том что	5	10
3	но это не	3	8
4	в данном случае	3	8
5	для того чтобы	3	8
6	подобно тому как	5	8
7	как мы видели	3	6
8	не может быть	8	6
9	так же как	4	6
10	во всяком случае	3	4
11	в то время	3	4
12	можно было бы	4	4
13	как мы уже	2	4
14	в отличие от	3	4
15	как можно больше	2	3
16	же как и	3	3
17	тому как в	2	3
18	по отношению к	17	3
19	с точки зрения	21	3
20	и в том	2	3
21	друг к другу	4	3
22	до сих пор	3	3
23	в своей книге	2	3
24	на самом деле	4	2
25	потому что он	2	2
26	можно сказать что	3	2
27	в этом отношении	7	2
28	в большинстве случаев	3	2
29	это не значит	3	2
30	не только в	2	2
31	друг с другом	4	2
32	и в этом	8	2
33	может быть только	3	2
34	с другой стороны	3	2
35	но все же	3	2
