N	3gram	Bakhtin_Pr	slovoVRo
1	и т п	10	72
2	не может быть	8	19
3	в то же	13	18
4	с чужим словом	5	18
5	то же время	13	18
6	с точки зрения	21	15
7	и его слово	2	15
8	в узком смысле	2	14
9	в отличие от	4	14
10	в отношении к	3	12
11	в большинстве случаев	10	11
12	и т д	4	10
13	более или менее	4	9
14	в пределах одного	6	9
15	во всяком случае	4	8
16	в зависимости от	5	8
17	но в то	7	7
18	зрения на мир	4	7
19	к своему предмету	2	6
20	большей или меньшей	2	6
21	в одной плоскости	7	6
22	так и в	2	6
23	как мы сказали	3	6
24	к чужому слову	6	6
25	с другой стороны	6	6
26	и в то	2	6
27	но все же	3	6
28	чужого слова в	3	5
29	а вовсе не	2	5
30	в том что	6	5
31	в этом отношении	3	5
32	не только в	2	5
33	может быть и	2	5
34	хотя бы и	3	5
35	как мы уже	2	5
36	по отношению к	12	5
37	в большей или	2	4
38	в лучшем случае	2	4
39	точка зрения на	2	4
40	или меньшей степени	2	4
41	никогда не может	2	4
42	друг с другом	3	4
43	чужого слова и	3	4
44	и не может	6	4
45	до сих пор	9	4
46	чужим словом в	3	4
47	в пределах того	2	4
48	можно сказать что	2	4
49	и в сущности	2	4
50	прямое авторское слово	3	3
51	одной плоскости с	4	3
52	по ту сторону	2	3
53	как и в	3	3
54	человека и его	2	3
55	с авторским словом	2	3
56	в данном случае	2	3
57	героя и его	3	3
58	быть более или	2	3
59	т п все	2	3
60	сама по себе	5	3
61	в самом предмете	3	3
62	лишь одним из	2	3
63	как если бы	3	3
64	и в романе	2	2
65	от автора и	2	2
66	в одном слове	3	2
67	а не как	5	2
68	не только не	2	2
69	может быть более	2	2
70	между тем как	5	2
71	же как и	2	2
72	с ним и	2	2
73	и в нем	2	2
74	значит конечно что	2	2
75	а следовательно и	2	2
76	мы уже говорили	3	2
77	о том что	2	2
78	что он есть	2	2
79	хотя и не	3	2
80	можно было бы	3	2
81	это не значит	3	2
82	даже там где	2	2
83	в их основе	2	2
84	в то время	2	2
85	могут быть весьма	2	2
86	в том и	2	2
87	лежит в одной	2	2
88	этой точки зрения	2	2
89	то время как	2	2
90	ту же тему	2	2
91	и в этом	5	2
92	бы ни были	2	2
93	тем не менее	2	2
94	о том же	2	2
95	и наконец в	2	2
96	не значит конечно	2	2
97	мир и на	2	2
