N	3gram	Tiupa_Anal	Literetu
1	в то же	9	21
2	то же время	7	21
3	в том что	13	21
4	по отношению к	9	12
5	с одной стороны	6	12
6	в данном случае	3	11
7	в отличие от	8	11
8	не может быть	17	11
9	состоит в том	6	11
10	в конечном счете	5	10
11	о том что	8	10
12	в этом отношении	5	10
13	на наш взгляд	6	9
14	присутствия в мире	3	8
15	с точки зрения	6	8
16	с другой стороны	2	7
17	из того что	3	6
18	в том числе	3	6
19	к тому же	6	6
20	подобно тому как	5	6
21	не только в	3	6
22	тем не менее	3	5
23	этой точки зрения	2	5
24	в соответствии с	2	5
25	прежде всего в	2	5
26	с этой точки	2	5
27	в связи с	2	5
28	в том чтобы	7	5
29	бы то ни	3	4
30	в начале х	2	4
31	в силу своей	3	4
32	то ни было	3	4
33	и тем самым	2	4
34	начале х годов	2	4
35	я в мире	2	4
36	и т п	3	3
37	себя в другом	3	3
38	факторов художественного впечатления	8	3
39	то же самое	3	3
40	той или иной	8	3
41	по крайней мере	4	3
42	в самом деле	3	3
43	другого в себе	2	3
44	на то что	2	3
45	быть не может	3	3
46	не сводится к	2	3
47	как совокупность факторов	2	3
48	совокупность факторов художественного	2	3
49	по этой причине	2	3
50	но и не	5	3
51	в равной степени	2	3
52	в другом найдя	2	2
53	а не только	2	2
54	в равной мере	2	2
55	одно и то	2	2
56	субъекта уединенного сознания	2	2
57	для того чтобы	3	2
58	все той же	2	2
59	и то же	2	2
60	могли бы быть	2	2
61	мы имеем дело	7	2
62	в полной мере	3	2
63	так и не	5	2
64	с легкой руки	2	2
65	не удивительно что	2	2
66	в этой связи	2	2
67	в принципе не	3	2
68	в свое время	3	2
69	не знает категории	2	2
70	найдя другого в	2	2
71	не только не	2	2
72	и в самом	3	2
73	между тем как	2	2
74	если говорить о	2	2
75	другом найдя другого	2	2
76	в этом случае	4	2
77	к тому что	2	2
78	но и в	3	2
79	в самом начале	3	2
80	найти себя в	2	2
81	в сочетании с	7	2
82	в этом контексте	2	2
83	и представляет собой	4	2
84	тех или иных	3	2
