N	2gram	Losev_Prob	SlovoVZh
1	не может	18	16
2	точки зрения	5	14
3	может быть	29	14
4	и его	3	13
5	как бы	18	13
6	и в	64	12
7	таким образом	9	12
8	в нашем	3	11
9	и не	63	10
10	так как	16	9
11	если бы	8	9
12	прежде всего	17	8
13	для нас	11	7
14	сказать что	33	7
15	слова и	5	6
16	все время	3	6
17	при этом	8	6
18	в том	19	6
19	в нем	14	6
20	только в	19	6
21	никогда не	8	5
22	как в	5	5
23	что мы	23	5
24	в жизни	3	5
25	к предмету	3	5
26	в виду	10	5
27	можно сказать	9	5
28	но в	19	5
29	том что	26	5
30	то же	10	5
31	как и	7	5
32	и следовательно	6	5
33	должна быть	2	5
34	мы ни	3	5
35	хотя бы	15	5
36	а не	21	5
37	то что	72	5
38	и др	2	5
39	отнюдь не	15	5
40	в самом	10	4
41	в этом	30	4
42	не только	37	4
43	в литературе	4	4
44	на самом	9	4
45	что не	8	4
46	его в	9	4
47	и является	9	4
48	зависимости от	2	4
49	не в	6	4
50	с другой	8	4
51	все же	7	4
52	дело в	3	4
53	к нему	5	4
54	за пределы	6	4
55	и к	2	4
56	так и	17	4
57	и на	11	4
58	уже не	9	4
59	от того	2	4
60	литературы и	5	4
61	в них	8	3
62	по себе	20	3
63	в каком	7	3
64	и вообще	13	3
65	о том	25	3
66	и для	10	3
67	слово в	2	3
68	или не	5	3
69	да и	11	3
70	сколько бы	2	3
71	он должен	2	3
72	из этого	2	3
73	и уже	4	3
74	ни в	13	3
75	все эти	15	3
76	в котором	5	3
77	бы то	2	3
78	и наконец	3	3
79	то ни	3	3
80	так же	12	3
81	в своей	8	3
82	мы не	6	3
83	конечно не	3	3
84	в себе	16	3
85	еще не	18	3
86	здесь не	9	3
87	все это	11	3
88	только на	13	3
89	и ее	9	3
90	между тем	3	3
91	и с	12	3
92	бы мы	5	3
93	но для	3	3
94	не менее	26	3
95	сих пор	6	3
96	с ним	4	3
97	до сих	6	3
98	быть и	5	3
99	в пределах	2	3
100	и по	3	3
101	в такой	3	3
102	самом деле	10	3
103	и пр	4	3
104	того что	18	3
105	тем не	25	3
106	и более	4	3
107	ведь и	2	3
108	но и	23	3
109	для него	2	3
110	ясно что	7	3
111	едва ли	10	2
112	вещи и	13	2
113	конечно в	2	2
114	и то	15	2
115	мы в	4	2
116	в его	12	2
117	которые мы	3	2
118	допустим что	2	2
119	данном случае	10	2
120	к его	2	2
121	и здесь	8	2
122	что в	21	2
123	эта последняя	3	2
124	стороны и	3	2
125	в отношении	7	2
126	мы никогда	3	2
127	не сможем	2	2
128	не есть	49	2
129	искусства и	3	2
130	и притом	6	2
131	место в	2	2
132	бы оно	3	2
133	ничего не	20	2
134	общего с	10	2
135	с его	3	2
136	и те	2	2
137	что и	2	2
138	это не	7	2
139	и все	9	2
140	кроме того	7	2
141	с точки	3	2
142	или события	3	2
143	содержания и	2	2
144	от всех	2	2
145	она не	5	2
146	но все	5	2
147	в своем	7	2
148	но отнюдь	4	2
149	бы не	4	2
150	и вполне	6	2
151	все они	2	2
152	в зависимости	2	2
153	в данном	16	2
154	но мы	3	2
155	с другими	6	2
156	независимо от	2	2
157	мы имеем	3	2
158	и что	21	2
159	в то	7	2
160	перестает быть	3	2
161	уже в	6	2
162	всех актов	2	2
163	смысл и	3	2
164	в этих	7	2
165	одной стороны	4	2
166	но это	11	2
167	в условиях	2	2
168	в настоящее	17	2
169	он не	5	2
170	делает его	2	2
171	как же	6	2
172	как только	3	2
173	в момент	2	2
174	как на	3	2
175	и потому	3	2
176	его как	2	2
177	оно не	6	2
178	но не	13	2
179	как это	7	2
180	если же	4	2
181	поскольку они	2	2
182	на один	2	2
183	мы можем	8	2
184	была бы	2	2
185	что слово	2	2
186	ни на	5	2
187	могут быть	2	2
188	совпадает с	2	2
189	в чем	3	2
190	между собой	5	2
191	нет ничего	12	2
192	быть только	3	2
193	значения и	11	2
194	настоящее время	17	2
195	и так	2	2
196	является для	3	2
197	с одной	4	2
198	относится к	6	2
199	нашего сознания	3	2
200	же самое	9	2
201	этих двух	2	2
202	и значение	4	2
203	тогда когда	4	2
204	и та	2	2
205	известной степени	2	2
206	бы даже	2	2
207	но что	3	2
208	другой стороны	7	2
209	в корне	2	2
210	вместе с	4	2
211	но зато	3	2
