N	2gram	Kanaev_Sov	Komedia
1	и в	7	77
2	и не	6	47
3	в том	4	44
4	может быть	12	30
5	таким образом	11	29
6	из них	4	29
7	в этом	7	27
8	не только	4	25
9	вместе с	4	25
10	так как	4	24
11	как и	6	23
12	что в	2	23
13	в самом	2	22
14	в конце	3	21
15	а в	4	21
16	то же	3	21
17	ясно что	3	21
18	в его	2	20
19	в этой	3	18
20	еще не	3	17
21	в нем	3	17
22	все же	3	16
23	у него	2	16
24	не менее	2	16
25	при этом	3	16
26	тот же	2	16
27	не в	3	15
28	точки зрения	12	15
29	прежде всего	5	15
30	было бы	3	15
31	в которой	2	15
32	все это	3	14
33	в свою	2	14
34	самом деле	2	13
35	но в	3	13
36	что она	3	13
37	мы можем	6	13
38	в одном	3	13
39	уже в	3	12
40	не может	17	12
41	из которых	2	12
42	как мы	2	11
43	и даже	2	11
44	на этот	2	11
45	в целом	4	10
46	ничего не	6	10
47	и все	3	10
48	на его	2	10
49	мы не	9	10
50	свою очередь	2	10
51	с этим	2	10
52	с одной	2	10
53	как бы	4	10
54	и что	2	10
55	отличие от	2	9
56	и по	2	9
57	но все	2	9
58	говорить о	2	9
59	как он	3	8
60	то ни	2	8
61	такого рода	2	8
62	с самого	3	8
63	вопрос о	4	7
64	в себе	3	7
65	и к	3	7
66	мы знаем	2	7
67	самого начала	3	7
68	и во	2	7
69	во всяком	2	7
70	из этих	2	7
71	в результате	6	7
72	отнюдь не	3	7
73	для нас	3	7
74	всяком случае	2	7
75	в области	3	6
76	могут быть	2	6
77	нет и	4	6
78	в дальнейшем	4	6
79	тем не	2	6
80	в отличие	2	6
81	еще более	2	6
82	на этом	2	6
83	с точки	5	6
84	в и	2	6
85	а не	3	6
86	не дает	2	6
87	это не	4	5
88	в каждом	8	5
89	роль в	2	5
90	и мы	3	5
91	в развитии	4	5
92	между собой	3	5
93	в первом	3	5
94	только один	2	5
95	что это	2	5
96	каждого из	2	5
97	из двух	3	5
98	приводит к	2	5
99	жизни и	4	5
100	а на	2	5
101	же самое	2	5
102	той же	2	5
103	тем же	2	5
104	с помощью	4	5
105	по мнению	2	4
106	что же	5	4
107	как известно	2	4
108	так называемых	3	4
109	одна из	3	4
110	то и	2	4
111	у нас	3	4
112	времени и	2	4
113	такой же	2	4
114	их в	4	4
115	если мы	4	3
116	и потому	3	3
117	не могут	2	3
118	теперь же	2	3
119	на две	3	3
120	с другом	2	3
121	он в	3	3
122	в виде	2	3
123	для развития	2	3
124	конечно в	2	3
125	мы видели	4	3
126	ее на	2	3
127	друг с	2	3
128	совершенно не	2	3
129	в один	2	3
130	в таком	2	3
131	и есть	2	3
132	в нашем	2	3
133	этих двух	2	3
134	ни одна	2	2
135	поэтому мы	3	2
136	дает нам	2	2
137	возможность и	2	2
138	со всеми	2	2
139	что все	2	2
140	зависимости от	4	2
141	вторая половина	2	2
142	мы видим	2	2
143	в зависимости	4	2
144	все эти	5	2
145	из четырех	2	2
146	в которую	2	2
147	наконец не	2	2
148	при таком	3	2
149	не знаем	2	2
150	которой он	2	2
151	известных нам	2	2
152	если же	2	2
