N	2gram	Potebnia_M	VrazhdaK
1	не только	32	9
2	и что	13	8
3	в этом	19	8
4	и в	48	8
5	что в	30	7
6	но и	30	7
7	и все	5	7
8	то что	37	7
9	но в	8	6
10	как и	22	6
11	в котором	7	6
12	в начале	3	6
13	в нем	16	6
14	и с	4	6
15	все же	3	6
16	и даже	3	6
17	и не	28	5
18	не было	12	5
19	об этом	4	5
20	то же	35	5
21	в то	16	5
22	же время	8	5
23	у него	3	5
24	между тем	19	5
25	для нас	40	4
26	уже в	10	4
27	целый ряд	2	4
28	несмотря на	2	4
29	во многом	3	4
30	в своих	2	4
31	это не	2	4
32	все это	4	4
33	при этом	6	4
34	о том	7	4
35	в ней	11	4
36	как бы	10	4
37	так же	6	4
38	что он	8	4
39	в истории	2	4
40	с ним	10	4
41	может быть	46	4
42	человека в	2	3
43	давно уже	4	3
44	в том	47	3
45	в чем	6	3
46	одним из	3	3
47	его в	6	3
48	далеко не	5	3
49	что у	4	3
50	в своем	6	3
51	том что	28	3
52	в его	6	3
53	и о	6	3
54	и его	4	3
55	и как	8	3
56	он не	4	3
57	связи с	6	3
58	эти слова	2	3
59	к этому	3	3
60	но он	3	3
61	на то	6	3
62	что есть	3	3
63	тем что	13	3
64	никогда не	2	2
65	с нею	5	2
66	и то	13	2
67	в них	9	2
68	уже не	11	2
69	в мире	3	2
70	к ним	3	2
71	место в	4	2
72	нашего времени	2	2
73	в той	2	2
74	что к	2	2
75	для него	14	2
76	при помощи	2	2
77	и это	6	2
78	при создании	3	2
79	с точки	3	2
80	а в	14	2
81	человека с	2	2
82	он сам	2	2
83	в этой	3	2
84	тогда как	8	2
85	столь же	8	2
86	том же	2	2
87	его с	3	2
88	в своей	2	2
89	же в	3	2
90	но как	2	2
91	в себе	26	2
92	еще не	9	2
93	точки зрения	4	2
94	тем более	9	2
95	это в	2	2
96	таким образом	24	2
97	во время	4	2
98	что я	5	2
99	отношения к	2	2
100	время и	2	2
101	в свою	6	2
102	на это	4	2
103	так в	4	2
104	их в	3	2
105	рядом с	2	2
106	в эту	4	2
107	не может	18	2
108	из них	11	2
109	ответ на	3	2
110	в это	2	2
111	не менее	9	2
112	его на	3	2
113	там же	8	2
114	но это	9	2
115	в глазах	3	2
116	с которым	3	2
117	от сознания	3	2
118	а с	4	2
119	о влиянии	2	2
120	вместе с	22	2
121	отношение к	2	2
