N	2gram	Bakhtin_Fr	slovoVRo
1	и в	67	92
2	в романе	15	89
3	то есть	49	64
4	в нем	20	59
5	может быть	4	59
6	и его	19	59
7	и не	23	51
8	не только	23	44
9	не может	9	41
10	но и	23	39
11	до конца	2	37
12	в этом	27	36
13	а не	6	34
14	во всех	20	32
15	так и	14	30
16	точки зрения	7	30
17	и др	11	29
18	в пределах	2	29
19	в его	17	27
20	все это	15	25
21	слова и	2	24
22	как бы	18	24
23	то же	18	23
24	языков и	2	22
25	и на	12	22
26	не в	8	21
27	в сущности	13	21
28	как в	4	21
29	вовсе не	19	21
30	в то	17	20
31	прежде всего	19	19
32	как мы	16	19
33	как и	19	18
34	же время	14	18
35	с ним	6	18
36	все же	7	17
37	все эти	12	17
38	в истории	2	17
39	в основе	6	17
40	и даже	6	17
41	в большинстве	6	17
42	таким образом	20	17
43	к своему	2	16
44	отличие от	3	16
45	при этом	5	16
46	в них	12	16
47	но в	20	16
48	там где	10	15
49	и с	18	15
50	в той	2	15
51	с точки	5	15
52	в отличие	3	14
53	так сказать	2	14
54	только в	6	14
55	это не	5	13
56	рядом с	6	13
57	с его	11	13
58	в особенности	7	13
59	и для	4	13
60	с другой	3	13
61	на фоне	4	13
62	никогда не	6	12
63	в отношении	2	12
64	а в	4	12
65	или в	3	12
66	словом и	4	12
67	и наконец	5	12
68	еще не	5	12
69	и к	7	12
70	в плане	5	11
71	один из	6	11
72	большинстве случаев	6	11
73	на его	2	11
74	одной стороны	2	11
75	с одной	2	11
76	для него	4	11
77	все они	7	10
78	в своем	13	10
79	и их	6	10
80	в том	16	10
81	и все	18	10
82	в себе	3	10
83	с другими	3	10
84	всех этих	9	10
85	лишь в	3	10
86	далеко не	6	10
87	зрения на	5	10
88	его в	10	9
89	и от	6	9
90	одним из	7	9
91	и других	2	9
92	или менее	2	9
93	более того	3	9
94	к нему	5	9
95	более или	2	9
96	здесь в	9	9
97	в их	4	9
98	в своей	6	9
99	сказать что	12	9
100	так как	16	9
101	поэтому и	8	9
102	с ее	7	9
103	но не	6	9
104	романа в	2	9
105	конечно не	5	9
106	он не	9	9
107	не могут	3	8
108	в одной	3	8
109	в ней	10	8
110	языка но	2	8
111	все время	3	8
112	с этим	6	8
113	в значительной	2	8
114	в самом	7	8
115	на мир	7	8
116	перед нами	6	7
117	том что	13	7
118	от него	2	7
119	но именно	2	7
120	по преимуществу	2	7
121	его не	5	7
122	о нем	2	7
123	того же	6	7
124	ту же	3	7
125	но здесь	3	7
126	в целом	2	7
127	связи с	7	7
128	известной степени	4	7
129	например в	6	7
130	у него	4	7
131	здесь не	7	7
132	за пределы	4	7
133	но все	2	7
134	также и	11	7
135	связанные с	7	7
136	жизни и	11	7
137	на своем	2	7
138	не было	3	7
139	в таком	2	7
140	кроме того	11	7
141	же и	2	7
142	мы уже	13	7
143	даже в	5	6
144	ничего не	5	6
145	и слова	2	6
146	как к	2	6
147	роль в	5	6
148	на этом	7	6
149	единство и	3	6
150	точку зрения	3	6
151	бы и	2	6
152	а также	4	6
153	одновременно и	4	6
154	что в	14	6
155	ни в	5	6
156	в качестве	5	6
157	мы сказали	2	6
158	можно сказать	4	6
159	другой стороны	2	6
160	говорить о	5	6
161	и там	4	6
162	и здесь	6	6
163	хотя бы	2	6
164	конечно и	4	6
165	между словом	2	6
166	связан с	2	6
167	он в	4	6
168	именно в	5	6
169	себя и	2	6
170	в одном	7	6
171	мира и	10	6
172	между тем	3	6
173	становления и	2	6
174	между этими	3	5
175	в каждом	3	5
176	не как	3	5
177	а как	3	5
178	меньшей степени	2	5
179	характерно что	4	5
180	почти вовсе	2	5
181	не менее	4	5
182	в поэзии	3	5
183	но оно	4	5
184	дистанции между	2	5
185	а затем	7	5
186	мы не	6	5
187	и по	3	5
188	почти всегда	3	5
189	должен быть	2	5
190	в других	2	5
191	хотя и	6	5
192	особенно в	4	5
193	для этого	2	5
194	в данном	4	5
195	и при	2	5
196	в результате	5	5
197	связанных с	6	5
198	борьба с	3	5
199	этом отношении	7	5
200	для того	8	5
201	его и	2	5
202	на протяжении	2	5
203	они не	5	5
204	в дальнейшем	2	5
205	о том	8	5
206	и этим	2	5
207	той же	6	5
208	и сам	2	5
209	как его	2	5
210	и языка	2	5
211	но он	5	5
212	со словом	2	5
213	с помощью	6	5
214	вместе с	5	5
215	литературы и	3	4
216	следовательно и	2	4
217	в различных	3	4
218	для всех	4	4
219	так же	13	4
220	образом в	4	4
221	и ее	2	4
222	оно было	2	4
223	в другом	4	4
224	что и	8	4
225	в виду	2	4
226	что он	7	4
227	он должен	2	4
228	том же	3	4
229	здесь как	4	4
230	в частности	4	4
231	связано с	3	4
232	в атмосфере	12	4
233	того что	4	4
234	мы видели	11	4
235	до сих	3	4
236	сочетается с	2	4
237	с другом	2	4
238	романа но	2	4
239	где они	3	4
240	так в	3	4
241	в чем	6	4
242	тогда когда	3	4
243	не столько	5	4
244	того чтобы	9	4
245	ли он	2	4
246	несколько слов	2	4
247	и во	4	4
248	же как	4	4
249	одной из	6	4
250	характер и	2	4
251	но это	10	4
252	его как	4	4
253	и слово	3	4
254	и как	7	4
255	и образ	3	4
256	если бы	2	4
257	вообще не	3	4
258	в условиях	3	4
259	со всеми	6	4
260	и о	8	4
261	в известной	5	4
262	сих пор	3	4
263	формы и	2	4
264	к тому	4	4
265	друг с	2	4
266	от его	4	4
267	в литературе	4	4
268	глупости и	2	4
269	которая не	2	4
270	он может	2	4
271	и другим	2	4
272	из них	5	4
273	уже сказали	3	4
274	из этого	5	4
275	именно на	3	4
276	первый план	3	4
277	в себя	6	4
278	и речи	2	4
279	по существу	4	4
280	в большей	2	4
281	самого автора	2	4
282	на первый	4	4
283	как раз	5	4
284	в системе	2	4
285	данном случае	4	3
286	время и	2	3
287	нисколько не	4	3
288	нуждается в	3	3
289	его так	2	3
290	в духе	4	3
291	до известной	4	3
292	включает в	2	3
293	но она	5	3
294	в новом	3	3
295	но эта	3	3
296	в одно	2	3
297	форм и	5	3
298	как это	5	3
299	в разных	2	3
300	на котором	2	3
301	они были	2	3
302	в свете	3	3
303	на том	2	3
304	у рабле	20	3
305	притом в	2	3
306	и без	3	3
307	говорит и	2	3
308	на все	4	3
309	переходит в	3	3
310	отметить что	3	3
311	и до	3	3
312	было бы	5	3
313	в первом	3	3
314	ведь и	3	3
315	выходит за	3	3
316	и дурака	2	3
317	и они	2	3
318	в корне	2	3
319	почти все	6	3
320	конечно в	4	3
321	и то	2	3
322	и вообще	3	3
323	к этому	4	3
324	и внутренней	2	3
325	из этих	4	3
326	от этого	2	3
327	не все	2	3
328	дело в	5	3
329	этот процесс	3	3
330	менее всего	4	3
331	это было	4	3
332	на него	2	3
333	во второй	3	3
334	тем что	3	3
335	в связи	5	3
336	жизни в	3	3
337	и другие	5	3
338	такой же	5	3
339	нами в	2	3
340	нас в	4	3
341	не могло	3	3
342	или на	2	3
343	ни с	2	3
344	мир и	5	3
345	в этой	13	3
346	на нем	2	3
347	потому что	8	3
348	все что	3	3
349	целый ряд	2	3
350	если мы	3	3
351	и это	5	3
352	в эту	2	3
353	на всех	2	3
354	в форме	2	3
355	мы говорили	2	3
356	и почти	2	3
