N	2gram	Berdyaev_O	DiskursI
1	а не	11	60
2	может быть	11	56
3	не только	11	49
4	и в	19	49
5	как и	6	47
6	в том	5	44
7	и не	13	44
8	том что	2	40
9	в этом	12	38
10	в себе	3	37
11	но и	13	35
12	так и	2	28
13	но в	2	28
14	не может	4	27
15	еще не	3	23
16	все же	2	19
17	прежде всего	9	19
18	в нем	10	19
19	в своей	2	19
20	в его	7	15
21	то что	5	15
22	о том	3	15
23	это не	3	14
24	не в	11	14
25	для него	5	13
26	как бы	3	13
27	в своем	2	12
28	и все	10	12
29	в своих	3	12
30	и на	2	12
31	что в	4	11
32	с его	4	11
33	не было	9	11
34	а в	5	10
35	человека в	11	8
36	и о	2	8
37	потому что	9	8
38	хотя и	2	8
39	жизни в	2	8
40	в этих	3	8
41	в творчестве	5	8
42	он не	7	8
43	его в	2	7
44	могут быть	3	7
45	и ее	3	7
46	и для	2	7
47	что и	2	7
48	в этой	5	7
49	к этому	2	7
50	лишь в	7	7
51	в русской	3	7
52	и его	4	7
53	никогда не	9	6
54	отношение к	5	6
55	что он	3	6
56	одно из	2	6
57	что же	2	6
58	в истории	2	6
59	в ее	2	6
60	и то	2	6
61	ничего не	2	5
62	в другом	2	5
63	и потому	2	5
64	того что	3	5
65	сказать что	2	5
66	мысль о	2	5
67	тем что	2	5
68	до конца	7	4
69	не могут	3	4
70	что не	4	4
71	что они	2	4
72	в самом	5	4
73	не есть	2	4
74	и к	2	4
75	по себе	2	4
76	и есть	3	4
77	с ним	3	4
78	вопрос о	10	3
79	для человека	2	3
80	различие между	3	3
81	и он	8	3
82	о его	5	3
83	все эти	4	3
84	было бы	3	3
85	и от	3	3
86	хотя бы	3	3
87	в которой	2	3
88	к ней	2	3
89	образ человека	2	3
90	не имеет	2	3
91	когда он	3	3
92	уже в	2	3
93	момент в	2	3
94	в записках	3	2
95	о природе	3	2
96	для человеческого	2	2
97	как к	2	2
98	он всегда	7	2
99	этом мире	2	2
100	его не	2	2
101	всего в	2	2
102	в россии	5	2
103	в душе	2	2
104	о любви	2	2
105	к нему	3	2
106	все это	6	2
107	не могли	2	2
108	же это	2	2
109	вопросом о	2	2
110	должно быть	2	2
111	это было	3	2
112	мысли и	3	2
113	для того	3	2
114	у него	22	2
115	ни с	7	2
116	ее в	2	2
117	в самой	9	2
118	то к	2	2
119	и с	2	2
120	личности и	2	2
121	его героев	2	2
122	он сам	4	2
123	человек не	7	2
