N	2gram	Tiupa_Teor	Marksizm
1	точки зрения	11	69
2	может быть	22	64
3	и в	24	63
4	и не	17	55
5	как бы	8	53
6	не может	8	47
7	с точки	3	46
8	и его	11	41
9	в этом	12	39
10	таким образом	3	38
11	в пределах	5	31
12	лишь в	10	30
13	не только	24	29
14	в нем	7	28
15	то же	12	28
16	но и	14	27
17	самом деле	2	25
18	речи и	4	25
19	связи с	3	25
20	прежде всего	3	24
21	как и	6	24
22	в самом	7	24
23	так и	14	23
24	и т.п	7	23
25	только в	9	23
26	в том	20	22
27	то что	6	22
28	а не	14	22
29	– в	20	21
30	при этом	20	20
31	для него	5	20
32	если мы	2	20
33	том что	11	19
34	не в	9	19
35	в его	12	19
36	если бы	3	19
37	на почве	5	19
38	но в	12	18
39	в ее	6	18
40	и для	3	18
41	внутренней речи	13	18
42	языка в	4	18
43	в слове	4	18
44	вовсе не	3	18
45	в то	9	16
46	по отношению	10	16
47	и как	3	16
48	ни было	2	16
49	что он	4	15
50	в связи	3	15
51	во всех	3	15
52	отношению к	10	15
53	отнюдь не	3	15
54	высказывания и	2	15
55	же время	8	15
56	– не	4	15
57	в контексте	3	14
58	в данном	9	14
59	– это	33	14
60	так же	2	13
61	– и	2	13
62	того чтобы	5	13
63	в своей	8	13
64	не является	5	13
65	и здесь	2	13
66	слова в	4	13
67	то ни	2	13
68	что в	10	13
69	а в	15	12
70	того же	4	12
71	в основе	6	12
72	бы то	2	12
73	для того	5	12
74	он не	5	12
75	между тем	5	12
76	слова как	3	11
77	как в	5	11
78	к нему	2	11
79	и на	2	11
80	высказывания в	5	11
81	не столько	7	11
82	все эти	3	11
83	еще не	6	11
84	и того	4	11
85	и что	4	11
86	как система	2	11
87	никогда не	4	10
88	его в	4	10
89	и потому	3	10
90	высказывания как	2	10
91	отличие от	7	10
92	– как	2	10
93	здесь мы	2	10
94	без исключения	4	10
95	с его	6	10
96	сказать что	4	10
97	в своем	7	10
98	в отличие	7	10
99	с другой	9	10
100	именно в	3	10
101	в таком	3	10
102	в большинстве	2	10
103	в себе	14	9
104	одного и	4	9
105	это не	4	9
106	только на	2	9
107	одной из	2	9
108	и это	2	9
109	к тому	4	9
110	в нашем	4	9
111	отношении к	4	9
112	ни в	5	9
113	быть и	2	9
114	в каком	2	8
115	в отношении	4	8
116	перед нами	3	8
117	или иной	7	8
118	и ее	4	8
119	в форме	4	8
120	и т.д	4	8
121	в их	4	8
122	тому что	2	8
123	не будет	3	8
124	что и	2	8
125	этого слова	4	8
126	другой стороны	6	8
127	за пределы	2	8
128	высказывания –	2	8
129	и даже	2	8
130	у нас	2	8
131	в свою	4	8
132	столь же	3	8
133	сводится к	12	8
134	к другому	2	8
135	у него	2	8
136	свою очередь	3	7
137	в формах	2	7
138	того что	5	7
139	как такой	2	7
140	по себе	2	7
141	место в	7	7
142	могут быть	5	7
143	с ними	2	7
144	в качестве	33	7
145	в этой	3	7
146	речи а	2	7
147	в этих	4	7
148	далеко не	4	7
149	о том	2	7
150	как раз	3	7
151	на основе	2	7
152	для понимания	2	6
153	то есть	22	6
154	в другом	4	6
155	от своего	2	6
156	– с	8	6
157	всех без	3	6
158	он и	2	6
159	одной стороны	3	6
160	в какой	2	6
161	все это	2	6
162	с ее	4	6
163	с другими	6	6
164	из этих	3	6
165	с одной	3	6
166	между ними	6	6
167	входит в	4	6
168	уже не	6	6
169	в той	2	6
170	тем же	2	6
171	к одному	2	5
172	но как	2	5
173	о чем	3	5
174	в конце	2	5
175	в виду	5	5
176	и тем	5	5
177	и вот	3	5
178	то в	2	5
179	xix века	2	5
180	в душе	9	5
181	не менее	6	5
182	или в	3	5
183	– то	2	5
184	той или	3	5
185	в первом	2	5
186	хотя и	4	5
187	себя в	7	5
188	тем более	2	5
189	ее в	2	5
190	по преимуществу	5	5
191	язык –	2	5
192	знаковом материале	3	5
193	жизни в	2	5
194	но не	13	5
195	и является	2	5
196	для себя	3	5
197	что такое	2	5
198	– его	5	5
199	таком случае	2	5
200	в одном	3	5
201	знака к	5	5
202	вместе с	2	5
203	не могут	2	4
204	или даже	4	4
205	и прежде	2	4
206	в области	7	4
207	к своему	2	4
208	и к	3	4
209	и иных	2	4
210	при чтении	2	4
211	можно сказать	5	4
212	в узком	3	4
213	в них	2	4
214	между двумя	3	4
215	во внутренней	2	4
216	что они	2	4
217	во всей	3	4
218	и то	3	4
219	к его	3	4
220	в которой	3	4
221	что она	2	4
222	говорит что	2	4
223	одним из	3	4
224	не знает	4	4
225	автора и	2	4
226	значения и	2	4
227	мог бы	3	4
228	несмотря на	2	4
229	перед ним	2	4
230	и особенно	2	4
231	это и	2	4
232	даже в	3	3
233	еще и	2	3
234	к нашему	2	3
235	только и	2	3
236	– может	3	3
237	не все	3	3
238	по своей	8	3
239	знакового материала	4	3
240	как к	5	3
241	должен быть	2	3
242	роль в	3	3
243	в значительной	2	3
244	в году	2	3
245	в целом	4	3
246	или менее	6	3
247	как это	10	3
248	более или	6	3
249	данном контексте	2	3
250	потому что	3	3
251	том числе	3	3
252	во втором	3	3
253	так в	4	3
254	между собой	3	3
255	в следующей	2	3
256	с языком	3	3
257	– все	3	3
258	и др	3	3
259	в данный	2	3
260	и по	3	3
261	не на	4	3
262	делает его	2	3
263	имеет место	3	3
264	числе и	2	3
265	могла бы	2	3
266	одно и	2	3
267	значительной степени	2	3
268	того или	6	3
269	здесь не	2	3
270	ту или	2	3
271	с их	2	3
272	тем не	3	3
273	– на	4	3
274	и о	5	3
275	ни к	3	3
276	не могло	2	3
277	не с	3	3
278	знаков в	2	3
279	высказывания не	2	3
280	со стороны	6	3
281	в русской	6	3
282	или иначе	6	3
283	в диалоге	2	3
284	приводит к	6	3
285	из которых	2	3
286	совпадает с	4	3
287	к жизни	2	3
288	говорить о	4	3
289	данный момент	2	3
290	места для	2	3
291	не следует	4	3
292	и внешней	3	3
293	этих двух	2	3
294	форм высказывания	2	3
295	в системе	2	3
296	в художественной	3	2
297	он должен	3	2
298	тем самым	6	2
299	между которыми	3	2
300	идет о	2	2
301	вступает в	2	2
302	внешней речи	2	2
303	одну из	2	2
304	одно слово	2	2
305	до известной	2	2
306	случае это	2	2
307	и притом	3	2
308	к более	2	2
309	противном случае	2	2
310	оказывается в	3	2
311	отношение знака	3	2
312	от себя	3	2
313	в частности	23	2
314	его внешней	2	2
315	была бы	3	2
316	а с	3	2
317	так или	5	2
318	соединении с	2	2
319	а только	4	2
320	для всех	2	2
321	могли бы	2	2
322	мира и	4	2
323	в романе	3	2
324	себя и	2	2
325	заключается в	2	2
326	никто не	3	2
327	известной степени	3	2
328	принадлежит к	3	2
329	нашем случае	2	2
330	данном случае	5	2
331	из виду	2	2
332	на языке	3	2
333	во внешнем	2	2
334	языка могут	2	2
335	например в	3	2
336	мышления и	3	2
337	или иного	6	2
338	в литературе	4	2
339	введено в	2	2
340	в знаковом	3	2
341	в первой	6	2
342	это было	2	2
343	внутренней и	2	2
344	отличается от	2	2
345	второй –	3	2
346	сам же	2	2
347	сама по	2	2
348	не просто	2	2
349	во второй	7	2
350	превращается в	2	2
351	внутреннего мира	2	2
352	это делает	2	2
353	– только	3	2
354	сознания в	2	2
355	тот или	3	2
356	в коем	2	2
357	героя и	6	2
358	с этой	3	2
359	и другие	2	2
360	на смену	7	2
361	в чем	2	2
362	творческий акт	2	2
363	зрения и	2	2
364	есть в	3	2
365	в жизни	3	2
366	за пределами	5	2
367	в самой	2	2
368	это отношение	3	2
369	их в	3	2
370	не вполне	2	2
371	или иную	2	2
372	всех подобных	2	2
373	принадлежит только	2	2
374	оно не	2	2
375	коем случае	2	2
376	жизни –	2	2
377	этом смысле	3	2
378	и соответственно	2	2
379	а именно	3	2
380	автором и	2	2
381	в противном	2	2
382	имеет дело	2	2
383	нового времени	3	2
384	жизни но	2	2
385	отношения к	4	2
386	первой части	2	2
387	героя как	2	2
388	но он	4	2
