N	2gram	Medvedev_V	Psycholo
1	то что	7	193
2	и в	26	190
3	в том	15	163
4	что в	11	123
5	том что	8	113
6	может быть	23	107
7	таким образом	32	102
8	в этом	29	100
9	в самом	4	82
10	как бы	5	80
11	для того	3	78
12	того чтобы	3	78
13	что он	4	76
14	не только	26	75
15	на то	2	73
16	и не	20	73
17	что она	2	71
18	и т	25	69
19	точки зрения	3	69
20	не может	17	68
21	так же	3	63
22	было бы	8	56
23	если бы	3	55
24	то же	10	54
25	о том	10	54
26	как и	7	51
27	что и	3	50
28	а не	7	50
29	заключается в	2	46
30	только в	8	46
31	сказать что	5	46
32	по себе	2	46
33	в искусстве	6	45
34	к тому	5	45
35	не в	6	45
36	в этой	4	43
37	искусства и	2	43
38	никогда не	5	42
39	вместе с	8	41
40	как это	12	40
41	но и	10	40
42	при помощи	3	39
43	как раз	4	39
44	того что	3	39
45	т п	9	38
46	же самое	2	38
47	и как	3	36
48	с тем	4	35
49	вовсе не	3	34
50	и его	6	34
51	как на	3	34
52	что все	4	33
53	когда он	4	33
54	все же	6	33
55	тому что	7	33
56	все это	13	32
57	художественного произведения	6	32
58	в себе	6	32
59	в ней	2	31
60	в его	15	31
61	он не	2	31
62	никак не	3	30
63	с одной	2	29
64	и для	2	29
65	одной стороны	2	29
66	в нем	7	29
67	что мы	2	28
68	что они	3	28
69	с другой	11	27
70	в своих	2	27
71	а в	3	27
72	искусство как	2	26
73	только что	4	25
74	жизни и	3	25
75	в целом	5	24
76	художественное произведение	7	24
77	до сих	2	24
78	в своем	8	23
79	сих пор	2	23
80	могут быть	8	23
81	что оно	3	23
82	один из	6	23
83	и даже	2	22
84	т д	16	22
85	что у	3	22
86	с этим	3	22
87	между тем	6	22
88	из них	11	22
89	в своей	4	21
90	в конце	3	21
91	том чтобы	2	21
92	в котором	3	21
93	в которых	3	21
94	она не	3	20
95	все эти	8	20
96	в то	6	20
97	это не	7	20
98	мы имеем	3	20
99	другой стороны	8	20
100	на этом	2	20
101	в ее	4	19
102	он говорит	5	19
103	у него	6	19
104	в одном	5	19
105	что при	2	19
106	перед нами	5	18
107	но в	2	18
108	но не	2	18
109	в которой	2	18
110	вслед за	3	18
111	можно было	2	18
112	зависимости от	5	18
113	действующих лиц	5	18
114	и есть	5	18
115	в виду	4	17
116	одна из	4	17
117	что для	4	17
118	только не	2	17
119	во всяком	2	17
120	у нас	3	17
121	из этих	7	17
122	так и	6	16
123	тому как	3	16
124	сводится к	3	16
125	говорит о	7	16
126	и к	3	16
127	от того	2	16
128	из которых	2	16
129	же как	2	16
130	то это	2	16
131	к этому	9	16
132	формы и	2	16
133	и потому	2	15
134	мы знаем	3	15
135	в зависимости	6	15
136	как говорит	5	15
137	еще не	2	15
138	не могут	10	15
139	далеко не	3	15
140	в частности	12	15
141	утверждает что	3	15
142	в них	5	15
143	во всех	7	15
144	в результате	5	15
145	для него	9	15
146	очевидно что	7	14
147	это только	4	14
148	должна быть	2	14
149	в художественном	10	14
150	хотя бы	20	14
151	главным образом	7	14
152	по существу	4	14
153	это и	6	14
154	прежде всего	13	14
155	эта теория	2	14
156	в области	2	14
157	того как	2	14
158	показывает что	2	14
159	бы в	3	14
160	этом отношении	14	14
161	в жизни	2	14
162	всяком случае	2	14
163	или в	3	14
164	как он	3	13
165	могло бы	2	13
166	искусства не	2	13
167	именно в	3	13
168	этот вопрос	3	13
169	отнюдь не	4	13
170	и он	3	13
171	знаем что	2	13
172	и этот	2	12
173	художественном произведении	4	12
174	в нашей	4	12
175	их в	7	12
176	конце концов	2	12
177	не менее	2	12
178	этой точки	2	12
179	тогда когда	2	12
180	что не	3	12
181	и может	2	12
182	например в	3	12
183	об этом	9	12
184	что его	2	12
185	в конечном	7	12
186	так например	2	11
187	подобно тому	3	11
188	и заключается	2	11
189	утверждать что	5	11
190	ли это	2	11
191	понятно что	2	11
192	его в	3	11
193	по поводу	4	11
194	мы видели	3	11
195	с его	4	11
196	на это	2	11
197	конечном счете	5	11
198	не было	7	11
199	в другом	2	10
200	что ни	2	10
201	представить себе	2	10
202	отличается от	2	10
203	не является	5	10
204	и их	3	10
205	но как	3	10
206	и у	2	10
207	в их	5	10
208	должно быть	2	10
209	ее в	4	10
210	и от	3	10
211	бы не	2	9
212	и ее	4	9
213	в силу	14	9
214	на основании	8	9
215	ту же	2	9
216	и дальше	2	9
217	и по	3	9
218	внимание на	2	9
219	на него	2	9
220	думается что	6	9
221	мысль о	2	9
222	и наконец	2	9
223	должен быть	4	9
224	роль в	4	9
225	о чем	2	9
226	в чем	2	9
227	так сказать	2	9
228	по этому	10	9
229	что даже	2	9
230	можно сказать	4	9
231	из его	4	9
232	в самых	2	9
233	по его	2	9
234	в процессе	17	8
235	этому поводу	7	8
236	стороны и	2	8
237	себе и	2	8
238	в сознании	4	8
239	художественного творчества	19	8
240	он может	2	8
241	том как	3	8
242	бы и	6	8
243	в общем	2	8
244	он в	2	8
245	во время	4	8
246	относится к	2	8
247	только то	2	8
248	будто бы	2	8
249	они не	2	7
250	ни одного	2	7
251	должны быть	2	7
252	связи с	5	7
253	того или	2	7
254	что такое	2	7
255	же в	7	7
256	рассказывает о	4	7
257	а как	2	7
258	и при	5	7
259	в качестве	12	7
260	к ним	2	7
261	в особенности	2	7
262	в течение	2	7
263	в каждом	2	7
264	в плане	5	6
265	показывают что	5	6
266	к этим	2	6
267	он же	6	6
268	в стихах	2	6
269	вот что	12	6
270	каждой из	2	6
271	или менее	6	6
272	даже в	5	6
273	которые в	2	6
274	что действие	2	6
275	после этого	2	6
276	только с	2	6
277	у пушкина	2	6
278	смысле слова	2	6
279	и просто	2	6
280	о его	2	6
281	образом в	3	6
282	да и	2	6
283	значит что	2	6
284	всех этих	3	6
285	более или	6	6
286	к его	2	6
287	приводит к	6	6
288	говорить о	2	6
289	это мы	3	6
290	еще и	2	5
291	человека и	3	5
292	между ними	3	5
293	том же	6	5
294	у них	2	5
295	на вопрос	2	5
296	а затем	2	5
297	реакции на	2	5
298	если в	2	5
299	все они	2	5
300	это делает	3	5
301	только для	2	5
302	но даже	3	5
303	видели что	3	5
304	не следует	8	5
305	вот как	4	5
306	этой области	3	5
307	в романе	4	5
308	его не	3	5
309	зависит от	2	5
310	можно ли	2	5
311	следует понимать	5	5
312	во всей	2	5
313	хотя и	2	5
314	других видов	2	5
315	человека в	2	5
316	нет ни	2	5
317	только о	2	5
318	и сам	2	5
319	нет и	3	5
320	в творчестве	3	5
321	ни одна	2	5
322	своих героев	2	5
323	вплоть до	2	4
324	и формы	2	4
325	также и	2	4
326	одном из	4	4
327	говорил что	3	4
328	всех других	3	4
329	точном смысле	2	4
330	то о	2	4
331	не по	2	4
332	художественную форму	2	4
333	к сожалению	2	4
334	вот это	2	4
335	который в	2	4
336	не с	2	4
337	что художник	3	4
338	у каждого	2	4
339	как у	2	4
340	после того	2	4
341	сюжета и	2	4
342	остановимся на	2	4
343	что без	3	4
344	такое понимание	2	4
345	для его	4	4
346	из себя	2	4
347	но к	2	4
348	и никогда	2	4
349	но для	2	4
350	по отношению	7	4
351	ли не	2	4
352	в воображении	2	4
353	плана в	2	4
354	его от	2	4
355	искусстве и	2	4
356	может не	2	4
357	с ними	4	4
358	вот почему	5	4
359	в связи	4	4
360	в порядке	6	4
361	произведения как	6	4
362	одной из	2	4
363	т е	18	4
364	как например	2	4
365	в противоположность	3	4
366	показывает как	2	4
367	во сне	21	4
368	в пределах	5	4
369	при всем	3	4
370	произведения и	7	4
371	же время	5	4
372	в слове	3	4
373	не о	2	3
374	одним из	5	3
375	вообще и	2	3
376	по словам	8	3
377	следующим образом	4	3
378	толстого в	3	3
379	этой проблемы	3	3
380	искусства на	2	3
381	естественно что	3	3
382	в большей	2	3
383	иметь в	2	3
384	по одному	2	3
385	этому вопросу	2	3
386	следует что	2	3
387	что так	2	3
388	которая не	2	3
389	творчества и	3	3
390	в дневнике	3	3
391	моментов в	3	3
392	ни один	8	3
393	пока еще	2	3
394	не быть	2	3
395	но с	2	3
396	к работе	3	3
397	даже не	2	3
398	некоторые авторы	2	3
399	как известно	2	3
400	что говорит	3	3
401	на художественное	2	3
402	что нет	2	3
403	творчества в	8	3
404	с а	2	3
405	в точном	2	3
406	равно как	4	3
407	образы и	5	3
408	и др	10	3
409	было в	2	3
410	художника и	8	3
411	на язык	2	3
412	образа в	2	3
413	он сам	2	3
414	с другими	2	3
415	творчество как	3	3
416	а к	2	3
417	образами и	2	3
418	связана с	2	3
419	него в	3	3
420	не столько	2	3
421	отношению к	7	3
422	явлений и	3	3
423	их и	4	3
424	он и	2	3
425	действительной жизни	3	3
426	целого ряда	2	3
427	же и	3	3
428	в форме	3	3
429	на основе	5	3
430	в книге	2	2
431	от его	2	2
432	на время	2	2
433	и слова	2	2
434	вот например	7	2
435	с более	2	2
436	в стихотворении	2	2
437	на эти	2	2
438	они должны	2	2
439	п в	3	2
440	разобраться в	2	2
441	имеет свою	3	2
442	только у	2	2
443	для художника	5	2
444	представляет собою	11	2
445	дают возможность	3	2
446	для них	2	2
447	в образах	2	2
448	и художественного	3	2
449	отметить что	2	2
450	что многие	2	2
451	значительной мере	3	2
452	художественный образ	5	2
453	произведения не	2	2
454	в значительной	3	2
455	легко и	2	2
456	между собою	2	2
457	понимать как	2	2
458	в письме	16	2
459	по крайней	2	2
460	свидетельствуют о	2	2
461	так называемые	3	2
462	художник не	2	2
463	не вполне	2	2
464	и сводится	4	2
465	не об	2	2
466	можно определить	2	2
467	чтобы не	2	2
468	или иной	2	2
469	крайней мере	2	2
470	этого положения	2	2
471	представлений и	2	2
472	со своим	3	2
473	не всегда	2	2
474	в науке	2	2
475	но то	2	2
476	этом процессе	2	2
477	они и	2	2
478	о фантазии	2	2
479	в пользу	2	2
480	процесса как	3	2
481	даже и	3	2
482	и бессознательное	2	2
483	идей и	3	2
484	идеи и	6	2
485	и некоторые	2	2
486	не приходится	2	2
487	этот процесс	3	2
488	некоторые из	3	2
489	одном и	2	2
490	от них	2	2
491	ума и	2	2
492	из своих	2	2
493	а о	2	2
494	образов в	2	2
495	все его	2	2
496	как о	3	2
497	а для	2	2
498	в сфере	2	2
499	труда и	2	2
500	представления об	2	2
501	и значит	2	2
502	оно является	2	2
503	из основных	2	2
504	чем же	4	2
