N	2gram	Losev_Dial	OGranits
1	и в	35	13
2	и его	6	12
3	прежде всего	14	9
4	и не	51	8
5	не может	16	8
6	может быть	30	8
7	в его	4	7
8	и пр	7	7
9	и их	5	7
10	точки зрения	25	7
11	не только	26	6
12	мы должны	6	6
13	как бы	19	6
14	таким образом	5	6
15	только в	7	6
16	то что	25	6
17	в поэзии	8	5
18	все же	9	5
19	с точки	18	5
20	и эта	3	5
21	но ведь	2	5
22	хотя бы	6	5
23	мы можем	5	4
24	еще и	4	4
25	но в	8	4
26	только и	5	4
27	то же	21	4
28	в сознании	3	4
29	но мы	3	4
30	тех пор	2	4
31	не является	3	4
32	в своей	9	4
33	все это	14	4
34	было бы	14	4
35	в каждом	4	4
36	никогда не	18	3
37	да и	11	3
38	одно и	8	3
39	и для	2	3
40	общего с	6	3
41	и то	15	3
42	со всей	2	3
43	и все	11	3
44	в ее	3	3
45	превращается в	2	3
46	с этим	5	3
47	и уже	4	3
48	как и	10	3
49	не в	12	3
50	в их	5	3
51	говорить о	9	3
52	ничего общего	4	3
53	так как	24	3
54	понятно что	2	3
55	в себе	23	3
56	что в	19	3
57	точку зрения	3	3
58	но для	2	3
59	самом деле	6	3
60	за пределы	4	3
61	так и	18	3
62	что же	5	3
63	в которой	3	3
64	не как	4	3
65	в одном	4	3
66	в искусстве	2	3
67	тела и	3	3
68	но и	17	3
69	в самом	6	2
70	могут быть	6	2
71	может иметь	6	2
72	мы видим	6	2
73	собственно говоря	5	2
74	в этом	18	2
75	в них	4	2
76	и должно	3	2
77	уже в	5	2
78	в том	20	2
79	тем что	2	2
80	в отношении	5	2
81	есть не	8	2
82	несмотря на	12	2
83	если бы	12	2
84	от этого	5	2
85	думать что	3	2
86	с одной	4	2
87	не имеет	15	2
88	зависимости от	2	2
89	явлений и	3	2
90	и др	2	2
91	но так	2	2
92	ее в	2	2
93	во времени	4	2
94	с другой	10	2
95	а в	8	2
96	и тем	2	2
97	том что	18	2
98	и к	8	2
99	в связи	3	2
100	в зависимости	2	2
101	в данном	5	2
102	в общем	2	2
103	не менее	5	2
104	и следовательно	7	2
105	с ними	4	2
106	все эти	4	2
107	в области	2	2
108	что эта	5	2
109	связанные с	3	2
110	так же	6	2
111	что они	8	2
112	мы уже	8	2
113	нуждается в	6	2
114	и при	3	2
115	с этой	3	2
116	и может	7	2
117	в нем	25	2
118	в тех	2	2
119	при этом	2	2
120	сознания и	8	2
121	форм и	2	2
122	что иное	4	2
123	а не	24	2
124	между собою	3	2
125	в ней	4	2
126	вслед за	2	2
127	еще в	2	2
128	как в	3	2
129	другой стороны	7	2
130	во всем	3	2
131	мог бы	3	2
132	и является	2	2
133	одной стороны	3	2
134	бы в	3	2
135	между тем	3	2
136	в чем	9	2
137	иное как	4	2
138	не что	4	2
139	в другом	6	2
140	самого начала	2	2
141	вовсе не	19	2
142	к сожалению	2	2
143	с самого	2	2
144	учение о	11	2
145	к тому	6	2
146	для него	2	2
