N	2gram	Bakhtin_sl	Marksizm
1	чужой речи	23	85
2	точки зрения	24	69
3	может быть	40	64
4	и в	69	63
5	и не	32	55
6	как бы	16	53
7	косвенной речи	2	51
8	не может	27	47
9	с точки	11	46
10	и его	45	41
11	в этом	21	39
12	таким образом	16	38
13	в процессе	14	33
14	как мы	15	32
15	языка и	18	31
16	в пределах	27	31
17	философии языка	4	31
18	лишь в	6	30
19	не только	37	29
20	речи в	5	29
21	передачи чужой	8	29
22	чужого высказывания	2	28
23	в нем	44	28
24	то же	17	28
25	языка как	10	27
26	но и	37	27
27	в языке	7	26
28	речи и	4	25
29	связи с	4	25
30	прежде всего	14	24
31	как и	8	24
32	в самом	6	24
33	так и	22	23
34	только в	9	23
35	в том	7	22
36	то что	2	22
37	а не	29	22
38	при этом	12	20
39	так сказать	11	20
40	для него	8	20
41	чужое высказывание	3	20
42	если мы	2	20
43	том что	6	19
44	не в	14	19
45	в его	19	19
46	на почве	6	19
47	чужого слова	42	18
48	но в	13	18
49	в ее	2	18
50	и для	7	18
51	внутренней речи	3	18
52	языка в	21	18
53	в слове	11	18
54	вовсе не	16	18
55	все же	10	17
56	в сущности	18	17
57	в то	17	16
58	по отношению	2	16
59	и как	3	16
60	слова и	21	16
61	ни было	2	16
62	речь в	2	16
63	и чужой	2	16
64	индивидуального сознания	3	15
65	что он	2	15
66	в связи	2	15
67	во всех	25	15
68	отношению к	2	15
69	высказывания и	3	15
70	же время	15	15
71	с помощью	5	15
72	в контексте	5	14
73	в данном	5	14
74	хотя бы	6	14
75	чужая речь	10	14
76	язык как	5	14
77	в смысле	7	14
78	ничего не	5	13
79	так же	2	13
80	мы не	4	13
81	было бы	3	13
82	в своей	8	13
83	не является	3	13
84	и здесь	5	13
85	слова в	19	13
86	в направлении	2	13
87	что в	3	13
88	выражение в	4	12
89	в результате	4	12
90	а в	10	12
91	того же	7	12
92	идеологического творчества	3	12
93	в основе	8	12
94	для того	2	12
95	он не	5	12
96	между тем	5	12
97	на самом	2	11
98	друг друга	3	11
99	слова как	8	11
100	как в	18	11
101	и все	9	11
102	к нему	7	11
103	и на	17	11
104	высказывания в	2	11
105	в ней	7	11
106	сих пор	4	11
107	не столько	4	11
108	все эти	15	11
109	на материале	2	11
110	и от	5	11
111	так как	7	11
112	еще не	9	11
113	и что	2	11
114	чужое слово	11	11
115	мы уже	4	11
116	до сих	4	11
117	никогда не	9	10
118	его в	7	10
119	и потому	9	10
120	в каждом	5	10
121	в основном	7	10
122	высказывания как	2	10
123	отличие от	13	10
124	более того	5	10
125	чужую речь	2	10
126	здесь в	6	10
127	без исключения	2	10
128	во всяком	9	10
129	с его	8	10
130	сказать что	4	10
131	одна из	6	10
132	к этому	3	10
133	в своем	9	10
134	совершенно не	2	10
135	в отличие	12	10
136	с другой	8	10
137	именно в	5	10
138	конечно не	7	10
139	в таком	5	10
140	в большинстве	16	10
141	и следовательно	8	9
142	в себе	3	9
143	а как	3	9
144	это не	8	9
145	только на	3	9
146	мы видели	3	9
147	одной из	4	9
148	к тому	3	9
149	большинстве случаев	11	9
150	в истории	6	9
151	рядом с	7	9
152	и эта	2	9
153	лишь на	3	9
154	отношении к	9	9
155	и более	3	9
156	ни в	4	9
157	точка зрения	10	9
158	быть и	6	9
159	в отношении	9	8
160	перед нами	7	8
161	исторического становления	3	8
162	или иной	13	8
163	система языка	2	8
164	и ее	3	8
165	не как	4	8
166	в форме	3	8
167	в их	6	8
168	в кавычки	6	8
169	с этим	5	8
170	тому что	2	8
171	что и	2	8
172	этого слова	2	8
173	языковых форм	2	8
174	другой стороны	5	8
175	за пределы	6	8
176	и даже	11	8
177	в прямой	4	8
178	кроме того	6	8
179	слове и	2	8
180	и их	6	8
181	у нас	2	8
182	на то	2	8
183	в свою	4	8
184	и с	10	8
185	речь и	3	8
186	столь же	2	8
187	не было	4	8
188	у него	5	8
189	до конца	25	7
190	от него	5	7
191	речи как	3	7
192	свою очередь	3	7
193	может стать	3	7
194	является лишь	3	7
195	того что	4	7
196	по себе	4	7
197	те же	3	7
198	место в	2	7
199	и те	3	7
200	могут быть	25	7
201	там где	10	7
202	с ними	8	7
203	в качестве	4	7
204	конечно в	2	7
205	прямой и	4	7
206	и формы	4	7
207	в этих	8	7
208	слово как	11	7
209	далеко не	7	7
210	о том	5	7
211	в котором	2	7
212	оно может	3	7
213	языка не	4	7
214	той же	3	7
215	социальной группы	2	7
216	как раз	3	7
217	не есть	2	6
218	для понимания	3	6
219	языке в	3	6
220	в идеологическом	2	6
221	для всего	2	6
222	то есть	46	6
223	в другом	4	6
224	слово в	18	6
225	характерно что	3	6
226	форм передачи	5	6
227	одной стороны	7	6
228	науки о	2	6
229	в какой	2	6
230	все это	14	6
231	с ее	6	6
232	должна быть	3	6
233	слово и	5	6
234	и между	2	6
235	философия языка	3	6
236	с другими	8	6
237	из этих	3	6
238	как оно	3	6
239	из важнейших	2	6
240	же в	2	6
241	зависимости от	4	6
242	язык в	9	6
243	из одного	2	6
244	лишь как	3	6
245	с одной	7	6
246	смысле слова	2	6
247	между ними	2	6
248	входит в	8	6
249	уже не	5	6
250	всяком случае	7	6
251	в той	13	6
252	говорящего и	3	6
253	этом отношении	2	5
254	но как	2	5
255	и у	2	5
256	в виду	2	5
257	и тем	3	5
258	из него	4	5
259	точку зрения	6	5
260	связано с	3	5
261	форм и	3	5
262	данного языка	3	5
263	то в	2	5
264	xix века	2	5
265	в особенности	10	5
266	от этого	2	5
267	не менее	4	5
268	вне его	4	5
269	или в	10	5
270	в более	2	5
271	дело идет	2	5
272	языку как	4	5
273	как слово	3	5
274	той или	13	5
275	был бы	2	5
276	в первом	3	5
277	громадное значение	2	5
278	в двух	2	5
279	этом случае	4	5
280	хотя и	4	5
281	в языковом	5	5
282	да и	2	5
283	себя в	14	5
284	все время	4	5
285	должно быть	3	5
286	менее всего	3	5
287	языка а	7	5
288	по преимуществу	5	5
289	связана с	2	5
290	и всякое	2	5
291	со всею	5	5
292	жизни в	2	5
293	в условиях	3	5
294	нами в	3	5
295	она не	8	5
296	формы и	3	5
297	но не	7	5
298	значение в	2	5
299	еще более	7	5
300	слова о	2	5
301	на язык	2	5
302	косвенная речь	2	5
303	в одном	4	5
304	авторской речи	11	5
305	вместе с	3	5
306	следовательно и	4	4
307	язык не	5	4
308	слова но	2	4
309	не могут	7	4
310	или даже	5	4
311	нуждается в	3	4
312	в одной	2	4
313	как он	2	4
314	о слове	7	4
315	самого языка	3	4
316	но именно	5	4
317	в рамки	4	4
318	влияние на	3	4
319	к своему	11	4
320	так что	2	4
321	оценки и	2	4
322	и к	9	4
323	и иных	6	4
324	стремится к	2	4
325	слово слово	2	4
326	узком смысле	13	4
327	что все	2	4
328	можно сказать	2	4
329	чужого языка	7	4
330	пассивного понимания	2	4
331	связь с	2	4
332	чужою речью	3	4
333	одного из	2	4
334	передачи чужого	7	4
335	системы языка	4	4
336	в узком	13	4
337	и вне	3	4
338	в них	11	4
339	авторским контекстом	2	4
340	в единство	2	4
341	категории и	2	4
342	в зависимости	4	4
343	и до	2	4
344	к проблеме	3	4
345	войти в	2	4
346	что они	2	4
347	мы сказали	6	4
348	слов и	5	4
349	идеологических систем	2	4
350	бы и	6	4
351	и то	2	4
352	речи не	2	4
353	первом случае	2	4
354	стороны и	3	4
355	слове в	4	4
356	в которой	4	4
357	только с	3	4
358	правда и	2	4
359	целый ряд	2	4
360	установкой на	4	4
361	лежащая в	2	4
362	одним из	5	4
363	же и	4	4
364	со всеми	3	4
365	не знает	3	4
366	свое выражение	3	4
367	к языку	3	4
368	но все	2	4
369	автора и	6	4
370	языка с	2	4
371	точке зрения	2	4
372	из них	3	4
373	уже в	2	4
374	подхода к	5	4
375	несмотря на	2	4
376	жизни и	5	4
377	в других	4	4
378	из этого	3	4
379	и особенно	2	4
380	именно на	3	4
381	и речи	4	4
382	в чужую	2	4
383	даже в	4	3
384	формы передачи	4	3
385	от автора	4	3
386	от его	4	3
387	контексте и	2	3
388	говорящего как	3	3
389	языке как	3	3
390	между этими	3	3
391	только и	3	3
392	взаимодействия с	3	3
393	не все	2	3
394	по своей	2	3
395	и стиль	2	3
396	как к	5	3
397	должен быть	3	3
398	роль в	4	3
399	в значительной	6	3
400	апперцептивный фон	4	3
401	философия слова	3	3
402	у них	2	3
403	тогда когда	2	3
404	и при	2	3
405	в виде	4	3
406	в целом	3	3
407	или менее	5	3
408	мы говорили	2	3
409	чужие слова	4	3
410	как это	3	3
411	они не	3	3
412	более или	5	3
413	все его	4	3
414	потому что	2	3
415	и философии	2	3
416	и непосредственно	6	3
417	даже и	4	3
418	так в	2	3
419	слово для	2	3
420	что оно	4	3
421	как ни	2	3
422	между собой	3	3
423	на них	2	3
424	с языком	4	3
425	себя от	2	3
426	и др	17	3
427	мы видим	2	3
428	одним словом	4	3
429	и по	3	3
430	обстоит дело	4	3
431	не на	6	3
432	а иногда	3	3
433	эти формы	5	3
434	и стилистики	3	3
435	слова для	2	3
436	и вообще	2	3
437	все то	2	3
438	синтаксиса и	2	3
439	чужих слов	13	3
440	одно и	3	3
