N	3gram	Trubetskoy	slovoVRo
1	в то же	2	18
2	то же время	2	18
3	той или иной	2	15
4	с точки зрения	6	15
5	с одной стороны	7	11
6	более или менее	5	9
7	во всяком случае	6	8
8	но все же	4	6
9	в том что	3	5
10	в этом отношении	2	5
11	может быть и	2	5
12	для того чтобы	5	4
13	друг с другом	5	4
14	таким образом в	2	4
15	до сих пор	5	4
16	можно сказать что	2	4
17	между этими двумя	2	3
18	в связи с	3	3
19	и связанные с	2	2
20	о том что	4	2
21	с самого начала	2	2
22	этой точки зрения	2	2
23	так и от	2	2
24	и в этом	2	2
25	с этой точки	2	2
26	то или иное	2	2
27	тем не менее	3	2
