N	2gram	Bakhtin_Fr	VrazhdaK
1	в году	6	18
2	не только	23	9
3	и что	3	8
4	в этом	27	8
5	и в	67	8
6	что в	14	7
7	но и	23	7
8	и все	18	7
9	то что	9	7
10	но в	20	6
11	как и	19	6
12	в котором	3	6
13	в начале	2	6
14	в нем	20	6
15	и с	18	6
16	о нем	2	6
17	все же	7	6
18	в романе	15	6
19	и даже	6	6
20	и не	23	5
21	не было	3	5
22	об этом	5	5
23	то же	18	5
24	в то	17	5
25	же время	14	5
26	у него	4	5
27	между тем	3	5
28	целый ряд	2	4
29	несмотря на	3	4
30	это не	5	4
31	в виду	2	4
32	все это	15	4
33	при этом	5	4
34	о том	8	4
35	в ней	10	4
36	как бы	18	4
37	так же	13	4
38	что он	7	4
39	в истории	2	4
40	с ним	6	4
41	может быть	4	4
42	и у	7	3
43	в том	16	3
44	в чем	6	3
45	одним из	7	3
46	его в	10	3
47	далеко не	6	3
48	что у	2	3
49	и во	4	3
50	в своем	13	3
51	том что	13	3
52	в его	17	3
53	в связи	5	3
54	и о	8	3
55	раз в	2	3
56	и его	19	3
57	и как	7	3
58	в этот	3	3
59	он был	8	3
60	он не	9	3
61	связи с	7	3
62	к этому	4	3
63	но он	5	3
64	на то	2	3
65	в конце	12	3
66	с его	11	3
67	тем что	3	3
68	никогда не	6	2
69	же не	2	2
70	и то	2	2
71	в них	12	2
72	к ним	2	2
73	и т.п	31	2
74	начиная с	2	2
75	место в	3	2
76	в эти	2	2
77	в той	2	2
78	для него	4	2
79	и это	5	2
80	на первый	4	2
81	с точки	5	2
82	а в	4	2
83	человека с	5	2
84	а также	4	2
85	в этой	13	2
86	том же	3	2
87	в своей	6	2
88	как раз	5	2
89	и он	4	2
90	в себе	3	2
91	еще не	5	2
92	точки зрения	7	2
93	о чем	5	2
94	же как	4	2
95	тем более	3	2
96	это в	3	2
97	таким образом	20	2
98	и ее	2	2
99	во время	15	2
100	в период	2	2
101	его и	2	2
102	время и	2	2
103	так в	3	2
104	их в	2	2
105	рядом с	6	2
106	в эту	2	2
107	не может	9	2
108	и образы	13	2
109	из них	5	2
110	права на	2	2
111	не менее	4	2
112	там же	3	2
113	но это	10	2
114	об этой	4	2
115	не мог	8	2
116	этот момент	3	2
117	вместе с	5	2
