N	2gram	Bakhtin_Fr	slovoVRo
1	и в	105	92
2	в романе	8	89
3	то есть	71	64
4	в нем	16	59
5	может быть	11	59
6	и его	24	59
7	и не	34	51
8	не только	24	44
9	не может	9	41
10	но и	20	39
11	до конца	4	37
12	в этом	22	36
13	во всех	13	32
14	так и	16	30
15	точки зрения	10	30
16	могут быть	4	29
17	и др	32	29
18	в пределах	3	29
19	в его	24	27
20	все это	16	25
21	как бы	33	24
22	то же	6	23
23	и на	25	22
24	не в	4	21
25	в сущности	20	21
26	как в	6	21
27	вовсе не	25	21
28	в то	5	20
29	в процессе	2	20
30	прежде всего	26	19
31	как мы	12	19
32	или иной	5	18
33	как и	15	18
34	же время	5	18
35	с ним	6	18
36	все же	10	17
37	оно не	2	17
38	все эти	15	17
39	в истории	5	17
40	в основе	8	17
41	и даже	10	17
42	в большинстве	2	17
43	таким образом	5	17
44	отличие от	5	16
45	при этом	10	16
46	в них	13	16
47	но в	16	16
48	там где	3	15
49	той или	5	15
50	и с	8	15
51	в той	5	15
52	с точки	6	15
53	в отличие	4	14
54	узком смысле	2	14
55	в узком	4	14
56	так сказать	5	14
57	только в	16	14
58	это не	4	13
59	и следовательно	3	13
60	точка зрения	3	13
61	рядом с	9	13
62	с его	9	13
63	в особенности	7	13
64	и для	3	13
65	с другой	3	13
66	на фоне	4	13
67	никогда не	11	12
68	в отношении	7	12
69	и потому	14	12
70	отношение к	9	12
71	а в	4	12
72	или в	2	12
73	во всяком	2	12
74	и наконец	2	12
75	еще не	8	12
76	и к	7	12
77	в плане	2	11
78	один из	5	11
79	большинстве случаев	2	11
80	на его	4	11
81	с ними	2	11
82	одной стороны	2	11
83	в этих	6	11
84	всех его	3	11
85	с одной	2	11
86	для него	12	11
87	в своем	11	10
88	и их	3	10
89	в том	17	10
90	и все	7	10
91	она не	2	10
92	в себе	7	10
93	всех этих	10	10
94	в него	2	10
95	лишь в	4	10
96	далеко не	6	10
97	уже не	3	10
98	зрения на	3	10
99	его в	7	9
100	и от	3	9
101	одним из	4	9
102	и других	6	9
103	в основном	4	9
104	более того	3	9
105	к нему	5	9
106	здесь в	14	9
107	в их	6	9
108	в своей	8	9
109	сказать что	12	9
110	одна из	5	9
111	так как	11	9
112	поэтому и	5	9
113	с ее	3	9
114	но не	7	9
115	в смысле	2	9
116	конечно не	2	9
117	он не	3	9
118	не могут	4	8
119	человека и	4	8
120	в ней	7	8
121	не на	2	8
122	в значительной	9	8
123	и часто	3	8
124	в самом	7	8
125	входит в	4	8
126	для нас	5	8
127	всяком случае	2	8
128	на мир	7	8
129	том что	9	7
130	от него	2	7
131	друг друга	3	7
132	но именно	4	7
133	по преимуществу	3	7
134	о нем	4	7
135	но здесь	4	7
136	в целом	3	7
137	связи с	5	7
138	известной степени	2	7
139	например в	3	7
140	у него	2	7
141	смысла и	2	7
142	значительной степени	4	7
143	здесь не	3	7
144	за пределы	10	7
145	но все	5	7
146	также и	3	7
147	автора и	2	7
148	связанные с	2	7
149	еще более	6	7
150	жизни и	14	7
151	не было	3	7
152	в таком	2	7
153	кроме того	2	7
154	во всем	5	7
155	мы уже	18	7
156	даже в	6	6
157	ничего не	3	6
158	наконец в	2	6
159	как к	3	6
160	роль в	6	6
161	на этом	2	6
162	точку зрения	2	6
163	например у	2	6
164	xix века	6	6
165	одновременно и	3	6
166	что в	4	6
167	в чисто	2	6
168	большей или	7	6
169	или меньшей	7	6
170	нем в	2	6
171	мы сказали	2	6
172	можно сказать	4	6
173	в новое	5	6
174	и здесь	4	6
175	хотя бы	2	6
176	конечно и	4	6
177	связан с	5	6
178	он в	2	6
179	именно в	6	6
180	человек в	2	6
181	себя и	2	6
182	в одном	8	6
183	слов и	2	6
184	мира и	4	6
185	между тем	5	6
186	только на	3	5
187	меньшей степени	8	5
188	не знает	6	5
189	характерно что	2	5
190	почти вовсе	5	5
191	не менее	2	5
192	отношению к	2	5
193	а затем	4	5
194	и по	3	5
195	эти формы	5	5
196	в других	3	5
197	хотя и	4	5
198	особенно в	2	5
199	у стерна	3	5
200	по отношению	2	5
201	с их	7	5
202	связанных с	4	5
203	вне его	2	5
204	этом отношении	5	5
205	не является	4	5
206	для того	2	5
207	особый язык	2	5
208	и более	4	5
209	на протяжении	9	5
210	в дальнейшем	10	5
211	о том	5	5
212	и этим	2	5
213	в дон-кихоте	3	5
214	уже в	5	5
215	или даже	2	5
216	и чисто	5	5
217	и сам	2	5
218	но он	5	5
219	слов о	2	5
220	литературы и	7	4
221	в свой	2	4
222	так же	2	4
223	его на	2	4
224	но как	3	4
225	образом в	3	4
226	оно было	2	4
227	преимущественно в	4	4
228	в другом	2	4
229	что и	2	4
230	в виду	5	4
231	что он	5	4
232	влияние на	8	4
233	в частности	6	4
234	связано с	2	4
235	того что	3	4
236	мы видели	3	4
237	до сих	7	4
238	сочетается с	3	4
239	речи и	2	4
240	с другом	2	4
241	где они	3	4
242	даже и	5	4
243	так в	4	4
244	в чем	2	4
245	не были	4	4
246	того чтобы	3	4
247	новое время	4	4
248	и во	6	4
249	всегда в	3	4
250	одной из	3	4
251	характер и	4	4
252	с этими	2	4
253	и дальше	2	4
254	но это	5	4
255	бы ни	2	4
256	мы найдем	2	4
257	громадное значение	2	4
258	и как	2	4
259	в условиях	15	4
260	со всеми	2	4
261	и о	4	4
262	в известной	7	4
263	сих пор	7	4
264	быть только	3	4
265	формы и	7	4
266	к тому	3	4
267	друг с	2	4
268	в литературе	9	4
269	жанры и	2	4
270	они в	2	4
271	выражение в	5	4
272	из них	7	4
273	дальнейшем развитии	2	4
274	уже сказали	4	4
275	в некоторых	2	4
276	именно на	2	4
277	отношения к	5	4
278	в себя	9	4
279	и речи	2	4
280	по существу	2	4
281	в большей	8	4
282	как раз	3	4
283	в системе	3	4
284	речь и	2	3
285	или к	2	3
286	основе его	2	3
287	еще раз	4	3
288	в духе	9	3
289	его от	2	3
290	до известной	2	3
291	включает в	3	3
292	еще на	2	3
293	но эта	2	3
294	формах и	2	3
295	в свое	6	3
296	форм и	11	3
297	xviii века	2	3
298	людей и	2	3
299	в разных	2	3
300	на котором	3	3
301	все формы	3	3
302	они были	6	3
303	в свете	3	3
304	только с	3	3
305	в более	4	3
306	у рабле	13	3
307	притом в	2	3
308	и без	4	3
309	разной степени	2	3
310	на все	5	3
311	не была	2	3
312	отметить что	2	3
313	различия между	2	3
314	и до	6	3
315	было бы	4	3
316	а иногда	2	3
317	выходит за	5	3
318	интерес к	2	3
319	исторического развития	2	3
320	почти все	3	3
321	конечно в	2	3
322	на всю	4	3
323	и вообще	5	3
324	к этому	2	3
325	затем и	2	3
326	из этих	7	3
327	в собственном	4	3
328	дело в	2	3
329	этот процесс	5	3
330	менее всего	5	3
331	пародии на	6	3
332	это было	2	3
333	в чужой	2	3
334	собственном смысле	3	3
335	на него	2	3
336	пределах одной	2	3
337	в германии	2	3
338	во второй	2	3
339	тем что	5	3
340	в связи	2	3
341	жизни в	8	3
342	и другие	10	3
343	этого процесса	4	3
344	не укладывается	2	3
345	ни с	3	3
346	мир и	3	3
347	в этой	11	3
348	потому что	6	3
349	все что	2	3
350	целый ряд	2	3
351	и это	3	3
352	в эту	6	3
353	от чисто	2	3
354	на всех	5	3
355	в устах	2	3
356	эти жанры	3	3
357	в форме	6	3
358	и почти	3	3
359	связана с	8	3
360	без всякого	3	3
361	на самом	6	2
362	в таких	2	2
363	во все	2	2
364	о которых	2	2
365	из всех	3	2
366	образы в	5	2
367	есть только	3	2
368	них как	2	2
369	к себе	3	2
370	образов но	4	2
371	по своей	3	2
372	и у	7	2
373	связанное с	2	2
374	особенно у	2	2
375	без учета	2	2
376	и эти	2	2
377	это и	3	2
378	он еще	3	2
379	почти до	2	2
380	образом на	2	2
381	это как	5	2
382	и вся	2	2
383	и за	2	2
384	и ни	4	2
385	а его	2	2
386	речевой жизни	2	2
387	есть в	6	2
388	то что	7	2
389	в низких	2	2
390	по своему	9	2
391	явление в	2	2
392	ученых и	3	2
393	xix и	2	2
394	значение для	2	2
395	у сервантеса	5	2
396	мы наблюдаем	3	2
397	связь с	8	2
398	и само	2	2
399	и т.п	26	2
400	не могла	2	2
401	языках и	2	2
402	и оценки	5	2
403	между ними	4	2
404	и та	2	2
405	связанная с	3	2
406	же он	2	2
407	в основу	2	2
408	диалога в	2	2
409	всегда и	2	2
410	на них	3	2
411	что не	3	2
412	место в	4	2
413	для них	2	2
414	в ее	5	2
415	мы видим	2	2
416	и самый	2	2
417	протяжении всего	5	2
418	нужно сказать	7	2
419	что они	2	2
420	значение и	3	2
421	во всей	4	2
422	своего развития	3	2
423	от всякого	3	2
424	на языке	2	2
425	пародия на	3	2
426	себе самому	2	2
427	проникает в	2	2
428	в xvii	7	2
429	да и	5	2
430	этого момента	2	2
431	это очень	2	2
432	но прежде	3	2
433	вокруг себя	3	2
434	до нас	11	2
435	как например	2	2
436	время в	3	2
437	существенную роль	3	2
438	можно было	4	2
439	и эта	5	2
440	бы быть	2	2
441	их от	2	2
442	с ней	2	2
443	при таком	2	2
444	та же	2	2
445	же в	4	2
446	перестает быть	3	2
447	он был	3	2
448	мира он	2	2
449	в области	10	2
450	при всех	2	2
451	мира в	3	2
452	об этом	2	2
453	в жизни	7	2
454	на материале	3	2
455	совершенно не	5	2
456	и со	3	2
457	существенное значение	2	2
458	в течение	3	2
459	ни к	2	2
460	к ней	2	2
461	но они	4	2
462	мы можем	2	2
463	франции в	2	2
464	в какой	2	2
465	как известно	2	2
466	культуры и	11	2
467	в средние	13	2
468	за ним	2	2
469	нет и	2	2
470	на то	2	2
471	средние века	12	2
472	можно говорить	3	2
473	xvii века	12	2
474	от всех	3	2
475	что для	3	2
476	века в	5	2
477	знает только	2	2
478	и глубоко	3	2
479	есть для	2	2
480	в своих	8	2
481	различные формы	2	2
482	есть на	2	2
483	серьезности и	4	2
484	было очень	2	2
485	и становится	2	2
486	во франции	11	2
487	приводит к	2	2
488	именно эта	2	2
489	в начале	4	2
490	главным образом	6	2
491	разобранные нами	2	2
492	и одновременно	6	2
493	еще слишком	2	2
494	и она	2	2
495	на язык	2	2
496	несмотря на	5	2
497	и могли	2	2
498	смысле но	2	2
499	стерна и	3	2
500	не для	2	2
501	основная особенность	2	2
502	уже говорили	12	2
503	мировой литературе	3	2
504	этих форм	6	2
505	пародию на	2	2
506	и особенно	4	2
507	не просто	3	2
508	нового времени	17	2
509	жизни но	2	2
510	не к	2	2
511	в нашем	3	2
512	из древнейших	3	2
513	и литературы	7	2
514	мы и	4	2
515	подчеркнуть что	2	2
